guide_id	guide_name	target_gene	class	n_cells	pathway_effect_all20	pathway_effect_excluding_target	bootstrap_ci_low	bootstrap_ci_high	wilcoxon_p_lower	core18_effect	median_pathway_gene_log2fc	pathway_genes_down	pathway_genes_down_gt_0.25	on_target_lognorm_effect	fdr	overall_rank	candidate_rank
guide_011	sgSTAT1_11	STAT1	positive_control	5	-8.35766553037306	-8.3074961243968	-10.8658618074296	-3.72844672663544	0.0104875735149139	-8.31505318508342	-1.86306387733875	20	20	-2.68350289764125	0.262189337872848	1	NA
guide_012	sgISG15_12	ISG15	positive_control	50	-2.27361910985891	-2.26103252886412	-2.35742997664811	-2.16864408157765	9.46141088550471e-32	-2.25311206340445	-0.97626008360321	20	20	-0.785154003892977	4.73070544275235e-30	2	NA
guide_026	sgCD39_26	CD39	candidate	50	-0.0529388938815096	-0.0529388938815096	-0.108813815792468	0.00542211359911813	0.0458884730798295	-0.0494141542035067	-0.0160360839810884	14	0	0.19537326139636	0.764807884663825	3	1
guide_007	sgNon-Targeting_07	Non-Targeting	non_targeting	50	-0.0486902720597279	-0.0486902720597279	-0.117371170484574	0.0126197425956215	0.101410040787219	-0.0522143637640839	-0.0219451310815961	14	0	NA	0.954563495386099	4	NA
guide_047	sgATP49_47	ATP49	candidate	50	-0.0400838536660666	-0.0400838536660666	-0.0966801644517092	0.0184956217714505	0.143977229674521	-0.037014670904606	-0.0174528879822819	13	0	0.0663153241554788	0.954563495386099	5	2
guide_029	sgMAPK1_29	MAPK1	candidate	50	-0.0366023466586968	-0.0366023466586968	-0.114858747443932	0.0283007924401363	0.310579238445979	-0.0522079662649275	-0.00829248080020316	11	0	-0.121244278635566	0.954563495386099	6	3
guide_016	sgSOX28_16	SOX28	candidate	50	-0.0282571432233274	-0.0282571432233274	-0.0896446386269395	0.0347330939760993	0.295584323347636	-0.0214402600840791	-0.00845112017162214	12	0	0.0415779115592323	0.954563495386099	7	4
guide_009	sgNon-Targeting_09	Non-Targeting	non_targeting	50	-0.0270951096128019	-0.0270951096128019	-0.0934791982254028	0.043180413171489	0.185246381350909	-0.0300201924955545	-0.0141721577032707	12	0	NA	0.954563495386099	8	NA
guide_045	sgCD149_45	CD149	candidate	50	-0.0262651178403525	-0.0262651178403525	-0.0838953435830901	0.0360119546018575	0.191799879307119	-0.0431136520506746	-0.0171462052742935	12	0	0.0372085786289342	0.954563495386099	9	5
guide_023	sgATP27_23	ATP27	candidate	50	-0.0237172321764329	-0.0237172321764329	-0.0827238954996862	0.0312228701255678	0.266025487910272	-0.000791241350946991	-0.0136596489548061	12	0	-0.0685378321457946	0.954563495386099	10	6
guide_034	sgZNF159_34	ZNF159	candidate	50	-0.0229211229314458	-0.0229211229314458	-0.0755988515893144	0.0272240918831761	0.175439946994912	-0.0202723647710506	0.00631861103061092	9	0	0.0360670235697094	0.954563495386099	11	7
