check	value
normalization	log1p(CP10K); NT-standardized per gene
IFNG_module	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
non_targeting_cells	500
positive_control_cells_STAT1	5
candidate_selection_rule	minimum mean 20-gene z-score effect after excluding target transcript; candidates only; n>=30
top_primary_excluding_target	CD39
top_core18	MAPK1
top_median_gene_effect	ZNF326
top_breadth_gt_0.25	CD39
selected_target	CD39
selected_effect_excluding_target	-0.0529388938815096
selected_bootstrap_ci_low	-0.108813815792468
selected_bootstrap_ci_high	0.00542211359911813
selected_fdr	0.764807884663825
selected_genes_down	14
selected_genes_down_gt_0.25	0
