rank	target	guides	guide_names	n_cells	n_score_genes	mean_score_delta_vs_nt	median_score_delta_vs_nt	cohen_delta_vs_nt_sd	welch_t	fraction_pathway_genes_down	target_expr_log2fc_raw	target_expr_delta_lognorm	total_umi_log2_delta
1	STAT1	guide_011	sgSTAT1_11	5	28	-4.32958	-5.33173	-23.0555	-3.65245	0.714286	-2.3122	-2.6835	-0.0473942
2	ISG15	guide_012	sgISG15_12	50	28	-1.15679	-1.11679	-6.15332	-35.115	0.75	-1.09907	-0.785154	-0.0362383
3	SOX28	guide_016	sgSOX28_16	50	29	-0.0368705	-0.0442172	-0.19914	-1.20189	0.586207	0.0249824	0.0415779	-0.000903943
4	MAPK1	guide_029	sgMAPK1_29	50	29	-0.0366757	-0.026028	-0.198088	-1.27942	0.586207	-0.098628	-0.121244	0.00258772
5	CD39	guide_026	sgCD39_26	50	29	-0.0348792	-0.0346001	-0.188385	-1.54255	0.586207	0.231154	0.195373	0.000493737
6	ZNF159	guide_034	sgZNF159_34	50	29	-0.0286254	-0.0347177	-0.154608	-1.11275	0.551724	0.0471574	0.036067	0.0013129
7	ZNF271	guide_049	sgZNF271_49	50	29	-0.0264935	-0.030651	-0.143093	-0.944862	0.448276	0.0823195	0.0308636	-0.00254526
8	ZNF326	guide_014	sgZNF326_14	50	29	-0.0258633	-0.0114921	-0.139689	-0.963555	0.517241	0.0353856	0.042364	-0.00588747
9	TRIM5	guide_043	sgTRIM5_43	50	29	-0.0258335	-0.0224854	-0.139528	-1.06404	0.551724	-0.149667	-0.122902	0.000748936
10	ZNF115	guide_024	sgZNF115_24	50	29	-0.0257921	-0.0401755	-0.139305	-0.991603	0.551724	0.0233745	0.0103772	-0.00344743
11	ATP49	guide_047	sgATP49_47	50	29	-0.0257214	-0.0124467	-0.138923	-0.985886	0.551724	0.0282583	0.0663153	0.00226577
12	ZNF264	guide_022	sgZNF264_22	50	29	-0.0253763	-0.0434544	-0.137059	-1.22871	0.586207	0.0251134	-0.0428934	-0.000346053
13	TRIM23	guide_017	sgTRIM23_17	50	29	-0.0231432	-0.0176537	-0.124998	-0.909396	0.586207	-0.0707059	-0.0933064	0.00280902
14	CD149	guide_045	sgCD149_45	50	29	-0.0163456	-0.0221295	-0.0882837	-0.635012	0.517241	0.0634747	0.0372086	0.00730148
15	ZNF315	guide_042	sgZNF315_42	50	29	-0.0135516	-0.0373005	-0.0731931	-0.500073	0.413793			0.00444426
16	MAPK2	guide_027	sgMAPK2_27	50	29	-0.00834116	0.00694151	-0.0450512	-0.31054	0.551724	0.230244	0.227233	-0.0043906
17	TRIM33	guide_038	sgTRIM33_38	50	29	-0.00477919	-0.0324308	-0.0258128	-0.174209	0.517241	-0.116884	-0.137128	-0.000480464
18	ZNF209	guide_039	sgZNF209_39	50	29	-0.00365634	-0.0149765	-0.0197482	-0.137589	0.482759	0.0524674	0.000694406	0.00365368
19	ZNF359	guide_041	sgZNF359_41	50	29	-0.00189506	0.0189806	-0.0102354	-0.069195	0.482759	-0.0872168	-0.085311	0.00237309
20	ATP27	guide_023	sgATP27_23	50	29	-0.00131943	-0.0100383	-0.00712634	-0.0510934	0.448276	-0.0259382	-0.0685378	0.00160822
21	ZNF101	guide_050	sgZNF101_50	50	29	0.000124305	-0.00999541	0.000671382	0.00459604	0.517241	0.184556	0.0915683	-0.00193291
22	CD83	guide_033	sgCD83_33	50	29	0.00389747	-0.0151165	0.0210505	0.14504	0.517241	0.050405	-0.0041797	-0.00263949
23	HOXA1	guide_037	sgHOXA1_37	50	29	0.0040475	-0.0129457	0.0218609	0.187239	0.482759	0.0521862	0.0480857	0.00314426
24	CD92	guide_021	sgCD92_21	50	29	0.00641795	-0.0114058	0.0346638	0.239906	0.517241	0.0340201	0.0439115	0.00178941
25	ATP9	guide_040	sgATP9_40	50	29	0.00809128	0.00565633	0.0437016	0.278441	0.482759	-0.04941	-0.11479	0.0020578
26	ZNF20	guide_018	sgZNF20_18	50	29	0.00945092	0.0156796	0.0510451	0.389633	0.517241	0.0527913	0.0484456	0.003714
27	HOXB5	guide_020	sgHOXB5_20	50	29	0.00987193	0.00736154	0.053319	0.363865	0.448276	0.301668	0.263338	0.00307722
28	TRIM20	guide_032	sgTRIM20_32	50	29	0.0104868	-0.00533154	0.0566398	0.373723	0.413793	0.0534393	0.037413	-0.00333294
29	ZNF122	guide_028	sgZNF122_28	50	29	0.0160937	0.0175094	0.0869233	0.524251	0.448276	0.0271848	0.0249363	0.0057364
30	ZNF329	guide_031	sgZNF329_31	50	29	0.0179996	0.00887049	0.0972174	0.787612	0.448276	-0.0606348	-0.0315858	-0.000238532
31	RPL27	guide_015	sgRPL27_15	50	29	0.019187	0.046056	0.10363	0.682136	0.413793	-0.320024	-0.20211	-0.00134772
