metric	value
reference_rows	50
cell_barcodes	2455
call_rows	2455
call_barcode_overlap	2455
call_barcode_missing	0
matrix_header	1000 2455 2410284
matrix_counted_entries	2410284
features	1000
measured_hallmark_ifng_genes	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,IRF7,GBP1,GBP2,IDO1,TRIM14,TRIM21,B2M,CD38
measured_hallmark_ifng_count	19
feature_names_first_120	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1,ZNF455,RPL28,TRIM40,FGF5,SOX15,FGF14,ZNF47,ZNF341,FGF2,CD97,SLC2A4,MMP14,ZNF420,ZNF68,ATP38,NEAT1,ZNF128,ZNF405,CD128,RPS21,ZNF304,ZNF436,ZNF475,SOX3,ZNF153,HOXB5,ATP49,CD108,ZNF348,HOXC6,RPL9,ZNF204,ZNF73,ZNF118,TRIM36,ZNF432,TRIM14,TRIM59,ZNF65,CD85,ZNF75,ZNF238,ZNF59,ZNF125,RPL24,ZNF173,ZNF28,CXCL13,ZNF458,MMP11,MMP22,TRIM7,CD91,ZNF29,CCL23,ZNF69,CD139,EGFR,ZNF234,ZNF121,ZNF142,RPL22,RPS3,RPL13,TRIM1,ZNF335,MAPK12,ZNF132,ZNF286,KRT39,TRIM16,CCL20,KRT31,CCL17,ZNF15,ZNF92,FGF10,ZNF354,ZNF20,KRT7,ATP42,TRIM28,ATP1,RPS27,ZNF166,TRIM51,ZNF105,SLC2A8,MAPK10,KRT32,FGF8,CD102,ZNF49,CD113,MAPK2,ZNF423,ZNF237,CD96,ZNF151,ZNF483
guide_id	target_gene	cells	mean_num_umis
guide_001	Non-Targeting	50	451.140
guide_002	Non-Targeting	50	450.220
guide_003	Non-Targeting	50	450.440
guide_004	Non-Targeting	50	448.320
guide_005	Non-Targeting	50	444.880
guide_006	Non-Targeting	50	448.540
guide_007	Non-Targeting	50	451.480
guide_008	Non-Targeting	50	451.600
guide_009	Non-Targeting	50	447.800
guide_010	Non-Targeting	50	447.840
guide_011	STAT1	5	447.400
guide_012	ISG15	50	451.380
guide_013	CD103	50	452.660
guide_014	ZNF326	50	453.400
guide_015	RPL27	50	458.880
guide_016	SOX28	50	449.920
guide_017	TRIM23	50	445.980
guide_018	ZNF20	50	451.080
guide_019	IL6	50	448.760
guide_020	HOXB5	50	451.660
guide_021	CD92	50	449.080
guide_022	ZNF264	50	451.220
guide_023	ATP27	50	449.160
guide_024	ZNF115	50	448.420
guide_025	ZNF205	50	454.480
guide_026	CD39	50	446.560
guide_027	MAPK2	50	448.120
guide_028	ZNF122	50	446.580
guide_029	MAPK1	50	450.220
guide_030	ZNF361	50	451.640
guide_031	ZNF329	50	453.500
guide_032	TRIM20	50	446.400
guide_033	CD83	50	451.360
guide_034	ZNF159	50	445.560
guide_035	CCL8	50	445.860
guide_036	ZNF324	50	454.340
guide_037	HOXA1	50	454.240
guide_038	TRIM33	50	444.740
guide_039	ZNF209	50	454.900
guide_040	ATP9	50	450.580
guide_041	ZNF359	50	450.480
guide_042	ZNF315	50	451.660
guide_043	TRIM5	50	453.520
guide_044	CD69	50	449.900
guide_045	CD149	50	452.380
guide_046	ZNF90	50	443.780
guide_047	ATP49	50	452.980
guide_048	SLC2A1	50	452.360
guide_049	ZNF271	50	452.820
guide_050	ZNF101	50	452.320
