GroupBy(cluster)	count(scores)	mean(scores)	median(scores)	q1(scores)	q3(scores)	sstdev(scores)
ISG15	29	-4.7142599131034	-8.5565	-9.638253	1.0766264	5.4066753413588
STAT1	29	-1.3545465624138	-2.3253744	-2.66109	0.31107756	1.7036285133495
CD149	29	-0.32136319817241	-0.21187079	-0.9034843	0.3742754	0.87084911609129
CD39	29	-0.26552296086207	-0.2846722	-0.8264892	0.06486793	0.83781939731572
SOX28	29	-0.24127163448276	-0.12180236	-0.8964889	0.21187134	0.8626829028091
ZNF159	29	-0.23399827506897	-0.4312133	-0.8866844	0.52827704	0.96285839205326
ZNF264	29	-0.22786704998276	-0.22167099	-0.76908356	0.3724074	1.0753784193702
ATP49	29	-0.19859514655172	-0.29400578	-0.85261965	0.61321187	0.88530708240682
TRIM23	29	-0.16174401724138	-0.1446698	-0.8792218	0.58147824	0.90737529434629
TRIM5	29	-0.14806644265517	-0.18620373	-0.9417576	0.91328603	1.0727020520682
ZNF315	29	-0.1451835737931	0.013066926	-0.8437541	0.47460985	1.0850258452936
MAPK1	29	-0.13639965202414	-0.06626796	-0.4186088	0.28093976	0.82594723609172
ZNF209	29	-0.10667650337931	0	-0.6645472	0.5203437	1.0042294912402
ZNF359	29	-0.088942215	-0.046201095	-1.1452328	0.6762152	1.0224205318991
ZNF115	29	-0.055261443896552	0.043400854	-0.4713425	0.45360887	0.75212466997014
ZNF271	29	-0.041325649517241	0.11760232	-0.7457598	0.71681446	1.3122850119614
ZNF122	29	-0.038365425	-0.17173667	-0.7807484	0.57634467	1.043072639559
ATP27	29	-0.012085777206897	0.024734141	-0.747148	0.6953479	1.1793044938705
HOXA1	29	-0.01000934112069	-0.11573588	-0.7093485	0.48627606	0.98774833310202
ZNF20	29	0.0038134312413793	0.08306871	-0.66827935	0.5800779	1.1221046047969
CCL8	29	0.012246486655172	0.07326864	-0.55861074	0.44754258	0.87338319071472
CD92	29	0.019085192758621	0.07840151	-0.78728163	0.55581284	1.1301000375686
ZNF326	29	0.023011836448276	0.050401457	-0.7639483	0.74621713	1.0677657153403
ATP9	29	0.02351035862069	-0.037800837	-0.67527944	0.827887	1.1583240271015
ZNF361	29	0.034727039551724	-0.036400713	-0.5488108	0.691148	1.1537117705004
CD83	29	0.051156458482759	0.03780076	-0.7914824	0.5791446	1.0447451372743
HOXB5	29	0.053457688	-0.05320107	-0.6589524	0.8166826	1.1445729918516
ZNF101	29	0.067636623448276	0.1848036	-0.42047703	0.7149473	0.82592811315254
MAPK2	29	0.096231483103448	0.1120032	-0.42887682	0.8376863	0.83820137582642
TRIM33	29	0.11024802151724	-0.011667006	-0.4466088	0.614612	0.78529846847832
ZNF205	29	0.11716740861034	0.11340282	-0.24640496	0.64541286	0.66573017265675
ZNF329	29	0.11893877913793	0.17593873	-0.7410812	0.9506296	1.1090481432004
CD103	29	0.14679358965517	0.3705405	-0.58007896	0.74715006	0.93381124008538
RPL27	29	0.16948426810345	0.062068053	-0.27673918	0.9725537	1.0190034948427
CD69	29	0.23773137610345	0.104068704	-0.32853973	1.0686878	1.1889907175732
SLC2A1	29	0.25409731231034	0.15213694	-0.26507187	0.7004802	0.84068763422048
TRIM20	29	0.26034091524138	0.46807587	-0.58567876	1.2343612	1.2255363673222
IL6	29	0.29144676703448	-0.063467905	-0.5992198	1.1914258	1.1386904229794
ZNF324	29	0.35610639951724	0.4806766	-0.17033695	1.1984234	1.1013140261802
ZNF90	29	0.43209450644828	0.4634092	-0.13580264	1.1494257	0.82335075454357
