metric	value
alignments	18195000
without_CB	0
usable_alignments	5170540
malformed	0
raw_reads_barcodes	3639
raw_reads_sum	18195000
raw_reads_max	5000
raw_reads_median	5000
raw_reads_min	5000
raw_reads_ge_1	3639
raw_reads_ge_10	3639
raw_reads_ge_20	3639
raw_reads_ge_50	3639
raw_reads_ge_100	3639
raw_reads_ge_200	3639
raw_reads_ge_500	3639
raw_reads_ge_1000	3639
raw_reads_ge_2000	3639
raw_reads_ge_5000	3639
raw_reads_rank_1	5000
raw_reads_rank_10	5000
raw_reads_rank_50	5000
raw_reads_rank_100	5000
raw_reads_rank_250	5000
raw_reads_rank_500	5000
raw_reads_rank_1000	5000
raw_reads_rank_2000	5000
raw_reads_rank_3000	5000
raw_reads_rank_4000	NA
raw_reads_rank_5000	NA
raw_reads_rank_7500	NA
raw_reads_rank_10000	NA
raw_reads_rank_15000	NA
raw_reads_rank_20000	NA
usable_reads_barcodes	3639
usable_reads_sum	5170540
usable_reads_max	3651
usable_reads_median	1399
usable_reads_min	345
usable_reads_ge_1	3639
usable_reads_ge_10	3639
usable_reads_ge_20	3639
usable_reads_ge_50	3639
usable_reads_ge_100	3639
usable_reads_ge_200	3639
usable_reads_ge_500	3635
usable_reads_ge_1000	3567
usable_reads_ge_2000	52
usable_reads_ge_5000	0
usable_reads_rank_1	3651
usable_reads_rank_10	2426
usable_reads_rank_50	2012
usable_reads_rank_100	1889
usable_reads_rank_250	1762
usable_reads_rank_500	1648
usable_reads_rank_1000	1522
usable_reads_rank_2000	1376
usable_reads_rank_3000	1233
usable_reads_rank_4000	NA
usable_reads_rank_5000	NA
usable_reads_rank_7500	NA
usable_reads_rank_10000	NA
usable_reads_rank_15000	NA
usable_reads_rank_20000	NA
molecules_barcodes	3639
molecules_sum	849526
molecules_max	421
molecules_median	233
molecules_min	73
molecules_ge_1	3639
molecules_ge_10	3639
molecules_ge_20	3639
molecules_ge_50	3639
molecules_ge_100	3635
molecules_ge_200	3186
molecules_ge_500	0
molecules_ge_1000	0
molecules_ge_2000	0
molecules_ge_5000	0
molecules_rank_1	421
molecules_rank_10	330
molecules_rank_50	302
molecules_rank_100	292
molecules_rank_250	277
molecules_rank_500	265
molecules_rank_1000	251
molecules_rank_2000	229
molecules_rank_3000	206
molecules_rank_4000	NA
molecules_rank_5000	NA
molecules_rank_7500	NA
molecules_rank_10000	NA
molecules_rank_15000	NA
molecules_rank_20000	NA
raw_reads_knee_rank	1
raw_reads_knee_count	5000
molecules_knee_rank	2391
molecules_knee_count	222
