PDB_SHAPE_SPECIFIC v1
panel	view	u	v	normal	aspect
1	sphere_052	-0.12367 -0.99232 0.00000	0.56645 -0.07060 0.82107	-0.81476 0.10154 0.57083	1.60
2	sphere_073	0.00976 -0.99995 0.00000	0.39581 0.00386 0.91832	-0.91828 -0.00896 0.39583	1.50
3	sphere_056	-0.05106 0.99870 0.00000	-0.53680 -0.02745 0.84326	0.84216 0.04306 0.53750	1.50
4	sphere_091	-0.69843 -0.71568 0.00000	0.17594 -0.17170 0.96931	-0.69372 0.67700 0.24583	1.50
5	sphere_112	-0.59676 -0.80242 0.00000	0.05684 -0.04227 0.99749	-0.80040 0.59526 0.07083	1.71
6	sphere_146	-0.66097 -0.75041 0.00000	-0.15946 0.14046 0.97716	-0.73327 0.64588 -0.21250	1.60
7	PC1-PC2	0.99596 -0.08513 0.02855	-0.08661 -0.82680 0.55579	-0.02371 -0.55602 -0.83083	2.00
8	PC1-PC3	0.99596 -0.08513 0.02855	0.02371 0.55602 0.83083	-0.08661 -0.82680 0.55579	3.00
9	PC2-PC3	-0.08661 -0.82680 0.55579	0.02371 0.55602 0.83083	-0.99596 0.08513 -0.02855	1.41
image specific_projection.png
