rank	analysis	experiment	read_depth_sum	signal_file	biological_replicates	pearson_raw	pearson_log1p	signal_mode
1	ENCAN071CDF	ENCSR420HOT	76608288	ENCFF907ITJ	1	0.887097337997	0.920886647575	individual
2	ENCAN611JRE	ENCSR531UVE	78570568	ENCFF627GLJ	1	0.929353284517	0.901290570444	individual
3	ENCAN578MOX	ENCSR541PUY	79899966	ENCFF565PXG	1	0.959265370767	0.876024827899	individual
4	ENCAN344TWW	ENCSR694DOX	84549926	ENCFF130TYS	1	0.772509353913	0.872195667933	individual
5	ENCAN171VCK	ENCSR649MJI	87133288	ENCFF539NFV	1	0.7643871342	0.869631121608	individual
6	ENCAN650LCY	ENCSR763XBU	89688954	ENCFF013AMD	1	0.722216382235	0.868839271354	individual
7	ENCAN571KFE	ENCSR646JBR	89660794	ENCFF860TZJ	1	0.79430097942	0.862802414804	individual
8	ENCAN719VIJ	ENCSR455GUW	83201100	ENCFF717OQE	1	0.765676522826	0.856390408543	individual
9	ENCAN445MLE	ENCSR339TVH	83340024	ENCFF576ZEH	1	0.768895500327	0.853699865841	individual
10	ENCAN131EWS	ENCSR422IIZ	82032010	ENCFF707HLC	1	0.755315054254	0.850152770011	individual
11	ENCAN257HGN	ENCSR457JOG	81701162	ENCFF635EBG	1	0.908703119613	0.848749588457	individual
12	ENCAN981QZM	ENCSR597URK	78558518	ENCFF186BOY	1	0.98496663271	0.843147406609	individual
13	ENCAN728DXS	ENCSR164PQJ	82430344	ENCFF563TJP	1	0.897072725684	0.839573518258	individual
14	ENCAN001QCQ	ENCSR163GMC	82385210	ENCFF831JZM	1	0.783763339526	0.839439028071	individual
15	ENCAN688XVP	ENCSR740DJQ	82509208	ENCFF414WEG	1	0.965751188221	0.829843096266	individual
16	ENCAN082HCH	ENCSR659JPP	88837942	ENCFF851FKA	1	0.836239800977	0.822975866942	individual
17	ENCAN346QLW	ENCSR497NLU	81673586	ENCFF829JMH	1	0.97964078019	0.817791642571	individual
18	ENCAN303BFR	ENCSR000EQK	82810043	ENCFF308FQH	1	0.733050796275	0.810411998235	individual
19	ENCAN712YGD	ENCSR058ELM	79041522	ENCFF771ULB	1	0.952452173781	0.785855075495	individual
20	ENCAN870ZML	ENCSR296TFH	78670480	ENCFF907EIG	1	0.958680076696	0.76858710563	individual
21	ENCAN450CRC	ENCSR122VUW	86838783	ENCFF861NNR,ENCFF789FRC	all	0.860299830939	0.767741333883	replicate_mean
22	ENCAN450CRC	ENCSR122VUW	86838783	ENCFF789FRC	2	0.833027919454	0.765584863985	individual
23	ENCAN450CRC	ENCSR122VUW	86838783	ENCFF861NNR	1	0.871578618273	0.76310211025	individual
24	ENCAN907ZIN	ENCSR634YVQ	83681250	ENCFF299RIU	1	0.762524468972	0.760912394695	individual
25	ENCAN272RCW	ENCSR796SJV	79390571	ENCFF988XLP	1	0.774506091258	0.75895965565	individual
26	ENCAN093DOE	ENCSR385AMY	77622158	ENCFF641EOS	1	0.783053507619	0.730499689117	individual
27	ENCAN511VYT	ENCSR033STL	88142740	ENCFF619PMY	1	0.770986007372	0.727182995783	individual
28	ENCAN709LZL	ENCSR935EVZ	88030893	ENCFF799EDE	1	0.813932500117	0.722756708692	individual
29	ENCAN273LMB	ENCSR517NHP	82513740	ENCFF681LTR	1	0.740875286067	0.711059244748	individual
30	ENCAN204MPS	ENCSR000EPK	76326299	ENCFF389PZY	2	0.7843070929	0.703344841262	individual
31	ENCAN261KXH	ENCSR434OBM	82010714	ENCFF226ROM	1	0.586020146052	0.597493081091	individual
