rank	experiment	filtered_bams	qc_mapped_sum	best_total	median_error	p90_error
1	ENCSR597URK	ENCFF051GHB:78558518	78558518	76271167.339	0.000222967581	0.000556458524
2	ENCSR163GMC	ENCFF860YPG:82385210	82385210	76271158.058	0.000223329761	0.000556897287
3	ENCSR122VUW	ENCFF583NWU:53281865,ENCFF759CIX:33556918	86838783	76271137.032	0.000224150228	0.000557891245
4	ENCSR058ELM	ENCFF663ZYE:79041522	79041522	76271254.977	0.000224531375	0.000554436323
5	ENCSR000EQK	ENCFF641LOI:82810043	82810043	76271100.325	0.000225582596	0.000559626494
6	ENCSR740DJQ	ENCFF016ISY:82509208	82509208	76271290.751	0.000225736692	0.000553852114
7	ENCSR385AMY	ENCFF609ONB:77622158	77622158	76271297.256	0.000225955866	0.000553745881
8	ENCSR000EPK	ENCFF254VNR:76326299	76326299	76271322.693	0.000226812927	0.000553330469
9	ENCSR420HOT	ENCFF425CQF:76608288	76608288	76271334.106	0.000227197449	0.000553144093
10	ENCSR935EVZ	ENCFF735YUU:88030893	88030893	76271346.020	0.000227598847	0.000552949539
11	ENCSR659JPP	ENCFF486AEZ:88837942	88837942	76271346.928	0.000227629458	0.000552934702
12	ENCSR649MJI	ENCFF138DUZ:87133288	87133288	76271361.235	0.000228111475	0.000552701071
13	ENCSR339TVH	ENCFF948ZYY:83340024	83340024	76271373.184	0.000228514096	0.000552505923
14	ENCSR000EQL	ENCFF816ZVF:43375956,ENCFF505BXT:32841712	76217668	76270997.502	0.000229594915	0.000564487231
15	ENCSR455GUW	ENCFF226LGV:83201100	83201100	76270994.169	0.000229724977	0.000564644796
16	ENCSR531UVE	ENCFF300YHK:78570568	78570568	76271422.682	0.000230181798	0.000551697598
17	ENCSR763XBU	ENCFF277BCT:89688954	89688954	76271441.637	0.000230820436	0.000551388054
18	ENCSR296TFH	ENCFF199RZW:78670480	78670480	76271447.314	0.000231011688	0.000551295355
19	ENCSR796SJV	ENCFF479ENE:79390571	79390571	76271450.429	0.000231116668	0.000551244472
20	ENCSR422IIZ	ENCFF396JLE:82032010	82032010	76271459.755	0.000231430883	0.000551092174
21	ENCSR164PQJ	ENCFF891OQU:82430344	82430344	76270942.620	0.000231736503	0.000567081666
