rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	files	bio_reps	flag_totals	mq0	sizes	hrefs
1	ENCSR060BFU	2	76241079	76240951	ENCFF073UNC,ENCFF470NYT	1,1	37850069,38391010	0,0	1803659151,1846812640	https://www.encodeproject.org/files/ENCFF073UNC/@@download/ENCFF073UNC.bam,https://www.encodeproject.org/files/ENCFF470NYT/@@download/ENCFF470NYT.bam
2	ENCSR228BOM	2	76331922	76331862	ENCFF568BBB,ENCFF595LDQ	1,1	38077118,38254804	0,0	1761623448,1783449351	https://www.encodeproject.org/files/ENCFF568BBB/@@download/ENCFF568BBB.bam,https://www.encodeproject.org/files/ENCFF595LDQ/@@download/ENCFF595LDQ.bam
3	ENCSR888GBS	2	76341503	76341452	ENCFF465GMC,ENCFF868KCX	1,1	38103510,38237993	0,0	1667231786,1692952562	https://www.encodeproject.org/files/ENCFF465GMC/@@download/ENCFF465GMC.bam,https://www.encodeproject.org/files/ENCFF868KCX/@@download/ENCFF868KCX.bam
4	ENCSR495INQ	2	76201721	76201043	ENCFF307JMF,ENCFF582VTL	1,1	39354637,36847084	0,0	1789243321,1686867435	https://www.encodeproject.org/files/ENCFF307JMF/@@download/ENCFF307JMF.bam,https://www.encodeproject.org/files/ENCFF582VTL/@@download/ENCFF582VTL.bam
5	ENCSR420HOT	1	76608288	76608288	ENCFF425CQF	1	76608288	0	3472778686	https://www.encodeproject.org/files/ENCFF425CQF/@@download/ENCFF425CQF.bam
6	ENCSR588JXI	2	75860993	75860888	ENCFF027HRH,ENCFF871ZIO	1,1	37780261,38080732	0,0	1718214920,1750151707	https://www.encodeproject.org/files/ENCFF027HRH/@@download/ENCFF027HRH.bam,https://www.encodeproject.org/files/ENCFF871ZIO/@@download/ENCFF871ZIO.bam
7	ENCSR580OAH	2	75804781	75804680	ENCFF451NJI,ENCFF703MVA	1,1	38023526,37781255	0,0	1546174457,1519822953	https://www.encodeproject.org/files/ENCFF451NJI/@@download/ENCFF451NJI.bam,https://www.encodeproject.org/files/ENCFF703MVA/@@download/ENCFF703MVA.bam
8	ENCSR990XXC	2	75772426	75772326	ENCFF205EJO,ENCFF410BDB	1,1	37746263,38026163	0,0	1688670925,1713431912	https://www.encodeproject.org/files/ENCFF205EJO/@@download/ENCFF205EJO.bam,https://www.encodeproject.org/files/ENCFF410BDB/@@download/ENCFF410BDB.bam
9	ENCSR544KDB	2	76783344	76783299	ENCFF166XSR,ENCFF756MBO	1,1	38317259,38466085	0,0	1716930782,1736876072	https://www.encodeproject.org/files/ENCFF166XSR/@@download/ENCFF166XSR.bam,https://www.encodeproject.org/files/ENCFF756MBO/@@download/ENCFF756MBO.bam
10	ENCSR960EJV	2	75744459	75744406	ENCFF037ONT,ENCFF166WYW	1,1	37787193,37957266	0,0	1650760652,1671366506	https://www.encodeproject.org/files/ENCFF037ONT/@@download/ENCFF037ONT.bam,https://www.encodeproject.org/files/ENCFF166WYW/@@download/ENCFF166WYW.bam
11	ENCSR802AJE	2	76908144	76908049	ENCFF567PGB,ENCFF676ZVU	1,1	38321506,38586638	0,0	1856261909,1888566734	https://www.encodeproject.org/files/ENCFF567PGB/@@download/ENCFF567PGB.bam,https://www.encodeproject.org/files/ENCFF676ZVU/@@download/ENCFF676ZVU.bam
12	ENCSR176KYD	2	75635832	75634086	ENCFF334DIW,ENCFF658JQA	1,1	35627374,40008458	0,0	1666605388,1823967022	https://www.encodeproject.org/files/ENCFF334DIW/@@download/ENCFF334DIW.bam,https://www.encodeproject.org/files/ENCFF658JQA/@@download/ENCFF658JQA.bam
13	ENCSR696XSJ	2	76970951	76970453	ENCFF307RHR,ENCFF420MIU	1,1	39261899,37709052	0,0	1853302466,1778105465	https://www.encodeproject.org/files/ENCFF307RHR/@@download/ENCFF307RHR.bam,https://www.encodeproject.org/files/ENCFF420MIU/@@download/ENCFF420MIU.bam
14	ENCSR263IGU	2	75536885	75536821	ENCFF385SWW,ENCFF399JGM	1,1	37845593,37691292	0,0	1555149616,1529160255	https://www.encodeproject.org/files/ENCFF385SWW/@@download/ENCFF385SWW.bam,https://www.encodeproject.org/files/ENCFF399JGM/@@download/ENCFF399JGM.bam
15	ENCSR488PHT	2	77100003	77099943	ENCFF240OPC,ENCFF737ILJ	1,1	38459252,38640751	0,0	1653977410,1675169424	https://www.encodeproject.org/files/ENCFF240OPC/@@download/ENCFF240OPC.bam,https://www.encodeproject.org/files/ENCFF737ILJ/@@download/ENCFF737ILJ.bam
16	ENCSR615WIN	2	77123624	77123493	ENCFF342GYS,ENCFF762XYC	1,1	38788547,38335077	0,0	1825321704,1785033738	https://www.encodeproject.org/files/ENCFF342GYS/@@download/ENCFF342GYS.bam,https://www.encodeproject.org/files/ENCFF762XYC/@@download/ENCFF762XYC.bam
17	ENCSR849OKE	2	77382128	77382089	ENCFF389PCQ,ENCFF574GID	1,1	38617784,38764344	0,0	1673757197,1700155151	https://www.encodeproject.org/files/ENCFF389PCQ/@@download/ENCFF389PCQ.bam,https://www.encodeproject.org/files/ENCFF574GID/@@download/ENCFF574GID.bam
18	ENCSR357PMV	2	77479879	77479815	ENCFF590PWV,ENCFF791NEI	1,1	38631803,38848076	0,0	1489351123,1516045711	https://www.encodeproject.org/files/ENCFF590PWV/@@download/ENCFF590PWV.bam,https://www.encodeproject.org/files/ENCFF791NEI/@@download/ENCFF791NEI.bam
19	ENCSR670ZSA	2	75053488	75053445	ENCFF199PNS,ENCFF235BPV	1,1	37458872,37594616	0,0	1654869833,1680442699	https://www.encodeproject.org/files/ENCFF199PNS/@@download/ENCFF199PNS.bam,https://www.encodeproject.org/files/ENCFF235BPV/@@download/ENCFF235BPV.bam
20	ENCSR639XWF	2	77546781	77546717	ENCFF839QKD,ENCFF949JDL	1,1	38887803,38658978	0,0	1661281411,1632554244	https://www.encodeproject.org/files/ENCFF839QKD/@@download/ENCFF839QKD.bam,https://www.encodeproject.org/files/ENCFF949JDL/@@download/ENCFF949JDL.bam
21	ENCSR871APX	2	74971865	74971798	ENCFF199RGX,ENCFF685FBO	1,1	37384727,37587138	0,0	1702237455,1723768112	https://www.encodeproject.org/files/ENCFF199RGX/@@download/ENCFF199RGX.bam,https://www.encodeproject.org/files/ENCFF685FBO/@@download/ENCFF685FBO.bam
22	ENCSR305UJX	2	74924354	74923966	ENCFF837QAV,ENCFF867EBM	1,1	38177354,36747000	0,0	1968852193,1892490888	https://www.encodeproject.org/files/ENCFF837QAV/@@download/ENCFF837QAV.bam,https://www.encodeproject.org/files/ENCFF867EBM/@@download/ENCFF867EBM.bam
23	ENCSR846CTA	2	77658272	77658229	ENCFF271RCY,ENCFF602VFQ	1,1	38754802,38903470	0,0	1722968961,1750242895	https://www.encodeproject.org/files/ENCFF271RCY/@@download/ENCFF271RCY.bam,https://www.encodeproject.org/files/ENCFF602VFQ/@@download/ENCFF602VFQ.bam
24	ENCSR606UAR	2	77729154	77729075	ENCFF353BGJ,ENCFF593CAF	1,1	39007946,38721208	0,0	1984164295,1947337493	https://www.encodeproject.org/files/ENCFF353BGJ/@@download/ENCFF353BGJ.bam,https://www.encodeproject.org/files/ENCFF593CAF/@@download/ENCFF593CAF.bam
25	ENCSR167XSQ	2	74682768	74682724	ENCFF024CTB,ENCFF276CFK	1,1	37427254,37255514	0,0	1702294059,1671097024	https://www.encodeproject.org/files/ENCFF024CTB/@@download/ENCFF024CTB.bam,https://www.encodeproject.org/files/ENCFF276CFK/@@download/ENCFF276CFK.bam
26	ENCSR014VAC	2	74445994	74445940	ENCFF203UES,ENCFF694DML	1,1	37127546,37318448	0,0	1739275591,1762407267	https://www.encodeproject.org/files/ENCFF203UES/@@download/ENCFF203UES.bam,https://www.encodeproject.org/files/ENCFF694DML/@@download/ENCFF694DML.bam
27	ENCSR059LXL	2	74399316	74399273	ENCFF313CKZ,ENCFF503BFE	1,1	37277541,37121775	0,0	1631358054,1605665497	https://www.encodeproject.org/files/ENCFF313CKZ/@@download/ENCFF313CKZ.bam,https://www.encodeproject.org/files/ENCFF503BFE/@@download/ENCFF503BFE.bam
28	ENCSR847RSJ	2	74170243	74170200	ENCFF052YVD,ENCFF370VHQ	1,1	36999813,37170430	0,0	1630855063,1650234062	https://www.encodeproject.org/files/ENCFF052YVD/@@download/ENCFF052YVD.bam,https://www.encodeproject.org/files/ENCFF370VHQ/@@download/ENCFF370VHQ.bam
