accession	dataset	biological_replicates	preferred_default	peak_count	peak_bins	top_overlap	weighted_signal_in_peak_bins	status
ENCFF757ATU	/experiments/ENCSR000ELJ/	[1]		905639	220785	1000	932631.173000	ok
ENCFF826MXH	/experiments/ENCSR059ETS/	[1]		886147	221686	1000	909412.979000	ok
ENCFF939OEJ	/experiments/ENCSR000EMZ/	[1]		469780	204132	999	888562.460000	ok
ENCFF381RGE	/experiments/ENCSR000EOO/	[1]		489590	190476	1000	883880.457000	ok
ENCFF222BPQ	/experiments/ENCSR097BWW/	[2]		426246	180474	1000	871056.611000	ok
ENCFF041JKB	/experiments/ENCSR910OQF/	[1]		456522	194623	998	868688.515000	ok
ENCFF577EFB	/experiments/ENCSR714DIF/	[1]		407286	188213	1000	867403.404000	ok
ENCFF510PLK	/experiments/ENCSR208DMX/	[1]		405936	172169	1000	866033.668000	ok
ENCFF487JOW	/experiments/ENCSR121ZSL/	[1]		468498	180190	1000	862949.174000	ok
ENCFF022MNE	/experiments/ENCSR141VGA/	[1]		414146	180846	1000	862664.652000	ok
ENCFF801NDS	/experiments/ENCSR272RQX/	[1]		433025	178977	1000	858161.913000	ok
ENCFF798RJT	/experiments/ENCSR485UQY/	[1]		501606	179161	1000	853693.789000	ok
ENCFF399PDQ	/experiments/ENCSR537BGX/	[1]		435009	169155	1000	852695.856000	ok
ENCFF991SBA	/experiments/ENCSR774RCO/	[1]		381205	170274	1000	852114.849000	ok
ENCFF164KPC	/experiments/ENCSR217TAW/	[1]		432646	167468	1000	849597.365000	ok
ENCFF492MEK	/experiments/ENCSR752EPH/	[1]		365573	180044	997	848336.147000	ok
ENCFF844EYN	/experiments/ENCSR475VQD/	[1]		377907	181713	999	847761.774000	ok
ENCFF023HLZ	/experiments/ENCSR004SUL/	[2]		373998	174896	999	847428.729000	ok
ENCFF544DXR	/experiments/ENCSR000ENN/	[1]		380380	176783	1000	847191.830000	ok
ENCFF705HUP	/experiments/ENCSR337IRF/	[2]		393135	171931	998	846878.044000	ok
