Supplementary Table 8. Pharmacological implication of the coincident associations.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
B. Protein targets and their druggability				
Druggable proteins and their drugs have been identified by Pharmaprojects database				
				
Protein Target	Target identified as	Is a target druggable?	Inibitory drugs	Activator drugs
CD40	pQTL	yes	yes	yes
BAFF-R	pQTL	yes	yes	no
CCR2	pQTL	yes	yes	no
CD11b	pQTL	yes	no	yes
CD11c	pQTL	no		
CD123	pQTL	yes	yes	no
CD14	pQTL	yes	yes	no
CD19	pQTL	yes	yes	no
CD20	pQTL	yes	yes	no
CD25	pQTL	yes	yes	yes
CD27 	pQTL	yes	no	yes
CD28	pQTL	yes	yes	yes
CD3	pQTL	yes	yes	yes
CD33	pQTL	yes	yes	no
CD34	pQTL	no		
CD45	pQTL	yes	yes	no
CD45RA	pQTL	no		
CD62L	pQTL	yes	yes	no
CD64	pQTL	yes	yes	no
CD8	pQTL	yes	yes	yes
CD80	pQTL	yes	yes	no
CX3CR1	pQTL	yes	yes	no
HLA DR	pQTL	no		
HVEM	pQTL	yes	no	yes
IgD	pQTL	no		
PDL-1	pQTL	yes	yes	no
TNFSF13B	pQTL*	yes	yes	no
CCR7	pQTL	yes	yes	no
CD32	pQTL	yes	yes	no
				
* pQTL in Steri et al, NEJM 2017				
