Supplementary Table 7. Locus-specific analyses on CD27 and CD40 protein levels.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
E: Two-sample Mendelian Randomization analyses									
Causal effects of exposures in outcomes have been estimated by random effects Inverse Variance Weighted (IVW), Weighted Median (WM), MR-Egger and MR-PRESSO methods. 									
The Cochran's Q statistic was used to calculate heterogeneity for IVW and MR-Egger methods and to estimate MR-Egger intercept pleiotropy.									
When heterogeneity was significant: IVW was replaced by WM; if IVs>3, MR-PRESSO ws applied to identify and discard significant pleiotropic Ivs (P<0.05).									
After MR-PRESSO filtering, if IVs>3, IWV, WM and MR-Egger were carried out on IVs filtered models.									
All statistical tests applied are two-sided.									
Significance threshold was determined by adjusting the nominal P (0.05) with the number of independent exposures tested (two traits in two diseases), obtaining P<1.25x10-2.									
Significant and robust MR results are reported in bold; warning p-values (showing heterogeneity/pleiotropy) are in red. Global models based on all IVs before MR-PRESSO pleiotropy correction are in italics.									
									
Exposure	Outcome	MR Method	N IVs	Causal effect estimate	Standard error	P-value	Q-statistic	Q P-value	MR-PRESSO global p-value
CD27 on IgD- CD38dim	MS	IVW 	18	0.09348576	0.0426336	0.028323832	66.92068	7.260487e-08	
		WM	18	0.11521266	0.03556356	0.001196863			
		Egger estimate	18	0.19690533	0.03198291	<2E-16	42.05802	0.0003868122	
		Egger intercept	18	-0.04390153	0.01427481	0.00724269			
		MR-PRESSO raw	18	1.7137137	0.932322	0.08260777			<0.001
		MR-PRESSO outlier-corrected	8	0.3900434	0.8862632	0.67151351			n.s.
		IVW outlier-corrected	8	0.11272114	0.08596117	0.1897554	13.09383	0.06985506	
		WM outlier-corrected	8	0.05578867	0.09551646	0.5591705			
		Egger estimate outlier-corrected	8	0.11587779	0.09483473	0.105	12.39635	0.05368879	
		Egger intercept outlier-corrected	8	-0.03136696	0.05398573	0.5823763			
CD27 on IgD- CD38dim	RA	IVW 	17	-0.1168711	0.04885756	0.01675327	74.5201	1.591266e-09	
		WM	17	-0.1988133	0.03088162	1.211251e-10			
		Egger estimate	17	-0.1490169	0.03489442	<2E-16	63.59852	6.006616e-08	
		Egger intercept	17	0.03292821	0.0205165	0.1293451			
		MR-PRESSO raw	17	-2.710338	0.9250062	0.008944447			<0.001
		MR-PRESSO outlier-corrected	13	-3.527998	1.1108379	0.006734675			0.088
		IVW outlier-corrected	13	-0.1287895	0.04795809	0.007243015	8.488433	0.7458918	
		WM outlier-corrected	13	-0.1698702	0.06243358	0.006512123			
		Egger estimate outlier-corrected	13	-0.1508237	0.09859404	0.064	8.487353	0.669096	
		Egger intercept outlier-corrected	13	-0.000799678	0.02433251	0.9743713			
CD40 on IgD- CD38dim	MS	IVW 	7	-0.11362577	0.03988884	0.004391755	21.95135	0.001235697	
		WM	7	-0.10164769	0.03398749	0.002783034			
		Egger estimate	7	-0.19618131	0.03038106	<2E-16	11.83103	0.03717792	
		Egger intercept	7	0.06181067	0.02988769	0.09346544			
		MR-PRESSO raw	7	-4.552415	1.732785	0.039205			<0.001
		MR-PRESSO outlier-corrected	4	-5.070218	1.663886	0.05554997			0.053
		IVW outlier-corrected	4	-0.1536279	0.04224913	0.0002766496	9.499543	0.02333623	
		WM outlier-corrected	4	-0.1552004	0.02660788	5.448087e-09			
		Egger estimate outlier-corrected	4	-0.2098321	0.0334944	<2E-16	1.350608	0.50900172	
		Egger intercept outlier-corrected	4	0.05619546	0.0196857	0.1039336			
CD40 on IgD- CD38dim	RA	IVW 	7	0.11123825	0.05180397	0.031770046	34.37548	5.692435e-06	
		WM	7	0.11572499	0.03574434	0.001205501			
		Egger estimate	7	0.2247976	0.03410824	<2E-16	15.56279	0.008209795	
		Egger intercept	7	-0.1013392	0.04122025	0.05733554			
		MR-PRESSO raw	7	4.040592	1.543305	0.03450228			<0.001
		MR-PRESSO outlier-corrected	4	4.817922	1.315724	0.02154607			0.002
		IVW outlier-corrected	4	-0.07231323	0.06358547	0.2554295	2.619287	0.4541183	
		WM outlier-corrected	4	-0.05085679	0.08151301	0.5326866			
		Egger estimate outlier-corrected	4	-0.11314674	0.13331384	0.177	2.520821	0.2835377	
		Egger intercept outlier-corrected	4	-0.02138418	0.07650769	0.8061115			
