DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-07-17	28552196	Tachmazidou I	2017-06-01	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/28552196	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	Height	1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals	205,003 European ancestry individuals	Affymetrix, Illumina, Perlegen [15844966] (imputed)	630	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008163	Genome-wide genotyping array
2018-03-08	26366551	Zoledziewska M	2015-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26366551	Height-reducing variants and selection for short stature in Sardinia.	Height	6,307 Sardinian (founder/population isolate) individuals	5,314 Sardinian (founder/population isolate) individuals, 19,053 European ancestry individuals	Illumina [11826948] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST005354	Genome-wide genotyping array
2017-07-11	28441456	Lee MK	2017-04-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28441456	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	Facial morphology (factor 17, height of vermillion upper lip)	2,187 European ancestry individuals	NA	Illumina [10677593] (imputed)	26	lip morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007845	GCST004321	Genome-wide genotyping array
2017-07-11	28441456	Lee MK	2017-04-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28441456	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	Facial morphology (factor 4, facial height related to vertical position of gnathion)	2,187 European ancestry individuals	NA	Illumina [10677593] (imputed)	20	facial height measurement	http://www.ebi.ac.uk/efo/EFO_0007856	GCST004308	Genome-wide genotyping array
2017-07-11	28441456	Lee MK	2017-04-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28441456	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	Facial morphology (factor 6, height of vermillion lower lip)	2,187 European ancestry individuals	NA	Illumina [10677593] (imputed)	22	lip morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007845	GCST004310	Genome-wide genotyping array
2017-07-11	28441456	Lee MK	2017-04-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28441456	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	Facial morphology (factor 9, facial height related to vertical position of nasion)	2,187 European ancestry individuals	NA	Illumina [10677593] (imputed)	19	facial height measurement	http://www.ebi.ac.uk/efo/EFO_0007856	GCST004313	Genome-wide genotyping array
2017-02-23	27560520	Shaffer JR	2016-08-25	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27560520	Genome-Wide Association Study Reveals Multiple Loci Influencing Normal Human Facial Morphology.	Lower facial height	2,447 European ancestry individuals	671 European ancestry individuals	Illumina [34985077] (imputed)	2	facial height measurement	http://www.ebi.ac.uk/efo/EFO_0007856	GCST003645	Genome-wide genotyping array
2017-03-11	27545300	Hao J	2016-08-22	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/27545300	A bivariate genome-wide association study identifies ADAM12 as a novel susceptibility gene for Kashin-Beck disease.	Joint destruction and growth retardation	90 East Asian ancestry Kashin-Beck disease cases, 1,627 East Asian ancestry controls	403 East Asian ancestry Kashin-Beck disease cases, 297 East Asian ancestry controls	Affymetrix [532894]	0	Kashin-Beck disease, joint damage measurement, height growth measurement	http://www.ebi.ac.uk/efo/EFO_0006511, http://www.ebi.ac.uk/efo/EFO_0005413, http://www.ebi.ac.uk/efo/EFO_0005201	GCST003727	Genome-wide genotyping array
2018-07-19	29782485	Rueger S	2018-05-21	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29782485	Evaluation and application of summary statistic imputation to discover new height-associated loci.	Height	253,288 European ancestry individuals	336,474 European ancestry individuals	NR [9276018] (imputed)	41	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST005908	Genome-wide genotyping array
2019-11-18	31675503	Gurdasani D	2019-10-01	Cell	www.ncbi.nlm.nih.gov/pubmed/31675503	Uganda Genome Resource Enables Insights into Population History and Genomic Discovery in Africa.	Height	14,126 African ancestry individuals	NA	Affymetrix, Illumina [at least 24423923] (imputed)	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST009055	Genome-wide genotyping array, Genome-wide sequencing
