# source_dataset	GEO GSE273356, organ fragment BED files
# chromosome	chr1p_1
# window_end	100000000
# ranged_bytes	32000000
# matrix_bins	8969

# source_range_diagnostics
organ	content_range	decoded_lines	last_source_start
Bladder	bytes 0-31999999/7361379926	2984450	100000088
Brain	bytes 0-31999999/12048619808	3179755	61845012
Cloaca	bytes 0-31999999/4079467003	2044230	100000013
GallBladder	bytes 0-31999999/4980611273	2236809	100000052
Gill	bytes 0-31999999/11566811496	3108041	66937063
Heart	bytes 0-31999999/9197722750	3088381	80229041
Intestine	bytes 0-31999999/6322122007	3197124	100000000
Kidney	bytes 0-31999999/7755800716	3142063	95742327
Limb	bytes 0-31999999/11646072827	3235063	65717627
Liver	bytes 0-31999999/3644606637	1898583	100000006
Lung	bytes 0-31999999/9346073087	3091987	79006351
Pancreas	bytes 0-31999999/12518564809	3663388	63498255
Prostate	bytes 0-31999999/10002320152	3196740	66971736
Spleen	bytes 0-31999999/5192026012	2595029	100000088
Stomach	bytes 0-31999999/4355106294	2094785	100000088

# source_to_matrix_log1p_pearson
source_organ	matrix_label	pearson	common_bins
Bladder	Bladder	0.9994237922	8969
Bladder	Limb	0.9603417770	8969
Bladder	Kidney	0.9373124345	8969
Bladder	Prostate	0.9283380023	8969
Bladder	Lung	0.9265574289	8969
Bladder	Spleen	0.9218308042	8969
Bladder	Brain	0.9217428247	8969
Bladder	Heart	0.9171176448	8969
Bladder	Gill	0.8976056125	8969
Bladder	Cloaca	0.8268020857	8969
Bladder	Intestine	0.8138475014	8969
Bladder	Stomach	0.8005661137	8969
Bladder	Pancreas	0.7933223781	8969
Bladder	Liver	0.7903400699	8969
Bladder	GallBladder	0.7150077946	8969
Brain	Spleen	0.1488642135	8969
Brain	Kidney	0.1421691023	8969
Brain	Prostate	0.1245239654	8969
Brain	Brain	0.1206932614	8969
Brain	Bladder	0.1031216774	8969
Brain	Limb	0.0614399893	8969
Brain	GallBladder	0.0530222269	8969
Brain	Lung	0.0471674312	8969
Brain	Liver	0.0347047360	8969
Brain	Pancreas	0.0286320156	8969
Brain	Cloaca	0.0191952413	8969
Brain	Intestine	0.0040481164	8969
Brain	Heart	-0.0026750491	8969
Brain	Gill	-0.0198795181	8969
Brain	Stomach	-0.0332452031	8969
Cloaca	Stomach	0.9995317995	8969
Cloaca	Intestine	0.9293661653	8969
Cloaca	Cloaca	0.9225428559	8969
Cloaca	Liver	0.9064717705	8969
Cloaca	Pancreas	0.8966989315	8969
Cloaca	Gill	0.8288727286	8969
Cloaca	Lung	0.8222127908	8969
Cloaca	Heart	0.8186967732	8969
Cloaca	Limb	0.8135308082	8969
Cloaca	GallBladder	0.8074912168	8969
Cloaca	Prostate	0.8069352091	8969
Cloaca	Brain	0.8041189133	8969
Cloaca	Bladder	0.8005715609	8969
Cloaca	Spleen	0.7615328070	8969
Cloaca	Kidney	0.7585116126	8969
GallBladder	GallBladder	0.9996455895	8969
GallBladder	Pancreas	0.9201736494	8969
GallBladder	Liver	0.8688764493	8969
GallBladder	Intestine	0.8532836925	8969
GallBladder	Stomach	0.8066915176	8969
GallBladder	Cloaca	0.7977466566	8969
GallBladder	Brain	0.7548334058	8969
GallBladder	Kidney	0.7368821662	8969
GallBladder	Limb	0.7323039724	8969
GallBladder	Bladder	0.7145878584	8969
GallBladder	Lung	0.6933197718	8969
GallBladder	Heart	0.6907015424	8969
GallBladder	Gill	0.6830786139	8969
GallBladder	Prostate	0.6549068477	8969
GallBladder	Spleen	0.6495192463	8969
Gill	Prostate	0.2115811572	8969
Gill	Spleen	0.1979831732	8969
Gill	Brain	0.1732883956	8969
Gill	Bladder	0.1723069759	8969
Gill	Kidney	0.1700571525	8969
Gill	Limb	0.1355705610	8969
Gill	Lung	0.1291696719	8969
Gill	Cloaca	0.1037068223	8969
Gill	GallBladder	0.0898283462	8969
Gill	Liver	0.0895410696	8969
Gill	Gill	0.0878675873	8969
Gill	Pancreas	0.0872110645	8969
Gill	Heart	0.0790321055	8969
Gill	Intestine	0.0725933589	8969
Gill	Stomach	0.0539778239	8969
Heart	Spleen	0.2251222562	8969
Heart	Prostate	0.2155226818	8969
Heart	Bladder	0.2103740247	8969
Heart	Limb	0.1884045524	8969
Heart	Brain	0.1872281444	8969
Heart	Lung	0.1761391777	8969
Heart	Kidney	0.1752469495	8969
Heart	Heart	0.1492073998	8969
Heart	Liver	0.1419456703	8969
Heart	Pancreas	0.1396970548	8969
Heart	Cloaca	0.1374685834	8969
Heart	Gill	0.1313300336	8969
Heart	GallBladder	0.1294638076	8969
Heart	Intestine	0.1246946576	8969
Heart	Stomach	0.1213392943	8969
Intestine	Intestine	0.9994497073	8969
Intestine	Pancreas	0.9385313081	8969
Intestine	Cloaca	0.9298260062	8969
Intestine	Stomach	0.9296284400	8969
Intestine	Liver	0.9278818754	8969
Intestine	GallBladder	0.8545778139	8969
Intestine	Lung	0.8296502959	8969
Intestine	Heart	0.8276475382	8969
Intestine	Limb	0.8238331279	8969
Intestine	Gill	0.8225615309	8969
Intestine	Brain	0.8189439526	8969
Intestine	Bladder	0.8142978582	8969
Intestine	Prostate	0.8059840918	8969
Intestine	Kidney	0.7911195742	8969
Intestine	Spleen	0.7757595801	8969
Kidney	Brain	0.4026355928	8969
Kidney	Limb	0.3925867886	8969
Kidney	Spleen	0.3916439829	8969
Kidney	Bladder	0.3777611060	8969
Kidney	Prostate	0.3690416344	8969
Kidney	Kidney	0.3629139245	8969
Kidney	Gill	0.3551182192	8969
Kidney	Lung	0.3547391054	8969
Kidney	Heart	0.3331322620	8969
Kidney	Pancreas	0.3321344210	8969
Kidney	Cloaca	0.3302498219	8969
Kidney	Intestine	0.3269647074	8969
Kidney	Liver	0.3257625484	8969
Kidney	Stomach	0.3198796796	8969
Kidney	GallBladder	0.3123977563	8969
Limb	Prostate	0.1986576371	8969
Limb	Spleen	0.1801655632	8969
Limb	Kidney	0.1657793333	8969
Limb	Brain	0.1616477359	8969
Limb	Bladder	0.1591339636	8969
Limb	Limb	0.1251407397	8969
Limb	Lung	0.1115249313	8969
Limb	Cloaca	0.0829333145	8969
Limb	GallBladder	0.0790163450	8969
Limb	Liver	0.0743102334	8969
Limb	Pancreas	0.0719642541	8969
Limb	Gill	0.0605553042	8969
Limb	Heart	0.0574637032	8969
Limb	Intestine	0.0558374375	8969
Limb	Stomach	0.0336544794	8969
Liver	Liver	0.9994887781	8969
Liver	Pancreas	0.9362958924	8969
Liver	Intestine	0.9272906269	8969
Liver	Stomach	0.9063063682	8969
Liver	Cloaca	0.8999217109	8969
