section	panel	method	item	value
qc	all	all	count_rows	2430700
qc	all	all	count_columns	15
qc	all	all	chrom_sizes	63
qc	all	all	unknown_chrom_rows	0
qc	all	all	bad_width_rows	32
qc	all	all	out_of_bounds_rows	0
qc	all	all	bad_peak_coordinates	0
library	all	all	Bladder	701506327
library	all	all	Brain	1168148790
library	all	all	Cloaca	484000505
library	all	all	GallBladder	565994637
library	all	all	Gill	1094125058
library	all	all	Heart	868549497
library	all	all	Intestine	699794434
library	all	all	Kidney	745602917
library	all	all	Limb	1147926115
library	all	all	Liver	398317869
library	all	all	Lung	877686879
library	all	all	Pancreas	1398702406
library	all	all	Prostate	973845979
library	all	all	Spleen	497829833
library	all	all	Stomach	455786546
panel_coverage	discovery	all	Acinar cell	selected=10000;nonzero_table_matches=9931
panel_coverage	discovery	all	Adipocyte	selected=10000;nonzero_table_matches=9971
panel_coverage	discovery	all	Astrocyte	selected=10000;nonzero_table_matches=9933
panel_coverage	discovery	all	B cell	selected=10000;nonzero_table_matches=9975
panel_coverage	discovery	all	Basal cell	selected=10000;nonzero_table_matches=9908
panel_coverage	discovery	all	Capillary endothelial cell	selected=10000;nonzero_table_matches=9945
panel_coverage	discovery	all	Cardiac muscle	selected=10000;nonzero_table_matches=9944
panel_coverage	discovery	all	Cholangiocyte	selected=10000;nonzero_table_matches=9923
panel_coverage	discovery	all	Chondrocyte	selected=10000;nonzero_table_matches=9956
panel_coverage	discovery	all	Cloaca epithelial cell	selected=6680;nonzero_table_matches=6640
panel_coverage	discovery	all	Endocardial endothelial cell	selected=10000;nonzero_table_matches=9964
panel_coverage	discovery	all	Endocrine cell	selected=10000;nonzero_table_matches=9946
panel_coverage	discovery	all	Endothelial_MAS1	selected=10000;nonzero_table_matches=9965
panel_coverage	discovery	all	Endothelial_RGS5	selected=10000;nonzero_table_matches=9971
panel_coverage	discovery	all	Enterocyte	selected=10000;nonzero_table_matches=9920
panel_coverage	discovery	all	Epicardial cell	selected=10000;nonzero_table_matches=9940
panel_coverage	discovery	all	Erythroid cell	selected=10000;nonzero_table_matches=9967
panel_coverage	discovery	all	Fibroblast	selected=10000;nonzero_table_matches=9937
panel_coverage	discovery	all	Fibroblast_GPRC6A	selected=10000;nonzero_table_matches=9957
panel_coverage	discovery	all	Foveolar cell	selected=10000;nonzero_table_matches=9933
panel_coverage	discovery	all	Goblet cell	selected=10000;nonzero_table_matches=9853
panel_coverage	discovery	all	H+ secreting cell	selected=10000;nonzero_table_matches=9959
panel_coverage	discovery	all	Hepatic stellate cell	selected=7776;nonzero_table_matches=7731
panel_coverage	discovery	all	Hepatocyte	selected=6378;nonzero_table_matches=6333
panel_coverage	discovery	all	Inhibitory neuron	selected=10000;nonzero_table_matches=9943
panel_coverage	discovery	all	Liver sinusoidal endothelial cell	selected=10000;nonzero_table_matches=9856
panel_coverage	discovery	all	Lung fibroblast	selected=10000;nonzero_table_matches=9966
panel_coverage	discovery	all	Lymphatic endothelial cell	selected=10000;nonzero_table_matches=9943
panel_coverage	discovery	all	Macrophage	selected=10000;nonzero_table_matches=9955
panel_coverage	discovery	all	Megakaryocyte	selected=10000;nonzero_table_matches=9957
panel_coverage	discovery	all	Meningeal cell	selected=10000;nonzero_table_matches=9970
panel_coverage	discovery	all	Mesothelial cell	selected=10000;nonzero_table_matches=9960
panel_coverage	discovery	all	Myoblast	selected=10000;nonzero_table_matches=9976
panel_coverage	discovery	all	Myofibroblast	selected=10000;nonzero_table_matches=9945
panel_coverage	discovery	all	Neuroendocrine	selected=10000;nonzero_table_matches=9918
panel_coverage	discovery	all	Neuron_NR4A1	selected=10000;nonzero_table_matches=9949
panel_coverage	discovery	all	Neuron_UNC5A	selected=10000;nonzero_table_matches=9969
panel_coverage	discovery	all	Oligodendrocyte	selected=10000;nonzero_table_matches=9946
panel_coverage	discovery	all	Oligodendrocyte progenitor	selected=10000;nonzero_table_matches=9936
panel_coverage	discovery	all	Osteoblast	selected=10000;nonzero_table_matches=9967
panel_coverage	discovery	all	Pancreatic ductal cell	selected=10000;nonzero_table_matches=9943
panel_coverage	discovery	all	Parietal cell	selected=10000;nonzero_table_matches=9914
panel_coverage	discovery	all	Podocyte	selected=10000;nonzero_table_matches=9970
panel_coverage	discovery	all	Proximal tubule	selected=10000;nonzero_table_matches=9952
panel_coverage	discovery	all	Pulmonary epithelium	selected=10000;nonzero_table_matches=9940
panel_coverage	discovery	all	Respiratory epithelial cell	selected=10000;nonzero_table_matches=9959
panel_coverage	discovery	all	Smooth muscle cell	selected=10000;nonzero_table_matches=9955
panel_coverage	discovery	all	T cell	selected=10000;nonzero_table_matches=9966
panel_coverage	discovery	all	Urothelial cell	selected=10000;nonzero_table_matches=9959
panel_coverage	discovery	all	vas deferens epithelial cell	selected=10000;nonzero_table_matches=9976
panel_coverage	validation	all	Acinar cell	selected=10000;nonzero_table_matches=9921
