# authoritative public GEO prefix matching
# target_chunk=chr1p_1	source_chrom=chr1p	declared_target_size=472565920	input_windows=7132	range_bytes=67108864
# conventions=overlap counts a BED fragment in every overlapping window; start and midpoint are sensitivity checks
mode	public_tissue	best_table_label	pearson	exact_fraction	second_table_label	second_pearson	common_windows	source_records	source_count_sum	max_source_end	prefix_bytes
overlap	Bladder	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Brain	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Cloaca	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	GallBladder	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Gill	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Heart	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Intestine	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Kidney	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Limb	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Liver	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Lung	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Pancreas	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Prostate	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Spleen	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
overlap	Stomach	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Bladder	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Brain	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Cloaca	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	GallBladder	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Gill	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Heart	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Intestine	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Kidney	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Limb	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Liver	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Lung	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Pancreas	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Prostate	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Spleen	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
start	Stomach	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Bladder	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Brain	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Cloaca	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	GallBladder	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Gill	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Heart	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Intestine	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Kidney	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Limb	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Liver	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Lung	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Pancreas	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Prostate	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Spleen	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
midpoint	Stomach	Bladder	NA	0.00000000	Brain	NA	0	0	0	0	67108864
failures	tissue	error	detail
