metric	value
rows	295420
columns	AIIamacrine,Astrocyte,Cone,GABAamacrine,Horizontal,Microglia,Mullerglia,Retinalganglioncell,Rod
identity_score	12.582440
best_score	12.582440
best_minus_identity	0.000000
call	None

assignment_expected_to_observed
expected	observed	score
AIIamacrine	AIIamacrine	0.448866
Astrocyte	Astrocyte	1.126343
Cone	Cone	2.223833
GABAamacrine	GABAamacrine	0.772997
Horizontal	Horizontal	1.432470
Microglia	Microglia	1.554749
Mullerglia	Mullerglia	1.247747
Retinalganglioncell	Retinalganglioncell	1.572369
Rod	Rod	2.203067

top_marker_hits
marker_celltype	rank	observed_column	score
AIIamacrine	1	Retinalganglioncell	0.818992
AIIamacrine	2	Horizontal	0.513037
AIIamacrine	3	AIIamacrine	0.448866
Astrocyte	1	Astrocyte	1.126343
Astrocyte	2	Rod	0.317530
Astrocyte	3	GABAamacrine	0.074476
Cone	1	Cone	2.223833
Cone	2	Horizontal	-0.028098
Cone	3	Microglia	-0.084209
GABAamacrine	1	GABAamacrine	0.772997
GABAamacrine	2	Astrocyte	0.328097
GABAamacrine	3	Horizontal	0.312726
Horizontal	1	Horizontal	1.432470
Horizontal	2	AIIamacrine	0.681567
Horizontal	3	Retinalganglioncell	0.233052
Microglia	1	Microglia	1.554749
Microglia	2	Mullerglia	0.287793
Microglia	3	Horizontal	0.069814
Mullerglia	1	Mullerglia	1.247747
Mullerglia	2	Astrocyte	1.010979
Mullerglia	3	Microglia	0.460632
Retinalganglioncell	1	Retinalganglioncell	1.572369
Retinalganglioncell	2	Astrocyte	0.251153
Retinalganglioncell	3	Mullerglia	-0.050255
Rod	1	Rod	2.203067
Rod	2	Microglia	0.386941
Rod	3	Mullerglia	0.239631

score_matrix
marker_celltype	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
AIIamacrine	0.448866	-0.652095	0.418860	0.437116	0.513037	-0.380881	-0.769464	0.818992	-0.834432
Astrocyte	-0.080051	1.126343	-0.562117	0.074476	0.033004	-0.200627	-0.037157	-0.671401	0.317530
Cone	-0.096437	-0.147920	2.223833	-0.270171	-0.028098	-0.084209	-0.441699	-0.730698	-0.424601
GABAamacrine	0.210032	0.328097	-0.024289	0.772997	0.312726	-0.270727	-0.136068	-0.690370	-0.502398
Horizontal	0.681567	-0.405402	0.093005	-0.369603	1.432470	-0.220022	-0.214031	0.233052	-1.231036
Microglia	-0.004868	-0.284379	-0.687111	-0.024896	0.069814	1.554749	0.287793	-0.821987	-0.089115
Mullerglia	-0.323132	1.010979	-0.432056	-0.492587	-0.529174	0.460632	1.247747	-0.417958	-0.524452
Retinalganglioncell	-0.504862	0.251153	-0.175839	-0.350212	-0.162885	-0.313317	-0.050255	1.572369	-0.266150
Rod	-0.520991	0.097090	0.128564	-0.760907	-0.674660	0.386941	0.239631	-1.098735	2.203067
