window	expected_cell_type	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
10000	AIIamacrine	0.267077	-0.389503	0.207694	0.529345	-0.176295	-0.104276	-0.528045	0.415625	-0.221622
10000	Astrocyte	-0.321137	1.417216	-0.380430	-0.040251	-0.411157	-0.011225	0.274830	-0.308466	-0.219381
10000	Cone	-0.434512	-0.183026	2.169489	-0.263095	-0.590943	-0.045618	-0.451083	-0.124166	-0.077046
10000	GABAamacrine	0.221391	0.378119	-0.153653	0.823157	0.128033	-0.154784	0.173238	-0.876292	-0.539209
10000	Horizontal	0.553454	-0.376758	-0.105939	-0.334395	1.482385	-0.078945	-0.349593	0.285548	-1.075757
10000	Microglia	0.358777	-0.446616	-0.480250	-0.181660	0.197730	1.782374	-0.167959	-0.609077	-0.453320
10000	Mullerglia	0.046655	1.096995	-0.455631	-0.300150	-0.753273	0.139442	1.169720	-0.322603	-0.621153
10000	Retinalganglioncell	-0.309232	-0.325447	-0.270317	0.042920	0.217779	-0.359244	-0.664420	2.236830	-0.568869
10000	Rod	-0.690750	0.092323	0.281986	-0.882220	-0.533327	0.605510	0.232552	-1.067463	1.961389
25000	AIIamacrine	0.400163	-0.380993	0.171234	0.567775	-0.206810	-0.078177	-0.509198	0.414238	-0.378231
25000	Astrocyte	-0.220791	1.331178	-0.320294	-0.251527	-0.533717	-0.026706	0.519276	-0.573744	0.076324
25000	Cone	-0.366745	-0.253071	1.984963	-0.067152	-0.505130	-0.047035	-0.280194	-0.064786	-0.400850
25000	GABAamacrine	0.194838	0.348762	-0.171101	0.873281	0.121045	-0.196626	0.140610	-0.828166	-0.482641
25000	Horizontal	0.610445	-0.244701	-0.141377	-0.341357	1.515217	-0.150062	-0.412166	0.274872	-1.110872
25000	Microglia	0.250829	-0.637911	-0.126388	-0.221596	0.248321	1.507125	-0.086736	-0.877664	-0.055981
25000	Mullerglia	0.030496	1.180221	-0.455158	-0.315162	-0.792041	0.080369	1.221400	-0.344361	-0.605764
25000	Retinalganglioncell	-0.352181	-0.202182	-0.127710	-0.031612	0.065425	-0.373079	-0.648803	2.211593	-0.541451
25000	Rod	-0.561876	-0.024727	0.185805	-0.943198	-0.505986	0.620067	0.260249	-1.088100	2.057766
50000	AIIamacrine	0.466395	-0.406640	0.152771	0.497764	-0.073367	-0.148879	-0.517906	0.429459	-0.399597
50000	Astrocyte	-0.200014	1.171641	-0.452682	-0.161618	-0.157380	-0.011683	0.355311	-0.535054	-0.008522
50000	Cone	-0.370628	-0.201549	1.968365	-0.017311	-0.448085	0.002102	-0.258054	-0.100871	-0.573970
50000	GABAamacrine	0.199645	0.357763	-0.156000	0.899751	0.154412	-0.266766	0.094682	-0.745410	-0.538075
50000	Horizontal	0.691448	-0.269728	-0.084320	-0.418552	1.569562	-0.236630	-0.400098	0.109591	-0.961272
50000	Microglia	0.282841	-0.820891	-0.188406	-0.058594	0.309516	1.478499	-0.127296	-0.909227	0.033558
50000	Mullerglia	-0.053275	1.105952	-0.384575	-0.279071	-0.779142	0.024916	1.161041	-0.286169	-0.509676
50000	Retinalganglioncell	-0.371144	-0.112924	-0.233844	-0.064061	0.083301	-0.418464	-0.564258	2.278884	-0.597490
50000	Rod	-0.517937	-0.141937	0.167710	-0.814913	-0.536312	0.526013	0.158884	-0.986283	2.144775
