genes	18472
reference_label	marker_count	best_query_label	best_score	same_score	second_query_label	second_score
endoderm	150	epidermis	0.298162400	0.156119090	neural	0.222826857
endostyle_csg	150	endoderm	0.208223903	0.106913062	mesodermal_notochord	0.171813762
epidermal_neural	150	neural	0.220801800	0.158755008	epidermis	0.199802103
epidermis	150	epidermis	0.683601610	0.683601610	neural_like	0.195022577
mesodermal_notochord	150	neural	0.242296075	-0.044975134	somite	0.178660915
muscular_somites	150	epidermis	0.275570806	-0.307576859	neural	0.222051574
neural	150	neural	0.319096814	0.319096814	somite	0.210323499
neural_like	150	putative_neuro_endo	0.238175800	-0.036905149	epidermis	0.231873354
putative_neuro_endo	150	epidermis	0.690679836	0.115095181	tailbud_neural	0.236560893
somite	150	epidermis	0.280530796	0.028261816	neural	0.267277106
tailbud	150	tailbud	0.290539993	0.290539993	endoderm	0.152135401
tailbud_neural	150	tailbud	0.257506004	-0.001771012	neural	0.241731854
candidate_marker_crosscheck
epidermal_neural,tailbud_neural	0.158755008	0.106795781	0.201518765	-0.001771012
neural,somite	0.319096814	0.210323499	0.267277106	0.028261816
somite,tailbud_neural	0.028261816	-0.087619892	0.128618506	-0.001771012
