common_genes	18472
missing_query_labels	
same_score	4.323731924
best_score	4.383240924
query_label	best_reference	best_corr	same_corr	second_reference	second_corr
endoderm	epidermal_neural	0.443610767	0.424264881	endoderm	0.424264881
endostyle_csg	epidermal_neural	0.411156096	0.362513425	endoderm	0.409498006
epidermal_neural	tailbud_neural	0.454650264	0.454244668	epidermal_neural	0.454244668
epidermis	epidermis	0.302388366	0.302388366	epidermal_neural	0.137450132
mesodermal_notochord	epidermal_neural	0.453458334	0.406517061	tailbud_neural	0.411060626
muscular_somites	epidermal_neural	0.435612215	0.363167960	neural	0.424080996
neural	epidermal_neural	0.486623502	0.468058096	tailbud_neural	0.468889137
neural_like	neural_like	0.264972060	0.264972060	epidermal_neural	0.245649338
putative_neuro_endo	tailbud	0.288814160	0.188634442	epidermal_neural	0.271974301
somite	epidermal_neural	0.470672880	0.454716665	somite	0.454716665
tailbud	epidermal_neural	0.422488465	0.382576301	tailbud_neural	0.405797579
tailbud_neural	epidermal_neural	0.310781404	0.251678000	tailbud_neural	0.251678000
