section	profile	partner	value
dataset	genes		18472
dataset	profiles		12
dataset	variable_genes		4618
pearson_all_rank1	endoderm	endostyle_csg	0.933051
pearson_all_rank2	endoderm	somite	0.926274
pearson_all_rank3	endoderm	mesodermal_notochord	0.899967
pearson_all_rank4	endoderm	neural	0.893904
pearson_all_rank5	endoderm	tailbud	0.887532
pearson_variable_rank1	endoderm	endostyle_csg	0.869211
pearson_variable_rank2	endoderm	somite	0.758563
pearson_variable_rank3	endoderm	mesodermal_notochord	0.736982
pearson_variable_rank4	endoderm	tailbud	0.672965
pearson_variable_rank5	endoderm	neural	0.616819
marker_jaccard_rank1	endoderm	endostyle_csg	0.388889
marker_jaccard_rank2	endoderm	mesodermal_notochord	0.084011
marker_jaccard_rank3	endoderm	tailbud	0.023018
marker_jaccard_rank4	endoderm	somite	0.023018
marker_jaccard_rank5	endoderm	tailbud_neural	0.005025
pearson_all_rank1	endostyle_csg	endoderm	0.933051
pearson_all_rank2	endostyle_csg	somite	0.882058
pearson_all_rank3	endostyle_csg	neural	0.854553
pearson_all_rank4	endostyle_csg	mesodermal_notochord	0.852930
pearson_all_rank5	endostyle_csg	tailbud	0.849689
pearson_variable_rank1	endostyle_csg	endoderm	0.869211
pearson_variable_rank2	endostyle_csg	somite	0.658276
pearson_variable_rank3	endostyle_csg	mesodermal_notochord	0.624583
pearson_variable_rank4	endostyle_csg	tailbud	0.595621
pearson_variable_rank5	endostyle_csg	neural	0.539855
marker_jaccard_rank1	endostyle_csg	endoderm	0.388889
marker_jaccard_rank2	endostyle_csg	mesodermal_notochord	0.047120
marker_jaccard_rank3	endostyle_csg	tailbud	0.028278
marker_jaccard_rank4	endostyle_csg	somite	0.025641
marker_jaccard_rank5	endostyle_csg	neural	0.010101
pearson_all_rank1	epidermal_neural	neural	0.940050
pearson_all_rank2	epidermal_neural	somite	0.903738
pearson_all_rank3	epidermal_neural	tailbud	0.893344
pearson_all_rank4	epidermal_neural	endoderm	0.873182
pearson_all_rank5	epidermal_neural	tailbud_neural	0.866920
pearson_variable_rank1	epidermal_neural	neural	0.864996
pearson_variable_rank2	epidermal_neural	tailbud	0.759703
pearson_variable_rank3	epidermal_neural	somite	0.704460
pearson_variable_rank4	epidermal_neural	tailbud_neural	0.629006
pearson_variable_rank5	epidermal_neural	mesodermal_notochord	0.611208
marker_jaccard_rank1	epidermal_neural	neural	0.204819
marker_jaccard_rank2	epidermal_neural	tailbud	0.092896
marker_jaccard_rank3	epidermal_neural	somite	0.028278
marker_jaccard_rank4	epidermal_neural	neural_like	0.020408
marker_jaccard_rank5	epidermal_neural	putative_neuro_endo	0.007557
pearson_all_rank1	epidermis	tailbud_neural	0.918843
pearson_all_rank2	epidermis	neural_like	0.828355
pearson_all_rank3	epidermis	neural	0.791459
pearson_all_rank4	epidermis	epidermal_neural	0.772434
pearson_all_rank5	epidermis	tailbud	0.756292
pearson_variable_rank1	epidermis	tailbud_neural	0.853448
pearson_variable_rank2	epidermis	neural_like	0.733989
pearson_variable_rank3	epidermis	neural	0.441615
pearson_variable_rank4	epidermis	epidermal_neural	0.411754
pearson_variable_rank5	epidermis	tailbud	0.375474
marker_jaccard_rank1	epidermis	tailbud_neural	0.379310
marker_jaccard_rank2	epidermis	neural_like	0.104972
marker_jaccard_rank3	epidermis	putative_neuro_endo	0.005025
marker_jaccard_rank4	epidermis	epidermal_neural	0.002506
