feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.38808632459239606	0	0	true
column_3	18472	0.29065580013602882	0	0	true
column_4	18472	0.58046478625403619	0	0	true
column_5	18472	-0.30182281771445968	0	0	true
column_6	18472	0.32010090947659148	0	0	true
column_7	18472	0.16241534432992624	2.1841983553695189e-109	2.3827618422212936e-109	true
column_8	18472	0.18828283314020472	5.3766015291116966e-147	6.4519218349340357e-147	true
column_9	18472	0.22771063023154917	7.2681671117076678e-216	9.6908894822768899e-216	true
column_10	18472	0.082791825228887964	1.8254296185404939e-29	1.8254296185404939e-29	true
column_11	18472	0.43655995795182723	0	0	true
column_12	18472	0.23710980900768369	2.0912477531879731e-234	3.1368716297819597e-234	true
column_13	18472	0.30373143091874738	0	0	true
