feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.70982144627734045	0	0	true
column_3	18472	0.67145037582431866	0	0	true
column_4	18472	0.63183623553341806	0	0	true
column_5	18472	0.47277985148471074	0	0	true
column_6	18472	0.78313137696821777	0	0	true
column_7	18472	0.64990010175987245	0	0	true
column_8	18472	0.79420231026231713	0	0	true
column_9	18472	0.69489972097003061	0	0	true
column_10	18472	0.44823170920874861	0	0	true
column_11	18472	0.78075249002960034	0	0	true
column_12	18472	0.68888113358944414	0	0	true
column_13	18472	0.71823662432441804	0	0	true
