feature	n_pairs	statistic	p_value	p_adjust_bh	significant
column_2	18472	0.8864488094605244	0	0	true
column_3	18472	0.86389105638884911	0	0	true
column_4	18472	0.72322383610971175	0	0	true
column_5	18472	0.88091413637261751	0	0	true
column_6	18472	0.86823795048408048	0	0	true
column_7	18472	0.84890126993249981	0	0	true
column_8	18472	0.91089152871335621	0	0	true
column_9	18472	0.86604941388543577	0	0	true
column_10	18472	0.79412822141105288	0	0	true
column_11	18472	0.89717006639695995	0	0	true
column_12	18472	0.90081887869219801	0	0	true
column_13	18472	0.69398542120390661	0	0	true
