section	field1	field2	value
summary	shared_genes		18472
summary	input_columns		endoderm,endostyle_csg,epidermal_neural,epidermis,mesodermal_notochord,muscular_somites,neural,neural_like,putative_neuro_endo,somite,tailbud,tailbud_neural
summary	identity_score		8.97438193
summary	best_swap_score		10.7644043
summary	best_pair		epidermal_neural,tailbud_neural
summary	best_delta		1.7900224
metacell_count	endoderm		11
metacell_count	endostyle_csg		2
metacell_count	epidermal_neural		2
metacell_count	epidermis		119
metacell_count	mesodermal_notochord		4
metacell_count	muscular_somites		2
metacell_count	neural		15
metacell_count	neural_like		2
metacell_count	putative_neuro_endo		1
metacell_count	somite		8
metacell_count	tailbud		4
metacell_count	tailbud_neural		2
top_match	endoderm	1:endoderm	0.834504408
top_match	endoderm	2:endostyle_csg	0.431880226
top_match	endoderm	3:somite	0.160158619
top_match	endoderm	4:mesodermal_notochord	0.0874453899
top_match	endoderm	5:tailbud	0.01967233
top_match	endostyle_csg	1:endostyle_csg	0.92937054
top_match	endostyle_csg	2:endoderm	0.361475809
top_match	endostyle_csg	3:somite	0.0566582493
top_match	endostyle_csg	4:mesodermal_notochord	-0.00201240479
top_match	endostyle_csg	5:tailbud	-0.0103377201
top_match	epidermal_neural	1:tailbud_neural	0.921191334
top_match	epidermal_neural	2:neural	0.243863628
top_match	epidermal_neural	3:tailbud	0.0907299846
top_match	epidermal_neural	4:somite	0.0733658173
top_match	epidermal_neural	5:epidermal_neural	0.0246552568
top_match	epidermis	1:epidermis	0.948301241
top_match	epidermis	2:epidermal_neural	0.462220036
top_match	epidermis	3:neural_like	0.179901126
top_match	epidermis	4:putative_neuro_endo	-0.0509112281
top_match	epidermis	5:mesodermal_notochord	-0.118899373
top_match	mesodermal_notochord	1:mesodermal_notochord	0.82723456
top_match	mesodermal_notochord	2:somite	0.176377219
top_match	mesodermal_notochord	3:endoderm	0.0716436999
top_match	mesodermal_notochord	4:muscular_somites	0.0270192193
top_match	mesodermal_notochord	5:tailbud	0.0162019765
top_match	muscular_somites	1:muscular_somites	0.931128383
top_match	muscular_somites	2:somite	0.233146474
top_match	muscular_somites	3:mesodermal_notochord	0.0270495708
top_match	muscular_somites	4:neural	0.0259349875
top_match	muscular_somites	5:endoderm	-0.0068034074
top_match	neural	1:neural	0.841152053
top_match	neural	2:tailbud_neural	0.377810359
top_match	neural	3:somite	0.097948618
top_match	neural	4:tailbud	0.0361652606
top_match	neural	5:epidermal_neural	0.00815937912
top_match	neural_like	1:neural_like	0.914971353
top_match	neural_like	2:epidermis	0.160550898
top_match	neural_like	3:epidermal_neural	0.139132825
top_match	neural_like	4:putative_neuro_endo	-0.0674357193
top_match	neural_like	5:neural	-0.0909294428
top_match	putative_neuro_endo	1:putative_neuro_endo	0.967565047
top_match	putative_neuro_endo	2:epidermis	-0.0127346093
top_match	putative_neuro_endo	3:neural_like	-0.0901213489
top_match	putative_neuro_endo	4:mesodermal_notochord	-0.099031256
top_match	putative_neuro_endo	5:endoderm	-0.119962063
top_match	somite	1:somite	0.840410589
top_match	somite	2:muscular_somites	0.232262577
top_match	somite	3:tailbud_neural	0.147889042
top_match	somite	4:endoderm	0.134903637
top_match	somite	5:tailbud	0.129172632
top_match	tailbud	1:tailbud	0.916222307
top_match	tailbud	2:somite	0.108186521
top_match	tailbud	3:tailbud_neural	0.0923823554
top_match	tailbud	4:neural	0.0347845188
top_match	tailbud	5:endoderm	-0.0061188192
top_match	tailbud_neural	1:epidermal_neural	0.892352513
top_match	tailbud_neural	2:epidermis	0.450279442
top_match	tailbud_neural	3:neural_like	0.0968496707
top_match	tailbud_neural	4:tailbud_neural	-0.00113380773
top_match	tailbud_neural	5:neural	-0.0598682242
matrix	observed	expected	pearson
corr	endoderm	endoderm	0.834504408
corr	endoderm	endostyle_csg	0.431880226
corr	endoderm	epidermal_neural	-0.257373145
corr	endoderm	epidermis	-0.267617856
corr	endoderm	mesodermal_notochord	0.0874453899
corr	endoderm	muscular_somites	-0.0227714655
corr	endoderm	neural	-0.0588759408
corr	endoderm	neural_like	-0.258342262
corr	endoderm	putative_neuro_endo	-0.185498114
corr	endoderm	somite	0.160158619
corr	endoderm	tailbud	0.01967233
corr	endoderm	tailbud_neural	-0.114356367
corr	endostyle_csg	endoderm	0.361475809
corr	endostyle_csg	endostyle_csg	0.92937054
corr	endostyle_csg	epidermal_neural	-0.239784009
corr	endostyle_csg	epidermis	-0.250355157
corr	endostyle_csg	mesodermal_notochord	-0.00201240479
corr	endostyle_csg	muscular_somites	-0.0326859455
corr	endostyle_csg	neural	-0.103649153
corr	endostyle_csg	neural_like	-0.201896055
corr	endostyle_csg	putative_neuro_endo	-0.145168664
corr	endostyle_csg	somite	0.0566582493
corr	endostyle_csg	tailbud	-0.0103377201
corr	endostyle_csg	tailbud_neural	-0.138713634
corr	epidermal_neural	endoderm	-0.181163417
corr	epidermal_neural	endostyle_csg	-0.127758872
corr	epidermal_neural	epidermal_neural	0.0246552568
corr	epidermal_neural	epidermis	-0.216126361
corr	epidermal_neural	mesodermal_notochord	-0.125811061
corr	epidermal_neural	muscular_somites	-0.0903184529
corr	epidermal_neural	neural	0.243863628
corr	epidermal_neural	neural_like	-0.111456928
corr	epidermal_neural	putative_neuro_endo	-0.208161405
corr	epidermal_neural	somite	0.0733658173
corr	epidermal_neural	tailbud	0.0907299846
corr	epidermal_neural	tailbud_neural	0.921191334
corr	epidermis	endoderm	-0.199490628
corr	epidermis	endostyle_csg	-0.287679398
corr	epidermis	epidermal_neural	0.462220036
corr	epidermis	epidermis	0.948301241
corr	epidermis	mesodermal_notochord	-0.118899373
corr	epidermis	muscular_somites	-0.260741666
corr	epidermis	neural	-0.182578743
corr	epidermis	neural_like	0.179901126
corr	epidermis	putative_neuro_endo	-0.0509112281
corr	epidermis	somite	-0.395315203
corr	epidermis	tailbud	-0.232468903
corr	epidermis	tailbud_neural	-0.235269961
corr	mesodermal_notochord	endoderm	0.0716436999
corr	mesodermal_notochord	endostyle_csg	-0.0203302009
corr	mesodermal_notochord	epidermal_neural	-0.2129395
corr	mesodermal_notochord	epidermis	-0.18015842
corr	mesodermal_notochord	mesodermal_notochord	0.82723456
corr	mesodermal_notochord	muscular_somites	0.0270192193
corr	mesodermal_notochord	neural	-0.0416621623
corr	mesodermal_notochord	neural_like	-0.230019447
corr	mesodermal_notochord	putative_neuro_endo	-0.164660069
corr	mesodermal_notochord	somite	0.176377219
corr	mesodermal_notochord	tailbud	0.0162019765
corr	mesodermal_notochord	tailbud_neural	-0.0514597219
corr	muscular_somites	endoderm	-0.0068034074
corr	muscular_somites	endostyle_csg	-0.0286351925
corr	muscular_somites	epidermal_neural	-0.258558269
corr	muscular_somites	epidermis	-0.236001708
corr	muscular_somites	mesodermal_notochord	0.0270495708
corr	muscular_somites	muscular_somites	0.931128383
corr	muscular_somites	neural	0.0259349875
corr	muscular_somites	neural_like	-0.203873828
corr	muscular_somites	putative_neuro_endo	-0.149379439
corr	muscular_somites	somite	0.233146474
corr	muscular_somites	tailbud	-0.0644906603
corr	muscular_somites	tailbud_neural	-0.0712356041
corr	neural	endoderm	-0.128312501
corr	neural	endostyle_csg	-0.141081899
corr	neural	epidermal_neural	0.00815937912
corr	neural	epidermis	-0.218997706
corr	neural	mesodermal_notochord	-0.0945539814
corr	neural	muscular_somites	-0.00454436596
corr	neural	neural	0.841152053
corr	neural	neural_like	-0.104429947
corr	neural	putative_neuro_endo	-0.239085809
corr	neural	somite	0.097948618
corr	neural	tailbud	0.0361652606
corr	neural	tailbud_neural	0.377810359
corr	neural_like	endoderm	-0.207435426
corr	neural_like	endostyle_csg	-0.197759593
corr	neural_like	epidermal_neural	0.139132825
corr	neural_like	epidermis	0.160550898
corr	neural_like	mesodermal_notochord	-0.198518409
corr	neural_like	muscular_somites	-0.196421749
corr	neural_like	neural	-0.0909294428
corr	neural_like	neural_like	0.914971353
corr	neural_like	putative_neuro_endo	-0.0674357193
corr	neural_like	somite	-0.28041418
corr	neural_like	tailbud	-0.186399304
corr	neural_like	tailbud_neural	-0.160148876
corr	putative_neuro_endo	endoderm	-0.119962063
corr	putative_neuro_endo	endostyle_csg	-0.155687821
corr	putative_neuro_endo	epidermal_neural	-0.160931042
corr	putative_neuro_endo	epidermis	-0.0127346093
corr	putative_neuro_endo	mesodermal_notochord	-0.099031256
corr	putative_neuro_endo	muscular_somites	-0.138073052
corr	putative_neuro_endo	neural	-0.222454747
corr	putative_neuro_endo	neural_like	-0.0901213489
corr	putative_neuro_endo	putative_neuro_endo	0.967565047
corr	putative_neuro_endo	somite	-0.227939102
corr	putative_neuro_endo	tailbud	-0.189370295
corr	putative_neuro_endo	tailbud_neural	-0.265347979
corr	somite	endoderm	0.134903637
corr	somite	endostyle_csg	0.0670364631
corr	somite	epidermal_neural	-0.271037805
corr	somite	epidermis	-0.408200151
corr	somite	mesodermal_notochord	0.12396253
corr	somite	muscular_somites	0.232262577
corr	somite	neural	0.113854738
corr	somite	neural_like	-0.288718096
corr	somite	putative_neuro_endo	-0.249146259
corr	somite	somite	0.840410589
corr	somite	tailbud	0.129172632
corr	somite	tailbud_neural	0.147889042
corr	tailbud	endoderm	-0.0061188192
corr	tailbud	endostyle_csg	-0.0276245102
corr	tailbud	epidermal_neural	-0.180973656
corr	tailbud	epidermis	-0.239775369
corr	tailbud	mesodermal_notochord	-0.0157616702
corr	tailbud	muscular_somites	-0.087279678
corr	tailbud	neural	0.0347845188
corr	tailbud	neural_like	-0.170469561
corr	tailbud	putative_neuro_endo	-0.154025947
corr	tailbud	somite	0.108186521
corr	tailbud	tailbud	0.916222307
corr	tailbud	tailbud_neural	0.0923823554
corr	tailbud_neural	endoderm	-0.206812427
corr	tailbud_neural	endostyle_csg	-0.192978271
corr	tailbud_neural	epidermal_neural	0.892352513
corr	tailbud_neural	epidermis	0.450279442
corr	tailbud_neural	mesodermal_notochord	-0.209268211
corr	tailbud_neural	muscular_somites	-0.217304837
corr	tailbud_neural	neural	-0.0598682242
corr	tailbud_neural	neural_like	0.0968496707
corr	tailbud_neural	putative_neuro_endo	-0.183250435
corr	tailbud_neural	somite	-0.223223234
corr	tailbud_neural	tailbud	-0.169587384
corr	tailbud_neural	tailbud_neural	-0.00113380773
swap_rank	epidermal_neural	tailbud_neural	1.7900224
swap_rank	neural	tailbud_neural	-0.522076111
swap_rank	epidermal_neural	neural	-0.613784302
swap_rank	epidermal_neural	epidermis	-0.726862823
swap_rank	epidermis	tailbud_neural	-0.732157953
swap_rank	epidermal_neural	neural_like	-0.911950713
swap_rank	somite	tailbud_neural	-0.914610973
swap_rank	endoderm	endostyle_csg	-0.970518913
swap_rank	neural_like	tailbud_neural	-0.977136751
swap_rank	tailbud	tailbud_neural	-0.992293527
