	batch	rare_putative_neuro_endo	rare_neural_like1	rare_neural_like2	rare_epidermal_neural1	rare_epidermal_neural2	rare_epidermal_neural_union
1-0	0	0.30217218947136537	0.20653714216137775	0.07108904758823353	0.6055744071628736	-0.05424691833905726	0.35405135327943094
2-0	0	0.2275610490777027	0.25522620443004895	0.025443531151200682	0.6365855474057405	0.026856327952954562	0.4118294581463432
3-0	0	0.23243268604936274	0.2097243446372341	0.05416266195750152	0.5931329644244651	-0.03329092345781781	0.33698467375476204
4-0	0	0.24645929062503502	0.22046218138046925	0.027963155535949857	0.6628280075736668	-0.04130409650354572	0.3722267849297761
5-0	0	0.3230293454795048	0.1432237143558246	0.042125398004334125	0.427798611184825	-0.13464493770727382	0.19105344759589948
6-0	0	0.463358720143636	0.1410877895077185	0.10347227319825847	0.5025541786525561	-0.11656807560248661	0.23813993547656298
7-0	0	0.5942924510473493	0.05013776729127761	0.05570209669030235	0.28009427609650983	-0.1624832045791934	0.0835887051986699
8-0	0	0.4609467046014194	0.08963588814693713	0.06602079971976904	0.3666572338601818	-0.1471872127456153	0.134099317338362
9-0	0	0.3143093300961901	0.12581234990334023	0.09065846293267599	0.5397311169168223	-0.1543400018167176	0.22314489930565018
10-0	0	0.2947410501282791	0.12396642701618876	0.03874497148902922	0.378604560520338	-0.14015529248538428	0.16334043966757283
11-0	0	0.26481079836001353	0.2206453346719548	0.023545260477225494	0.5520198556651241	-0.12527893732058115	0.26191831986178715
12-0	0	0.4297211362027574	0.1327372183396588	0.08401281018719631	0.5138269573709239	-0.1747232552342768	0.20414213786392632
13-0	0	0.3379352701121363	0.16895585730194007	0.058028396810576255	0.5008536496369734	-0.10111368422540246	0.25026656430462557
14-0	0	0.3487575870820846	0.07200445080637585	0.07030295330545178	0.457935791015625	-0.18620845385045814	0.19608694784380054
15-0	0	0.19308145731344994	0.14550355850086272	0.04105872189320847	0.6005603491741679	-0.10291825620920059	0.33376901477480037
16-0	0	0.2483045512232287	0.17854795806261958	-0.0005856463582221139	0.7317693959111753	-0.04143635897028364	0.40843582652190924
17-0	0	0.5702884410989696	0.02368121978492843	0.024773222754232882	0.39917050900666606	-0.14649492481410897	0.1637809263416169
18-0	0	0.40996330305077566	0.08313023714560452	0.06752992483285758	0.5550347236965013	-0.14136346445787673	0.2570192486143015
19-0	0	0.3600423319586392	0.08801468629531195	-0.012665016659127448	0.5193767945662789	-0.14439252072532704	0.23445518458177095
20-0	0	0.5508403372490542	0.06406065693402085	0.10656433768894358	0.3860862400220788	-0.1474914018259752	0.16910858509049298
21-0	0	0.3802516893408764	0.06414026955473873	0.037989673933456536	0.4500014827562415	-0.15614842562067432	0.2161624379644419
22-0	0	0.4089965579153477	0.11993465612650611	0.09098712500122474	0.524970759516177	-0.16981622606315872	0.2565240214225062
23-0	0	0.2727119873309958	0.2289746867811019	0.10812315873876466	0.5485948446522588	0.060043155746972054	0.40079075969329103
24-0	0	0.3053571394120139	0.1668943642040731	0.09302699570671769	0.5023697728696077	-0.03298345937024827	0.32939128271544693
25-0	0	0.30591878014049323	0.12904996043391548	0.09837203749844858	0.5604013459578803	-0.045374916639904006	0.3714324266056237
26-0	0	0.2742196439326495	0.1817035864115456	0.05450132848427047	0.6645870971679688	-0.004524738900613445	0.4278557241673181
27-0	0	0.346570322431367	0.11798760016527532	0.020162233843851296	0.6827996859343156	-0.1259973057484467	0.3743184645901375
28-0	0	0.6347528643991754	0.04155754890108254	0.11411888224624067	0.2897191122303837	-0.07569930927865454	0.12207603898030384
29-0	0	0.31784687151854074	0.1373810225951081	0.09933422433094041	0.3463767209260361	-0.0773205868509792	0.18033174982045985
30-0	0	0.3771148440481602	0.1183837770512084	0.12573929598498912	0.31755415874978776	-0.09670622550401109	0.16385787159022602
31-0	0	0.21165960794207683	0.18978747376200067	0.09305067872522665	0.415809674470321	-0.02434540562981735	0.2575927175639916
32-0	0	0.23575814290978447	0.16837282542237042	0.09512865123940151	0.4893998320206351	-0.02897543887964027	0.29675173738674165
33-0	0	-0.010660623681956305	0.46394701721369347	0.03604403722246352	0.09592364103897755	0.1586974759709916	0.14125261137700995
34-0	0	0.0667652760428944	0.08086307447783803	0.5857530697213369	0.07747225885805875	0.2811888219846176	0.19945239050725772
35-0	0	0.03655334998821391	0.32595907116770395	0.26785952411766445	0.26311448138693094	0.29468106468251887	0.35955171050182855
36-0	0	0.1055464859666495	0.3170237502829327	0.3462513010796895	0.3698683995785921	0.24370224818287278	0.38759230902221997
37-0	0	0.09828946563019159	0.20090776715959824	0.49183049715482274	0.3428141851010529	0.22548331651111575	0.377365143899826
38-0	0	0.3471772763920927	0.11202879991892822	0.1857112767146184	0.2260740263565727	-0.021224706252949255	0.1576530924372741
39-0	0	0.318068450072716	0.11156686543723238	0.20347676841710316	0.2841027997887652	-0.058097267918938766	0.16142617557950234
40-0	0	0.24849003210835086	0.17182588582831293	0.28135939480070293	0.36262348340905237	0.07518272809534265	0.2771785429001409
41-0	0	0.26229523242205044	0.19073602926626843	0.34243782324137095	0.36681988591733183	0.05929559797248585	0.29147175182197305
42-0	0	0.3899784718436755	0.10653531933664928	0.3378986509189159	0.35194295136824905	0.008692187622889591	0.22888002725438783
43-0	0	0.36383484533463395	0.10093801959958093	0.2994693393771066	0.3190198251475458	-0.007022853057656486	0.22068832849770292
44-0	0	0.20570102231255893	0.1689913582315251	0.26397687012535265	0.3371178369936736	0.014426152786152446	0.2475157341129799
45-0	0	0.20378066424665775	0.21907379995629672	0.3438557155953603	0.5075178892716119	0.13684479783845438	0.4148613875149918
46-0	0	0.19905662755856557	0.27963776079628266	0.24810016823452852	0.5240382086712381	0.17477410182056807	0.46794585993178384
47-0	0	0.12950458416993582	0.22960329506209576	0.35227012379113654	0.37300541421641475	0.165280382297183	0.3500272922133403
48-0	0	0.11497679743273503	0.23724839480208237	0.2684723816428295	0.3426285022238026	0.1609156860761194	0.32953965902952087
49-0	0	0.06628555045730766	0.2800412432167342	0.26499146018139896	0.3628697768501614	0.2421304659235396	0.40446638402742063
50-0	0	0.15237490884188953	0.28566567156822276	0.2840481350493669	0.5031459742007047	0.22147362216207	0.4600767658325655
51-0	0	0.21352184558736864	0.2106430438517135	0.2081071130248614	0.5144436910878056	0.055751785175912394	0.3725661998639027
52-0	0	0.18986866063085095	0.2614538167169421	0.11549043330061792	0.4780502750562585	0.12039422668866662	0.37744423817216377
53-0	0	0.15893596506666852	0.22767729556247718	0.31033133006016156	0.24095316016155732	0.10403643819309727	0.2315205959551766
54-0	0	0.23126063072818437	0.2750873049633149	0.2596079565450099	0.5444768524169923	0.12116341763694816	0.4302004287839456
55-0	0	0.16347312159921923	0.22338051598551667	0.17050836620522192	0.5573494388746179	0.0744018477881514	0.3998458793571402
56-0	0	0.07911655546604901	0.17249107538784902	0.11008241583272371	0.37191341234290076	0.17307795274977722	0.3230023870493083
57-0	0	-0.12873616985891057	0.1411998444048378	0.2524699070142663	-0.004732311082922824	0.49232273485836564	0.2714717535735631
58-0	0	-0.1686978436064447	0.1561842817745821	0.12122099937005182	0.03951378532077954	0.4046030702526937	0.22494527788503127
59-0	0	-0.049909250763640944	0.0717267561931999	0.0769258972474165	-0.02687361344047212	0.25917037810255217	0.12258153348355683
60-0	0	-0.14312994863795137	0.06591127957268983	-0.027523681997854155	-0.07833949545155394	0.27212595792424754	0.11467503406598933
61-0	0	-0.13861511603169052	0.10577418624833446	-0.017683002382616553	-0.0712036431354025	0.3118867692371343	0.14586296624757633
62-0	0	-0.16707615413885013	0.06852330711075594	-0.03598924464605324	-0.011525102698284662	0.24917991586979604	0.11679684440260252
63-0	0	-0.1583391680114571	0.10049259285885115	-0.02458708976822155	-0.02514129970384682	0.32972377905109584	0.1632759318175755
64-0	0	-0.09633982263762375	0.040264106950676504	0.09865387422185279	-0.04202036318571667	0.21241613759290456	0.0896536714287215
65-0	0	-0.12190766224915961	0.07817389841329947	-0.0709918340472473	0.006702933933423916	0.14490524394400173	0.07655574817430211
66-0	0	-0.10410827247575782	-0.00896952904348125	-0.000370332596692724	-0.06374777420707378	0.14806622806011427	0.041364179243704724
67-0	0	-0.1761676086776558	-0.01036903692751523	-0.08827217191358083	-0.08472327688465942	0.08317626850717019	-7.706331465351379e-05
68-0	0	-0.0869350948552976	-0.0007903525572128256	-0.06916862092289244	-0.04078229987102999	0.134387243386083	0.03837014408660333
69-0	0	-0.1827981524083806	0.08159974634821143	0.03818336537849143	0.007484724625297257	0.2730058600918558	0.14272803561835057
70-0	0	-0.15225103038480914	0.100103836504433	0.040032534136820064	0.028967908776324713	0.3173178587023844	0.17592508049421418
71-0	0	-0.04801070553132858	0.08305473461095525	0.08784378536568838	-0.004671846472698693	0.22192436474281674	0.12017922095177103
72-0	0	-0.034954481563348794	0.06782552847014223	0.055863858991642035	0.017929733939792802	0.15898271701479916	0.08152440688319762
73-0	0	-0.0914753538438643	0.029421465681871206	0.026235404126221495	-0.0109397274514903	0.061800782376487784	0.01360666207954031
74-0	0	-0.0373451438443414	0.02005926571504013	0.05276296354057797	0.005239227958347525	0.12180645321839612	0.05329875896157865
75-0	0	-0.0369097241039934	0.02514516135346434	0.055317962799582565	-0.0033919558317765386	0.12175008837808698	0.05085182079081274
76-0	0	-0.07581618051419314	0.048626685629085564	0.07384188087488897	-0.006577380636463959	0.18237575198179923	0.0917543540406941
77-0	0	0.05767870990709334	0.027409002009355588	0.13165622851521674	0.0421001036270805	0.14186392252877245	0.09156579148176969
78-0	0	0.03689748391337777	0.027490723723920363	0.14495674669144543	0.04300293632175611	0.10023127818267608	0.06323044413018108
79-0	0	-0.03162557092206231	-0.009705494916821378	-0.042807439083239696	-0.009161786618440027	0.026778049853024122	-0.004879915170356353
80-0	0	0.008453428334203261	-0.0047120997926584085	-0.04184931726360008	-0.0018040068253226682	0.016868502213650993	-0.014795710201424228
81-0	0	-0.025053397266344146	0.04733959431550949	-0.004965240325417453	-0.009371254962423636	0.12966004902884465	0.056154492773728415
82-0	0	-0.10426846619310048	0.01952235675066616	-0.046900598532380045	-0.04827478491741677	0.12354149991233876	0.029008792743056566
83-0	0	-0.161264633858341	0.13786597916405685	0.06891880737100564	0.05938361458156416	0.345703270419332	0.2009267904009454
84-0	0	-0.16102557565974096	0.13239854417806463	-0.011453907944287023	0.002969194495159644	0.3510883551475986	0.18250844534730115
85-0	0	-0.10368849957126314	0.04543470910964831	-0.01957268730852524	-0.04602451490319304	0.19114292580009307	0.08001322747662609
86-0	0	-0.14223623467587876	0.06276349059346809	-0.05016106136666498	-0.032201189787491424	0.22130890097394085	0.09253775273184206
87-0	0	0.04810780273086723	0.0027322274255335843	0.05615908134741132	0.057390392137610324	0.12554835786755458	0.0714883136388973
88-0	0	-0.009436221506403775	0.07747187177919446	0.07960486523682464	0.04873638982358186	0.18043304084931444	0.1020541647013381
89-0	0	-0.12977696314625353	0.08352681507522086	0.03075969096410236	0.016007564378821337	0.23289753497846977	0.12374891177473701
90-0	0	0.00900423718594956	0.04441232575619536	0.050873651663993935	0.04189284946607508	0.19852866870444896	0.09149755762261513
91-0	0	0.014904297905406705	0.008715962001255573	-0.018142243197131758	-0.009346830948539386	0.07861170979954257	0.011134297028075668
92-0	0	-0.040159097211114325	0.039703970150071766	0.023029805314182084	0.02807819532311484	0.1045005951951814	0.05116889463611485
93-0	0	0.06458651060345522	0.00597619192940857	0.026376499443947266	0.028866409633470536	-0.00399773719326757	-0.006203650042470921
94-0	0	0.02272056546704526	0.006448792882980503	0.017830016222287193	0.023604046365489184	0.07776548347217116	0.04657056587305708
95-0	0	0.04449850937415811	-0.02078685437972616	0.011180074175066057	0.052110293844471856	-0.029796252666703715	-0.005512988071946001
96-0	0	0.1687336861402139	-0.009389104370473023	0.001921650047685075	0.05901562898055368	-0.036491893281872634	-0.010973179004317712
97-0	0	-0.11655149788692076	-0.007369714853714959	-0.08992622439279208	-0.0269676523623259	0.0027434119922202793	-0.029011164595657446
98-0	0	-0.017789985393655727	-0.02935543182639966	-0.09439079297426156	-0.004361797830332859	-0.12646214734787908	-0.07807873418531397
99-0	0	0.03316676589264267	-0.04004497205550739	-0.03553161646610126	-0.03290507772694462	-0.047661915209469385	-0.053586748096008274
100-0	0	-0.05967038472493491	-0.038451922002408656	-0.00619980139078502	-0.08474196226700492	0.03406084508703866	-0.01955728273133972
101-0	0	-0.10539669716495215	-0.011390107713704856	-0.007811508689038349	-0.08697848776112427	0.08828126638527689	0.009860563402915967
102-0	0	-0.025951374536273164	-0.05161529385313701	-0.02443670470579018	-0.08228371993355132	0.004660050052924469	-0.036509533532654515
103-0	0	0.016129796806423236	-0.020362949204514424	0.049402020814825476	-0.025625822647758145	-0.012745373105042757	-0.019249585990606444
104-0	0	0.01575893917302984	-0.05076411522512181	-0.03672027843054315	-0.01822885762090276	-0.07817702479010458	-0.06280606487953744
105-0	0	-0.042825691179297465	-0.035858811136584956	-0.0005070934487027001	-0.0041918862384298095	-0.03734071411542439	-0.041194697931317914
106-0	0	-0.02411430375329382	-0.041837228268993165	-0.019804494596245226	-0.04028388313625175	-0.023075231769741023	-0.04544092049192672
107-0	0	0.030587750467760855	-0.04973015031731165	0.004961368981811098	-0.014490840746008815	-0.09078827646754728	-0.06673132683849037
108-0	0	0.005591981712429028	-0.05188940665464714	-0.06245860696237615	-0.042053927545962155	-0.11533769645946945	-0.09106479457421757
109-0	0	-0.06517056322645876	-0.03828997820528879	-0.08851801856305686	-0.07347712807033369	-0.03924949748404083	-0.06067764284443766
110-0	0	-0.04407199744520518	-0.03667285863581626	-0.057649150325303045	-0.057106756127398905	-0.03005631107611939	-0.04863672497590521
111-0	0	-0.09855026705511682	-0.05182819355333512	-0.021714683201002116	-0.05692445506220278	-0.031727155647021776	-0.05087732749080909
112-0	0	-0.022738310386394622	-0.06409276311668644	-0.09349068160041119	-0.06753307508385709	-0.10003288192236981	-0.10403829340115778
113-0	0	-0.013234911019774698	-0.042869289387071796	-0.041208378463285844	-0.04042706531027085	-0.007098530506927769	-0.03722443008311993
114-0	0	-0.05440534832833821	-0.04257799020661557	-0.0802430029776583	-0.07435814401377805	-0.01462790674811243	-0.05600796505241534
115-0	0	0.002051309607494889	0.010129653441315223	-0.02154840195059382	-0.02960251849630602	-0.03431906885748737	-0.04531642677686265
116-0	0	0.056233103521939	-0.0049080522275873895	-0.015540374194499273	0.002654591435971465	-0.031163497003132923	-0.027199833589180766
117-0	0	-0.010828606287638265	-0.03341806439547079	0.049993681891706165	-0.026857896887737764	0.046019943032488686	0.0024355910815877513
118-0	0	0.03578882217407231	-0.004077115962526134	0.05560316666312837	0.0025441360473632546	-0.0007072218312512701	-0.02098657807026172
119-0	0	0.05352014234696312	-0.03724002938228865	0.05299206073467555	0.02041487320609714	0.012921256763023026	0.001955068932477544
120-0	0	-0.0573095560073853	-0.01320314902258335	0.049869324546992555	-0.013778900478197187	0.044218991682833386	-0.0089086944438177
121-0	0	0.07397189195128695	-0.0396727617002437	0.050869158741622456	-0.01795470030411428	-0.04858027208571469	-0.04814353262189863
122-0	0	0.06258705566669331	-0.028201686091742784	0.09483033247217287	0.00839349995488703	-0.017725145992816715	-0.01683750501797321
123-0	0	-0.023644660807203954	-0.02620619103790367	0.098630824519639	-0.047033323205035615	0.08381873879656698	0.020571223388955673
124-0	0	0.030398420903874457	-0.034876550168407294	0.03397491863340041	-0.00013275478197183332	-0.0539730955290314	-0.05321975559455239
125-0	0	-0.0027832732803519944	-0.04247624099775926	0.026973184694015773	-0.00881050773288894	0.025607099085046214	-0.009181070036750838
126-0	0	0.012271214627671445	-0.024645831716998967	0.05083491730450784	-0.02575374437415079	0.024840767367574235	-0.004387394074470752
127-0	0	0.01283329437518943	0.006344191882075134	-0.01048040409151918	-0.01036401002303422	0.07117713364978762	0.022297548506364562
128-0	0	-0.04449686702640576	0.012555159187872977	0.010502334645759337	0.0107252469270126	0.1632616419440147	0.07844675491452735
129-0	0	-0.014755556775235545	0.012189513225944637	0.04454497066229879	-0.017269638724949132	0.1029952961966496	0.044303376880436285
130-0	0	-0.046453848926500396	-0.002774927345031264	-0.005544297846663326	-0.04350198828655738	0.11015305333489545	0.03173723251311733
131-0	0	0.07372024689597645	-0.05668301106889462	-0.007140543245551578	-0.03564746359120241	-0.023435584970768586	-0.041028215385598865
132-0	0	-0.03170813280960605	-0.055747793659176925	-0.014196455072001068	-0.053184112880540924	-0.010284775087497366	-0.03665008533835856
133-0	0	-0.02102072540370903	-0.004883555643064974	-0.03926422068107893	-0.05295115926991334	0.05995328813591261	-0.004020083404425723
134-0	0	0.01493179332250838	-0.033141540883233955	0.018581289080871755	-0.02271458501401158	0.08866683243105078	0.03076547358279247
135-0	0	0.03755952681618169	0.015628543775908832	-0.005877694222440666	0.03140720865000857	0.056225211636332095	0.04106686732617271
136-0	0	0.09490775897585113	-0.030224245477348366	0.030050364975945265	0.0028594489719556693	0.04518084276442558	0.024266203348458637
137-0	0	-0.04953253406217728	-0.0249999866541204	-0.020895290055801263	-0.04589041005010197	0.015523164992364391	-0.03273040685013473
138-0	0	-0.04368585334427055	-0.04854143826676527	-0.0396188410628201	-0.022389300802479584	-0.04293079043394765	-0.05125830444406887
139-0	0	0.06346206007332633	-0.04038923124530225	-0.03847621751868202	-0.017067997144616154	-0.08324646892163579	-0.06361938250407828
140-0	0	-0.13905995275782446	0.036501457058653486	0.03922622910311391	-0.013931350708007773	0.15794687667949092	0.0603557693095651
141-0	0	-0.14540348381831725	0.013156756298187466	-0.045896097904065014	-0.06676139499830158	0.136349302970323	0.04503601770420407
142-0	0	-0.02701892030650177	-0.029479357661033156	-0.03975832553212855	-0.03304539390232253	-0.03906416412967961	-0.04665668036348081
143-0	0	-0.10271967772779789	-0.011076493777616991	-0.004071289623860053	-0.02580070163892667	0.10386127804749767	0.03550675261058778
