FILE mmc4.xlsx
SHEET Table Legend rows=2 cols=1
Table S3. All significant hits between tae and other species in use (ath, osa, zma, and sn-tae) in both ways (tae-to-X, X-to-tae), related to Figure 1


SHEET Ath-scTae-both-ways rows=22 cols=10
tae cluster	ath cluster	number of matches	enrichment fold	p-value	q-value	significant	match IDs	matching genes 1	matching genes 2
10	Xylem	29	3.8	9e-06	0.000441	True	ORTHO905GF000146,ORTHO905GF000193,ORTHO905GF000298,ORTHO905GF000303,ORTHO905GF000313,ORTHO905GF000545,ORTHO905GF000596,ORTHO905GF000638,ORTHO905GF000770,ORTHO905GF000851,ORTHO905GF000968,ORTHO905GF000996,ORTHO905GF001486,ORTHO905GF002577,ORTHO905GF002782,ORTHO905GF002972,ORTHO905GF003247,ORTHO905GF003310,ORTHO905GF003358,ORTHO905GF005173,ORTHO905GF005877,ORTHO905GF006895,ORTHO905GF007503,ORTHO905GF007961,ORTHO905GF009555,ORTHO905GF009586,ORTHO905GF010246,ORTHO905GF010659,ORTHO905GF011940	AT1G08340,AT1G20850,AT1G27380,AT1G35780,AT1G55210,AT1G67510,AT1G72230,AT1G75280,AT1G75840,AT1G79620,AT2G04850,AT2G27740,AT2G28315,AT2G36355,AT2G40320,AT2G44690,AT2G46710,AT3G09980,AT3G10080,AT3G11490,AT3G29360,AT3G52900,AT3G52920,AT3G53620,AT3G59690,AT3G62020,AT4G11210,AT4G18780,AT4G20890,AT4G23690,AT4G35350,AT5G01360,AT5G03170,AT5G12250,AT5G15490,AT5G16490,AT5G17420,AT5G23750,AT5G23860,AT5G26330,AT5G39320,AT5G44030,AT5G44340,AT5G45970,AT5G49460,AT5G54500,AT5G60490,AT5G62880	TraesCS1A03G0062800,TraesCS1A03G0402200,TraesCS1A03G0793500,TraesCS1B03G0066500,TraesCS1B03G0109800,TraesCS1B03G0263100,TraesCS1B03G0493300,TraesCS1B03G0911600,TraesCS1D03G0049400,TraesCS1D03G0080800,TraesCS1D03G0186800,TraesCS1D03G0371000,TraesCS1D03G0645100,TraesCS1D03G0759800,TraesCS2A03G0730800,TraesCS2A03G1052500,TraesCS2B03G0454200,TraesCS2B03G0806600,TraesCS2B03G1012300,TraesCS2B03G1177400,TraesCS2D03G0354800,TraesCS2D03G0673900,TraesCS2D03G0861600,TraesCS3A03G0388700,TraesCS3A03G0635100,TraesCS3A03G0987500,TraesCS3B03G0705000,TraesCS3B03G0828300,TraesCS3B03G1137000,TraesCS3B03G1344700,TraesCS3B03G1344800,TraesCS3D03G0576000,TraesCS3D03G0666000,TraesCS3D03G0867400,TraesCS3D03G0921200,TraesCS4A03G0086500,TraesCS4A03G0280400,TraesCS4A03G0528300,TraesCS4A03G0686700,TraesCS4B03G0109200,TraesCS4B03G0269000,TraesCS4B03G0486500,TraesCS4B03G0706600,TraesCS4D03G0229600,TraesCS4D03G0434100,TraesCS5A03G0357200,TraesCS5A03G0388600,TraesCS5A03G0570800,TraesCS5A03G1080200,TraesCS5A03G1115100,TraesCS5A03G1247300,TraesCS5B03G0387000,TraesCS5B03G0582100,TraesCS5B03G1143400,TraesCS5B03G1183000,TraesCS5D03G0341700,TraesCS5D03G0377000,TraesCS5D03G0536900,TraesCS5D03G1033800,TraesCS5D03G1067600,TraesCS6A03G0065500,TraesCS6B03G0096600,TraesCS6D03G0538900,TraesCS7A03G0413900,TraesCS7A03G0446200,TraesCS7A03G0992800,TraesCS7D03G0401600,TraesCS7D03G0430200,TraesCSU03G0019900,TraesCSU03G0020100
10	Xylem	29	3.78	9e-06	0.00049	True	ORTHO905GF000146,ORTHO905GF000193,ORTHO905GF000298,ORTHO905GF000303,ORTHO905GF000313,ORTHO905GF000545,ORTHO905GF000596,ORTHO905GF000638,ORTHO905GF000770,ORTHO905GF000851,ORTHO905GF000968,ORTHO905GF000996,ORTHO905GF001486,ORTHO905GF002577,ORTHO905GF002782,ORTHO905GF002972,ORTHO905GF003247,ORTHO905GF003310,ORTHO905GF003358,ORTHO905GF005173,ORTHO905GF005877,ORTHO905GF006895,ORTHO905GF007503,ORTHO905GF007961,ORTHO905GF009555,ORTHO905GF009586,ORTHO905GF010246,ORTHO905GF010659,ORTHO905GF011940	TraesCS1A03G0062800,TraesCS1A03G0402200,TraesCS1A03G0793500,TraesCS1B03G0066500,TraesCS1B03G0109800,TraesCS1B03G0263100,TraesCS1B03G0493300,TraesCS1B03G0911600,TraesCS1D03G0049400,TraesCS1D03G0080800,TraesCS1D03G0186800,TraesCS1D03G0371000,TraesCS1D03G0645100,TraesCS1D03G0759800,TraesCS2A03G0730800,TraesCS2A03G1052500,TraesCS2B03G0454200,TraesCS2B03G0806600,TraesCS2B03G1012300,TraesCS2B03G1177400,TraesCS2D03G0354800,TraesCS2D03G0673900,TraesCS2D03G0861600,TraesCS3A03G0388700,TraesCS3A03G0635100,TraesCS3A03G0987500,TraesCS3B03G0705000,TraesCS3B03G0828300,TraesCS3B03G1137000,TraesCS3B03G1344700,TraesCS3B03G1344800,TraesCS3D03G0576000,TraesCS3D03G0666000,TraesCS3D03G0867400,TraesCS3D03G0921200,TraesCS4A03G0086500,TraesCS4A03G0280400,TraesCS4A03G0528300,TraesCS4A03G0686700,TraesCS4B03G0109200,TraesCS4B03G0269000,TraesCS4B03G0486500,TraesCS4B03G0706600,TraesCS4D03G0229600,TraesCS4D03G0434100,TraesCS5A03G0357200,TraesCS5A03G0388600,TraesCS5A03G0570800,TraesCS5A03G1080200,TraesCS5A03G1115100,TraesCS5A03G1247300,TraesCS5B03G0387000,TraesCS5B03G0582100,TraesCS5B03G1143400,TraesCS5B03G1183000,TraesCS5D03G0341700,TraesCS5D03G0377000,TraesCS5D03G0536900,TraesCS5D03G1033800,TraesCS5D03G1067600,TraesCS6A03G0065500,TraesCS6B03G0096600,TraesCS6D03G0538900,TraesCS7A03G0413900,TraesCS7A03G0446200,TraesCS7A03G0992800,TraesCS7D03G0401600,TraesCS7D03G0430200,TraesCSU03G0019900,TraesCSU03G0020100	AT1G08340,AT1G20850,AT1G27380,AT1G35780,AT1G55210,AT1G67510,AT1G72230,AT1G75280,AT1G75840,AT1G79620,AT2G04850,AT2G27740,AT2G28315,AT2G36355,AT2G40320,AT2G44690,AT2G46710,AT3G09980,AT3G10080,AT3G11490,AT3G29360,AT3G52900,AT3G52920,AT3G53620,AT3G59690,AT3G62020,AT4G11210,AT4G18780,AT4G20890,AT4G23690,AT4G35350,AT5G01360,AT5G03170,AT5G12250,AT5G15490,AT5G16490,AT5G17420,AT5G23750,AT5G23860,AT5G26330,AT5G39320,AT5G44030,AT5G44340,AT5G45970,AT5G49460,AT5G54500,AT5G60490,AT5G62880
10	Trichoblast	14	2.08	0.00254	0.0452581818181818	True	ORTHO905GF000041,ORTHO905GF000043,ORTHO905GF000298,ORTHO905GF000303,ORTHO905GF000313,ORTHO905GF000465,ORTHO905GF000537,ORTHO905GF000596,ORTHO905GF000770,ORTHO905GF000968,ORTHO905GF001220,ORTHO905GF001486,ORTHO905GF003310,ORTHO905GF012822	TraesCS1A03G0313300,TraesCS1A03G0793500,TraesCS1B03G0109800,TraesCS1B03G0397800,TraesCS1B03G0911600,TraesCS1D03G0080800,TraesCS1D03G0304200,TraesCS1D03G0759800,TraesCS2A03G0363200,TraesCS2A03G1162800,TraesCS2B03G0484900,TraesCS2D03G1111900,TraesCS3A03G0635100,TraesCS3B03G0705000,TraesCS3D03G0576000,TraesCS4A03G0528300,TraesCS4A03G0686700,TraesCS4B03G0109200,TraesCS4B03G0269000,TraesCS4D03G0229600,TraesCS5A03G0357200,TraesCS5A03G0953300,TraesCS5B03G1001800,TraesCS5D03G0341700,TraesCS6B03G0808900,TraesCS6D03G0538900,TraesCS6D03G0557600,TraesCS7A03G0413900,TraesCS7A03G0446200,TraesCS7A03G0969300,TraesCS7B03G0805100,TraesCS7D03G0401600,TraesCS7D03G0430200	AT1G08340,AT1G20090,AT1G75840,AT2G20520,AT2G27360,AT2G46860,AT3G02230,AT3G48940,AT3G49960,AT3G60280,AT4G01480,AT4G20860,AT4G23400,AT4G27270,AT4G35950,AT4G37530,AT5G15650,AT5G16510,AT5G22400,AT5G23750,AT5G39320,AT5G67400
11	Phloem	16	2.93	9e-06	0.000441	True	ORTHO905GF000048,ORTHO905GF000147,ORTHO905GF000199,ORTHO905GF000298,ORTHO905GF000325,ORTHO905GF000589,ORTHO905GF001069,ORTHO905GF001372,ORTHO905GF001486,ORTHO905GF002171,ORTHO905GF002308,ORTHO905GF003037,ORTHO905GF003983,ORTHO905GF004075,ORTHO905GF008021,ORTHO905GF009490	AT1G29160,AT1G49240,AT1G65960,AT1G70670,AT1G76160,AT2G02000,AT2G02130,AT2G02230,AT2G34140,AT3G12110,AT3G21770,AT3G48940,AT3G53620,AT4G27350,AT5G08350,AT5G09810,AT5G21105,AT5G23360,AT5G23370,AT5G47920,AT5G53250,AT5G65020	TraesCS1A03G0483700,TraesCS1A03G0827500,TraesCS1B03G0109800,TraesCS1B03G0951500,TraesCS1D03G0271100,TraesCS1D03G0796200,TraesCS2A03G0650000,TraesCS2B03G0559800,TraesCS2B03G0719400,TraesCS2B03G0782200,TraesCS2D03G0651000,TraesCS2D03G0850800,TraesCS3D03G0041800,TraesCS4B03G0840800,TraesCS4D03G0748700,TraesCS6A03G0643500,TraesCS6A03G0649500,TraesCS6A03G0965900,TraesCS6B03G0776100,TraesCS6D03G0534200,TraesCS6D03G0538900,TraesCS6D03G0845500,TraesCS7A03G0420200,TraesCS7A03G0475600,TraesCS7A03G0884400,TraesCS7A03G1097700,TraesCS7B03G0226800,TraesCS7B03G0728600,TraesCS7D03G0408700,TraesCS7D03G1048700
11	Phloem	16	2.71	9e-06	0.00049	True	ORTHO905GF000048,ORTHO905GF000147,ORTHO905GF000199,ORTHO905GF000298,ORTHO905GF000325,ORTHO905GF000589,ORTHO905GF001069,ORTHO905GF001372,ORTHO905GF001486,ORTHO905GF002171,ORTHO905GF002308,ORTHO905GF003037,ORTHO905GF003983,ORTHO905GF004075,ORTHO905GF008021,ORTHO905GF009490	TraesCS1A03G0483700,TraesCS1A03G0827500,TraesCS1B03G0109800,TraesCS1B03G0951500,TraesCS1D03G0271100,TraesCS1D03G0796200,TraesCS2A03G0650000,TraesCS2B03G0559800,TraesCS2B03G0719400,TraesCS2B03G0782200,TraesCS2D03G0651000,TraesCS2D03G0850800,TraesCS3D03G0041800,TraesCS4B03G0840800,TraesCS4D03G0748700,TraesCS6A03G0643500,TraesCS6A03G0649500,TraesCS6A03G0965900,TraesCS6B03G0776100,TraesCS6D03G0534200,TraesCS6D03G0538900,TraesCS6D03G0845500,TraesCS7A03G0420200,TraesCS7A03G0475600,TraesCS7A03G0884400,TraesCS7A03G1097700,TraesCS7B03G0226800,TraesCS7B03G0728600,TraesCS7D03G0408700,TraesCS7D03G1048700	AT1G29160,AT1G49240,AT1G65960,AT1G70670,AT1G76160,AT2G02000,AT2G02130,AT2G02230,AT2G34140,AT3G12110,AT3G21770,AT3G48940,AT3G53620,AT4G27350,AT5G08350,AT5G09810,AT5G21105,AT5G23360,AT5G23370,AT5G47920,AT5G53250,AT5G65020
11	Xylem	13	2.28	0.00088	0.0191644444444444	True	ORTHO905GF000147,ORTHO905GF000222,ORTHO905GF000298,ORTHO905GF000325,ORTHO905GF000589,ORTHO905GF000770,ORTHO905GF001069,ORTHO905GF001486,ORTHO905GF003620,ORTHO905GF004075,ORTHO905GF004545,ORTHO905GF005832,ORTHO905GF009490	AT1G10200,AT1G49240,AT1G65960,AT2G04780,AT3G06035,AT3G12110,AT3G18780,AT3G29360,AT3G53620,AT4G35100,AT5G09810,AT5G15490,AT5G21105,AT5G23750,AT5G39320,AT5G53250,AT5G54240,AT5G60660,AT5G66920	TraesCS1A03G0483700,TraesCS1B03G0109800,TraesCS1D03G0271100,TraesCS2A03G0290300,TraesCS2A03G0650000,TraesCS2B03G0559800,TraesCS2B03G0719400,TraesCS2D03G0305400,TraesCS3D03G0041800,TraesCS4D03G0092300,TraesCS5A03G0264700,TraesCS5B03G1379500,TraesCS5D03G1233700,TraesCS6A03G0649500,TraesCS6B03G0776100,TraesCS6D03G0538900,TraesCS7A03G0884400,TraesCS7B03G0003800,TraesCS7B03G0728600,TraesCS7D03G0539900
12	Dividing	16	12.41	9e-06	0.000441	True	ORTHO905GF000219,ORTHO905GF001050,ORTHO905GF001610,ORTHO905GF005812,ORTHO905GF005829,ORTHO905GF006401,ORTHO905GF006628,ORTHO905GF007867,ORTHO905GF007992,ORTHO905GF008127,ORTHO905GF008268,ORTHO905GF011802,ORTHO905GF012046,ORTHO905GF012139,ORTHO905GF012557,ORTHO905GF012785	AT1G20610,AT1G20930,AT1G50490,AT1G76310,AT1G76540,AT2G17620,AT2G25060,AT2G26760,AT2G27970,AT2G38620,AT2G42110,AT3G02640,AT3G11520,AT3G12870,AT3G20060,AT3G51230,AT3G54180,AT4G02800,AT4G15830,AT4G31840,AT4G32830,AT4G35620,AT4G37490,AT5G06150,AT5G16250,AT5G20950,AT5G25090,AT5G67270	TraesCS1A03G0459700,TraesCS1A03G0526900,TraesCS1A03G0853600,TraesCS1B03G0616100,TraesCS1B03G0879500,TraesCS1B03G0987400,TraesCS1D03G0432000,TraesCS1D03G0508400,TraesCS1D03G0735800,TraesCS1D03G0823500,TraesCS2A03G0132400,TraesCS2A03G0863000,TraesCS2B03G0179700,TraesCS2B03G0955500,TraesCS2D03G0129500,TraesCS2D03G0803000,TraesCS3A03G0236000,TraesCS3A03G0446200,TraesCS3A03G0796600,TraesCS3A03G1041900,TraesCS3B03G0296700,TraesCS3B03G0523500,TraesCS3B03G0918400,TraesCS3B03G1202600,TraesCS3D03G0226100,TraesCS3D03G0414300,TraesCS3D03G0735900,TraesCS3D03G0969300,TraesCS4B03G0809600,TraesCS4B03G0833500,TraesCS4D03G0742700,TraesCS5A03G0402700,TraesCS5A03G0986700,TraesCS5B03G0981400,TraesCS5D03G0889900,TraesCS7A03G1335600,TraesCS7B03G0387000,TraesCS7B03G1269700,TraesCS7D03G0553800,TraesCS7D03G1262100
12	Dividing	16	10.54	9e-06	0.00049	True	ORTHO905GF000219,ORTHO905GF001050,ORTHO905GF001610,ORTHO905GF005812,ORTHO905GF005829,ORTHO905GF006401,ORTHO905GF006628,ORTHO905GF007867,ORTHO905GF007992,ORTHO905GF008127,ORTHO905GF008268,ORTHO905GF011802,ORTHO905GF012046,ORTHO905GF012139,ORTHO905GF012557,ORTHO905GF012785	TraesCS1A03G0459700,TraesCS1A03G0526900,TraesCS1A03G0853600,TraesCS1B03G0616100,TraesCS1B03G0879500,TraesCS1B03G0987400,TraesCS1D03G0432000,TraesCS1D03G0508400,TraesCS1D03G0735800,TraesCS1D03G0823500,TraesCS2A03G0132400,TraesCS2A03G0863000,TraesCS2B03G0179700,TraesCS2B03G0955500,TraesCS2D03G0129500,TraesCS2D03G0803000,TraesCS3A03G0236000,TraesCS3A03G0446200,TraesCS3A03G0796600,TraesCS3A03G1041900,TraesCS3B03G0296700,TraesCS3B03G0523500,TraesCS3B03G0918400,TraesCS3B03G1202600,TraesCS3D03G0226100,TraesCS3D03G0414300,TraesCS3D03G0735900,TraesCS3D03G0969300,TraesCS4B03G0809600,TraesCS4B03G0833500,TraesCS4D03G0742700,TraesCS5A03G0402700,TraesCS5A03G0986700,TraesCS5B03G0981400,TraesCS5D03G0889900,TraesCS7A03G1335600,TraesCS7B03G0387000,TraesCS7B03G1269700,TraesCS7D03G0553800,TraesCS7D03G1262100	AT1G20610,AT1G20930,AT1G50490,AT1G76310,AT1G76540,AT2G17620,AT2G25060,AT2G26760,AT2G27970,AT2G38620,AT2G42110,AT3G02640,AT3G11520,AT3G12870,AT3G20060,AT3G51230,AT3G54180,AT4G02800,AT4G15830,AT4G31840,AT4G32830,AT4G35620,AT4G37490,AT5G06150,AT5G16250,AT5G20950,AT5G25090,AT5G67270
13	Phloem	8	3.28	0.0004	0.0098	True	ORTHO905GF000256,ORTHO905GF001372,ORTHO905GF001997,ORTHO905GF002011,ORTHO905GF002797,ORTHO905GF003223,ORTHO905GF004279,ORTHO905GF007367	AT1G29050,AT1G78520,AT2G02130,AT2G26600,AT2G31110,AT2G32280,AT2G46630,AT3G02770,AT4G21310,AT5G50720	TraesCS3B03G0001000,TraesCS3B03G0483000,TraesCS4B03G0840800,TraesCS4D03G0748700,TraesCS5D03G0557600,TraesCS6B03G0482100,TraesCS6D03G0332400,TraesCS7A03G0517200,TraesCS7A03G0757500,TraesCS7A03G0853800,TraesCS7B03G0335800,TraesCS7B03G1302500,TraesCS7D03G0500500,TraesCS7D03G0728800,TraesCSU03G0052100
