query_label	reference_label	pearson
cortex	cortex	0.999999585997916
endodermis	cortex	0.945346817632379
epidermis	cortex	0.933016609951614
meristems	cortex	0.922035810883228
pericycle	cortex	0.910672401059067
phloem	cortex	0.815164421058175
provascular	cortex	0.906186184448727
root_cap	cortex	0.882047152941941
root_hair	cortex	0.918470901082452
xylem	cortex	0.919362494223349
cortex	endodermis	0.945354703891682
endodermis	endodermis	0.999999579860155
epidermis	endodermis	0.908238630372529
meristems	endodermis	0.909502202739787
pericycle	endodermis	0.925552319532909
phloem	endodermis	0.80734610176099
provascular	endodermis	0.936058109998901
root_cap	endodermis	0.871164318714581
root_hair	endodermis	0.893098793208984
xylem	endodermis	0.921044765074978
cortex	epidermis	0.933038529488262
endodermis	epidermis	0.908250279741154
epidermis	epidermis	0.999999636934799
meristems	epidermis	0.913156239787164
pericycle	epidermis	0.889965596815598
phloem	epidermis	0.824778791167404
provascular	epidermis	0.886730452726591
root_cap	epidermis	0.890342214294005
root_hair	epidermis	0.94541988462755
xylem	epidermis	0.913185598940209
cortex	meristems	0.922026972464185
endodermis	meristems	0.909484897043927
epidermis	meristems	0.913127188687243
meristems	meristems	0.999999594333831
pericycle	meristems	0.895849616293435
phloem	meristems	0.832114157885792
provascular	meristems	0.917954112682134
root_cap	meristems	0.849430723135741
root_hair	meristems	0.858125268382621
xylem	meristems	0.884101425646012
cortex	pericycle	0.910688669100943
endodermis	pericycle	0.925561314046437
epidermis	pericycle	0.889956409029977
meristems	pericycle	0.895875867666586
pericycle	pericycle	0.99999961568725
phloem	pericycle	0.827436852073083
provascular	pericycle	0.934012820424111
root_cap	pericycle	0.860554202172349
root_hair	pericycle	0.879044713660692
xylem	pericycle	0.91324873557704
cortex	phloem	0.815191724026174
endodermis	phloem	0.807345713236104
epidermis	phloem	0.824763627048414
meristems	phloem	0.832154395452354
pericycle	phloem	0.827437773338593
phloem	phloem	0.999999932337677
provascular	phloem	0.815285842578557
root_cap	phloem	0.780977176938252
root_hair	phloem	0.791763010051045
xylem	phloem	0.814811689504616
cortex	provascular	0.90618101170905
endodermis	provascular	0.936045489457847
epidermis	provascular	0.886706650887188
meristems	provascular	0.917960117957753
pericycle	provascular	0.933994110740116
phloem	provascular	0.815263319379913
provascular	provascular	0.999999604410274
root_cap	provascular	0.849359114986339
root_hair	provascular	0.859350110708075
xylem	provascular	0.913508958588047
cortex	root_cap	0.88205519513733
endodermis	root_cap	0.871161901122324
epidermis	root_cap	0.890327454906436
meristems	root_cap	0.849449606077057
pericycle	root_cap	0.860543844540567
phloem	root_cap	0.780963272186647
provascular	root_cap	0.849373078735279
root_cap	root_cap	0.999999855044274
root_hair	root_cap	0.86470064080357
xylem	root_cap	0.896672010734783
cortex	root_hair	0.918468660559917
endodermis	root_hair	0.893079857927931
epidermis	root_hair	0.945397467655716
meristems	root_hair	0.858136915997307
pericycle	root_hair	0.879017588883781
phloem	root_hair	0.7917349922578
provascular	root_hair	0.859347404797395
root_cap	root_hair	0.864685469996398
root_hair	root_hair	0.999999639321736
xylem	root_hair	0.891908294912514
cortex	xylem	0.919362931089248
endodermis	xylem	0.921036387196919
epidermis	xylem	0.913163354146084
meristems	xylem	0.884115840697606
pericycle	xylem	0.913230339007359
phloem	xylem	0.81478711334874
provascular	xylem	0.913516433658304
root_cap	xylem	0.896663027830411
root_hair	xylem	0.891917020868125
xylem	xylem	0.999999943717102
