section	item	metric	value
reference	B_Cell	cells	200
reference	B_Cell	mean_library	1209.825000
markers	B_Cell	top10	Gene_167:2.876,Gene_156:2.875,Gene_649:2.729,Gene_502:2.634,Gene_170:2.492,Gene_194:2.470,Gene_172:2.436,Gene_168:2.400,Gene_162:2.392,Gene_189:2.381
markers	B_Cell	positive_top50_count	50
reference	Endothelial	cells	200
reference	Endothelial	mean_library	1258.285000
markers	Endothelial	top10	Gene_297:4.408,Gene_323:3.035,Gene_285:2.898,Gene_295:2.836,Gene_278:2.743,Gene_263:2.675,Gene_258:2.623,Gene_290:2.572,Gene_284:2.516,Gene_426:2.438
markers	Endothelial	positive_top50_count	50
reference	Fibroblast_Stroma	cells	200
reference	Fibroblast_Stroma	mean_library	1289.310000
markers	Fibroblast_Stroma	top10	Gene_57:3.496,Gene_77:3.333,Gene_546:3.311,Gene_99:3.075,Gene_66:3.019,Gene_89:2.917,Gene_84:2.645,Gene_63:2.422,Gene_90:2.409,Gene_54:2.381
markers	Fibroblast_Stroma	positive_top50_count	50
reference	Macrophage	cells	200
reference	Macrophage	mean_library	1223.285000
markers	Macrophage	top10	Gene_222:3.745,Gene_224:3.373,Gene_604:3.070,Gene_215:2.770,Gene_677:2.706,Gene_221:2.687,Gene_239:2.651,Gene_212:2.512,Gene_229:2.480,Gene_231:2.453
markers	Macrophage	positive_top50_count	50
reference	T_Cell	cells	200
reference	T_Cell	mean_library	1251.095000
markers	T_Cell	top10	Gene_871:3.302,Gene_135:2.970,Gene_100:2.846,Gene_114:2.582,Gene_142:2.519,Gene_119:2.394,Gene_107:2.360,Gene_125:2.313,Gene_105:2.292,Gene_133:2.258
markers	T_Cell	positive_top50_count	50
reference	Tumor_Core	cells	200
reference	Tumor_Core	mean_library	1224.640000
markers	Tumor_Core	top10	Gene_34:3.387,Gene_390:3.290,Gene_9:3.191,Gene_46:3.119,Gene_43:3.004,Gene_411:2.978,Gene_10:2.885,Gene_49:2.820,Gene_42:2.684,Gene_21:2.673
markers	Tumor_Core	positive_top50_count	50
target	Spot_710-1	library	3693
target	Spot_710-1	position	{'barcode': 'Spot_710-1', 'in_tissue': '1', 'array_row': '20', 'array_col': '23', 'pxl_row_in_fullres': '1100', 'pxl_col_in_fullres': '1250'}
analysis	marker_union	gene_count	300
analysis	validation_spots	barcodes	Spot_710-1,Spot_680-1,Spot_709-1,Spot_711-1,Spot_740-1,Spot_679-1,Spot_681-1,Spot_739-1,Spot_741-1
