eye	population	assigned_cell_type	population_cells	cells_with_best_anchor_ge2	pct_population_assigned
eye1	all	astrocyte	8646	9	0.104094378903539
eye1	all	microglial cell	8646	0	0
eye1	all	RPE cell	8646	7	0.0809622947027527
eye1	all	cone cell	8646	201	2.32477446217904
eye1	all	rod cell	8646	6772	78.3252371038631
eye1	all	horizontal cell	8646	164	1.89683090446449
eye1	all	bipolar cell	8646	615	7.11311589174185
eye1	all	RGC	8646	27	0.312283136710618
eye1	all	T cells	8646	0	0
eye1	all	macrophage	8646	133	1.5382835993523
eye1	all	Schwann cell	8646	43	0.49733981031691
eye1	all	Pericyte	8646	2	0.0231320842007865
eye1	all	B cell	8646	0	0
eye1	all	fibroblast	8646	1	0.0115660421003932
eye1	all	muller glia cell	8646	348	4.02498265093685
eye1	all	endothelial cell	8646	0	0
eye1	CCL5_positive	astrocyte	426	6	0.0693962526023595
eye1	CCL5_positive	microglial cell	426	0	0
eye1	CCL5_positive	RPE cell	426	2	0.0231320842007865
eye1	CCL5_positive	cone cell	426	0	0
eye1	CCL5_positive	rod cell	426	131	1.51515151515152
eye1	CCL5_positive	horizontal cell	426	1	0.0115660421003932
eye1	CCL5_positive	bipolar cell	426	3	0.0346981263011797
eye1	CCL5_positive	RGC	426	0	0
eye1	CCL5_positive	T cells	426	0	0
eye1	CCL5_positive	macrophage	426	65	0.751792736525561
eye1	CCL5_positive	Schwann cell	426	1	0.0115660421003932
eye1	CCL5_positive	Pericyte	426	1	0.0115660421003932
eye1	CCL5_positive	B cell	426	0	0
eye1	CCL5_positive	fibroblast	426	0	0
eye1	CCL5_positive	muller glia cell	426	215	2.48669905158455
eye1	CCL5_positive	endothelial cell	426	0	0
eye1	CCL5_negative	astrocyte	8220	3	0.0346981263011797
eye1	CCL5_negative	microglial cell	8220	0	0
eye1	CCL5_negative	RPE cell	8220	5	0.0578302105019662
eye1	CCL5_negative	cone cell	8220	201	2.32477446217904
eye1	CCL5_negative	rod cell	8220	6641	76.8100855887115
eye1	CCL5_negative	horizontal cell	8220	163	1.8852648623641
eye1	CCL5_negative	bipolar cell	8220	612	7.07841776544067
eye1	CCL5_negative	RGC	8220	27	0.312283136710618
eye1	CCL5_negative	T cells	8220	0	0
eye1	CCL5_negative	macrophage	8220	68	0.786490862826741
eye1	CCL5_negative	Schwann cell	8220	42	0.485773768216516
eye1	CCL5_negative	Pericyte	8220	1	0.0115660421003932
eye1	CCL5_negative	B cell	8220	0	0
eye1	CCL5_negative	fibroblast	8220	1	0.0115660421003932
eye1	CCL5_negative	muller glia cell	8220	133	1.5382835993523
eye1	CCL5_negative	endothelial cell	8220	0	0
eye1	CCL5_and_CD69_positive	astrocyte	269	3	0.0346981263011797
eye1	CCL5_and_CD69_positive	microglial cell	269	0	0
eye1	CCL5_and_CD69_positive	RPE cell	269	0	0
eye1	CCL5_and_CD69_positive	cone cell	269	0	0
eye1	CCL5_and_CD69_positive	rod cell	269	92	1.06407587323618
eye1	CCL5_and_CD69_positive	horizontal cell	269	0	0
eye1	CCL5_and_CD69_positive	bipolar cell	269	1	0.0115660421003932
eye1	CCL5_and_CD69_positive	RGC	269	0	0
eye1	CCL5_and_CD69_positive	T cells	269	0	0
eye1	CCL5_and_CD69_positive	macrophage	269	43	0.49733981031691
eye1	CCL5_and_CD69_positive	Schwann cell	269	1	0.0115660421003932
eye1	CCL5_and_CD69_positive	Pericyte	269	1	0.0115660421003932
eye1	CCL5_and_CD69_positive	B cell	269	0	0
eye1	CCL5_and_CD69_positive	fibroblast	269	0	0
eye1	CCL5_and_CD69_positive	muller glia cell	269	127	1.46888734674994
eye1	CCL5_and_CD69_positive	endothelial cell	269	0	0
eye2	all	astrocyte	9355	11	0.117584179583111
eye2	all	microglial cell	9355	1	0.0106894708711919
eye2	all	RPE cell	9355	2	0.0213789417423838
eye2	all	cone cell	9355	340	3.63442009620524
eye2	all	rod cell	9355	7371	78.7920897915553
eye2	all	horizontal cell	9355	116	1.23997862105826
eye2	all	bipolar cell	9355	578	6.1785141635489
eye2	all	RGC	9355	13	0.138963121325494
eye2	all	T cells	9355	0	0
eye2	all	macrophage	9355	109	1.16515232495991
eye2	all	Schwann cell	9355	73	0.780331373597007
eye2	all	Pericyte	9355	5	0.0534473543559594
eye2	all	B cell	9355	0	0
eye2	all	fibroblast	9355	0	0
eye2	all	muller glia cell	9355	333	3.55959380010689
eye2	all	endothelial cell	9355	1	0.0106894708711919
eye2	CCL5_positive	astrocyte	13	0	0
eye2	CCL5_positive	microglial cell	13	0	0
eye2	CCL5_positive	RPE cell	13	0	0
eye2	CCL5_positive	cone cell	13	0	0
eye2	CCL5_positive	rod cell	13	7	0.0748262960983431
eye2	CCL5_positive	horizontal cell	13	0	0
eye2	CCL5_positive	bipolar cell	13	4	0.0427578834847675
eye2	CCL5_positive	RGC	13	0	0
eye2	CCL5_positive	T cells	13	0	0
eye2	CCL5_positive	macrophage	13	0	0
eye2	CCL5_positive	Schwann cell	13	0	0
eye2	CCL5_positive	Pericyte	13	0	0
eye2	CCL5_positive	B cell	13	0	0
eye2	CCL5_positive	fibroblast	13	0	0
eye2	CCL5_positive	muller glia cell	13	1	0.0106894708711919
eye2	CCL5_positive	endothelial cell	13	0	0
eye2	CCL5_negative	astrocyte	9342	11	0.117584179583111
eye2	CCL5_negative	microglial cell	9342	1	0.0106894708711919
eye2	CCL5_negative	RPE cell	9342	2	0.0213789417423838
eye2	CCL5_negative	cone cell	9342	340	3.63442009620524
eye2	CCL5_negative	rod cell	9342	7364	78.717263495457
eye2	CCL5_negative	horizontal cell	9342	116	1.23997862105826
eye2	CCL5_negative	bipolar cell	9342	574	6.13575628006414
eye2	CCL5_negative	RGC	9342	13	0.138963121325494
eye2	CCL5_negative	T cells	9342	0	0
eye2	CCL5_negative	macrophage	9342	109	1.16515232495991
eye2	CCL5_negative	Schwann cell	9342	73	0.780331373597007
eye2	CCL5_negative	Pericyte	9342	5	0.0534473543559594
eye2	CCL5_negative	B cell	9342	0	0
eye2	CCL5_negative	fibroblast	9342	0	0
eye2	CCL5_negative	muller glia cell	9342	332	3.5489043292357
eye2	CCL5_negative	endothelial cell	9342	1	0.0106894708711919
eye2	CCL5_and_CD69_positive	astrocyte	0	0	NA
eye2	CCL5_and_CD69_positive	microglial cell	0	0	NA
eye2	CCL5_and_CD69_positive	RPE cell	0	0	NA
eye2	CCL5_and_CD69_positive	cone cell	0	0	NA
eye2	CCL5_and_CD69_positive	rod cell	0	0	NA
eye2	CCL5_and_CD69_positive	horizontal cell	0	0	NA
eye2	CCL5_and_CD69_positive	bipolar cell	0	0	NA
eye2	CCL5_and_CD69_positive	RGC	0	0	NA
eye2	CCL5_and_CD69_positive	T cells	0	0	NA
eye2	CCL5_and_CD69_positive	macrophage	0	0	NA
eye2	CCL5_and_CD69_positive	Schwann cell	0	0	NA
eye2	CCL5_and_CD69_positive	Pericyte	0	0	NA
eye2	CCL5_and_CD69_positive	B cell	0	0	NA
eye2	CCL5_and_CD69_positive	fibroblast	0	0	NA
eye2	CCL5_and_CD69_positive	muller glia cell	0	0	NA
eye2	CCL5_and_CD69_positive	endothelial cell	0	0	NA
