cell_type	n_eye1	n_eye2	mean_broad_eye1	mean_broad_eye2	median_broad_eye1	median_broad_eye2	mean_ifn_eye1	mean_ifn_eye2	mean_antigen_eye1	mean_antigen_eye2	broad_diff_eye1_minus_eye2	abs_broad_diff	rank_score	inflamed_eye
muller glia cell	303	338	0.059629276	0.036858707	0.066780659	0.043514211	0.059891943	0.038853515	0.094753764	0.046920028	0.022770569	0.022770569	0.14319797	eye1
astrocyte	349	301	0.040894674	0.022077158	0.047585751	0	0.040709255	0.023879531	0.060320363	0.024576422	0.018817516	0.018817516	0.11820166	eye1
endothelial cell	32	32	0.036760328	0.023351012	0.020781686	0	0.040111087	0.02404828	0.056892812	0.031665648	0.013409317	0.013409317	0.051574355	eye1
bipolar cell	769	811	0.02317962	0.019038898	0	0	0.03508193	0.027084889	0.012646781	0.013184603	0.0041407223	0.0041407223	0.030272943	eye1
macrophage	28	61	0.019158798	0.013679144	0	0	0.029984293	0.018018774	0.0067868042	0.01041439	0.0054796544	0.0054796544	0.020296779	eye1
rod cell	6547	7084	0.01678283	0.018818218	0	0	0.021976015	0.023724198	0.013300432	0.015911011	-0.002035388	0.002035388	0.019673259	eye2
cone cell	212	336	0.018824555	0.016417436	0	0	0.02525235	0.021161718	0.013124552	0.013617412	0.0024071183	0.0024071183	0.014195791	eye1
horizontal cell	322	299	0.026039455	0.027925936	0	0.02960762	0.036728477	0.036050982	0.0203216	0.023814673	-0.001886481	0.001886481	0.011836085	eye2
microglial cell	4	2	0.026584714	0.020811182	0.026527953	0.020811182	0.049846339	0.039020967	0	0	0.0057735315	0.0057735315	-1	eye1
RPE cell	12	23	0.019700087	0.028575037	0	0.029965907	0.0319337	0.038586834	0.013308497	0.031544455	-0.0088749505	0.0088749505	-1	eye2
RGC	34	19	0.038917039	0.030845003	0.044665206	0.0380095	0.06312576	0.048611344	0.020374654	0.017681201	0.0080720359	0.0080720359	-1	eye1
T cells	2	7	0.039517667	0.031292822	0.039517667	0	0.074095626	0.051301574	0	0.031596725	0.0082248455	0.0082248455	-1	eye1
Schwann cell	9	12	0	0.0080889994	0	0	0	0.015166874	0	0	-0.0080889994	0.0080889994	-1	eye2
Pericyte	3	4	0.02936629	0.011816781	0	0	0.03808501	0.022156464	0.051868647	0	0.017549509	0.017549509	-1	eye1
B cell	2	2	0	0.035104659	0	0.035104659	0	0.047749022	0	0.054570311	-0.035104659	0.035104659	-1	eye2
fibroblast	10	15	0.024100451	0.030731227	0.018790348	0.038951364	0.034726259	0.015129734	0.017332214	0.048561505	-0.0066307755	0.0066307755	-1	eye2
