cluster	score	cell_type	markers
0	0.01708246	astrocyte	SLC1A3,SOX9
1	0.018256238	astrocyte	SLC1A3,SOX9
2	0.016511295	astrocyte	SLC1A3,SOX9
3	0.015179909	astrocyte	SLC1A3,SOX9
4	0.020379331	astrocyte	SLC1A3,SOX9
5	0.016338432	astrocyte	SLC1A3,SOX9
6	0.019351795	astrocyte	SLC1A3,SOX9
7	0.016502412	astrocyte	SLC1A3,SOX9
8	0.9870455	astrocyte	SLC1A3,SOX9
9	0.015457353	astrocyte	SLC1A3,SOX9
10	0.020066652	astrocyte	SLC1A3,SOX9
11	0.017655183	astrocyte	SLC1A3,SOX9
12	0.017306557	astrocyte	SLC1A3,SOX9
13	0.08225977	astrocyte	SLC1A3,SOX9
14	0.009311457	astrocyte	SLC1A3,SOX9
15	0.03334296	astrocyte	SLC1A3,SOX9
16	0.02017065	astrocyte	SLC1A3,SOX9
17	0.007983921	astrocyte	SLC1A3,SOX9
18	0.016762653	astrocyte	SLC1A3,SOX9
19	0.13573967	astrocyte	SLC1A3,SOX9
20	0.0053645493	astrocyte	SLC1A3,SOX9
21	0.0063994606	astrocyte	SLC1A3,SOX9
22	0.032818962	astrocyte	SLC1A3,SOX9
23	0.019415213	astrocyte	SLC1A3,SOX9
24	0.0	astrocyte	SLC1A3,SOX9
25	0.0099128485	astrocyte	SLC1A3,SOX9
0	0.0054303836	microglial cell	C1QB,C1QC
1	0.0077861105	microglial cell	C1QB,C1QC
2	0.0046892357	microglial cell	C1QB,C1QC
3	0.0054437094	microglial cell	C1QB,C1QC
4	0.0030701486	microglial cell	C1QB,C1QC
5	0.005948379	microglial cell	C1QB,C1QC
6	0.0056527965	microglial cell	C1QB,C1QC
7	0.004328391	microglial cell	C1QB,C1QC
8	0.009338263	microglial cell	C1QB,C1QC
9	0.0022982073	microglial cell	C1QB,C1QC
10	0.0073773195	microglial cell	C1QB,C1QC
11	0.004586829	microglial cell	C1QB,C1QC
12	0.0	microglial cell	C1QB,C1QC
13	0.0048194816	microglial cell	C1QB,C1QC
14	0.0017988023	microglial cell	C1QB,C1QC
15	0.0	microglial cell	C1QB,C1QC
16	0.0	microglial cell	C1QB,C1QC
17	0.0	microglial cell	C1QB,C1QC
18	0.0	microglial cell	C1QB,C1QC
19	0.004298868	microglial cell	C1QB,C1QC
20	0.0030182106	microglial cell	C1QB,C1QC
21	0.006443914	microglial cell	C1QB,C1QC
22	0.012216157	microglial cell	C1QB,C1QC
23	0.002205955	microglial cell	C1QB,C1QC
24	0.007088856	microglial cell	C1QB,C1QC
25	0.0	microglial cell	C1QB,C1QC
0	0.0647598	RPE cell	RLBP1,TTR
1	0.05636974	RPE cell	RLBP1,TTR
2	0.06431694	RPE cell	RLBP1,TTR
3	0.056047425	RPE cell	RLBP1,TTR
4	0.05027044	RPE cell	RLBP1,TTR
5	0.0689373	RPE cell	RLBP1,TTR
6	0.044385754	RPE cell	RLBP1,TTR
7	0.06447003	RPE cell	RLBP1,TTR
8	0.66315556	RPE cell	RLBP1,TTR
9	0.6344812	RPE cell	RLBP1,TTR
10	0.073663935	RPE cell	RLBP1,TTR
11	0.06146249	RPE cell	RLBP1,TTR
12	0.034677763	RPE cell	RLBP1,TTR
13	0.05074648	RPE cell	RLBP1,TTR
14	0.20411979	RPE cell	RLBP1,TTR
15	0.035235446	RPE cell	RLBP1,TTR
16	0.0731208	RPE cell	RLBP1,TTR
17	0.06509022	RPE cell	RLBP1,TTR
18	0.039520632	RPE cell	RLBP1,TTR
19	0.15461026	RPE cell	RLBP1,TTR
20	0.98883545	RPE cell	RLBP1,TTR
21	0.024820432	RPE cell	RLBP1,TTR
22	0.074910976	RPE cell	RLBP1,TTR
23	0.4420947	RPE cell	RLBP1,TTR
24	0.042621844	RPE cell	RLBP1,TTR
25	0.026334291	RPE cell	RLBP1,TTR
0	0.09869202	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
1	0.08615928	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
2	0.090750046	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
3	0.09528316	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
4	0.07989275	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
5	0.08705704	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
6	0.09144245	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
7	0.0913235	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
8	0.09994299	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
9	1.3784994	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
10	0.09400254	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
11	0.1053615	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
12	0.05235567	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
13	0.07587964	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
