cluster	cells	eye1	eye2	cell_type	second_type	top_score	margin
0	3268	2300	968	rod cell	T cells	0.457016212097858	0.463735481044871
1	3099	1494	1605	rod cell	T cells	0.403386479332249	0.412002972117034
10	270	134	136	horizontal cell	muller glia cell	1.19565568604448	0.692252203864124
11	230	106	124	horizontal cell	RGC	2.86540741084458	2.63286699513862
12	181	73	108	bipolar cell	horizontal cell	1.38925748792239	1.32748597609226
13	169	83	86	bipolar cell	horizontal cell	1.37093930371617	1.23393758068417
14	168	79	89	horizontal cell	RGC	0.160706890184157	0.00364458297853951
15	167	95	72	horizontal cell	muller glia cell	0.977003795606096	0.812111076372962
16	156	85	71	bipolar cell	horizontal cell	1.45908023663481	1.21075841149685
17	148	71	77	horizontal cell	endothelial cell	0.663652749690111	0.547220676094947
18	145	65	80	rod cell	T cells	0.340021093048359	0.336543398801454
19	129	63	66	rod cell	B cell	0.331075660957485	0.337020074091443
2	2993	934	2059	rod cell	T cells	0.323659685740162	0.332173568946485
20	125	53	72	rod cell	B cell	0.405314056141647	0.410636722036587
21	111	49	62	bipolar cell	macrophage	0.598013269426434	0.446703746513386
22	108	43	65	rod cell	RPE cell	0.359088961561498	0.348651127905178
23	108	43	65	horizontal cell	fibroblast	0.297522181077545	0.116937566518368
24	103	51	52	horizontal cell	muller glia cell	0.784010745590465	0.429406768257625
25	102	64	38	rod cell	T cells	0.090851441882445	0.107968334416417
26	101	53	48	rod cell	T cells	0.44282984254705	0.425559537034519
27	90	39	51	horizontal cell	fibroblast	0.519685233442754	0.483199938853949
28	76	34	42	rod cell	T cells	0.378045661551434	0.380050085858852
29	62	33	29	fibroblast	RGC	0.86159593124484	0.276168393302061
3	1396	238	1158	rod cell	B cell	0.222270866181419	0.230791521466377
30	57	27	30	bipolar cell	RPE cell	0.938169306310793	0.905863660157079
31	56	27	29	bipolar cell	horizontal cell	1.55512468082714	1.48702548784972
32	50	32	18	rod cell	Schwann cell	0.395225688884646	0.377231817544945
33	39	16	23	cone cell	microglial cell	3.01986659680468	2.93680538985368
34	22	13	9	rod cell	Schwann cell	0.356098839621826	0.35768661348154
4	1320	765	555	rod cell	astrocyte	0.415585918977089	0.410190905864962
5	943	495	448	muller glia cell	astrocyte	1.86507579463547	1.16200166026112
6	669	306	363	cone cell	macrophage	2.62414314318357	2.22575884876036
7	655	383	272	bipolar cell	horizontal cell	1.89036848972614	1.60278582255091
8	395	178	217	bipolar cell	astrocyte	0.311822270393033	0.208123732364932
9	290	122	168	bipolar cell	macrophage	0.26782976979644	0.166726588368134
