cell_type	eye	cells	median_anchor_hits	median_margin
astrocyte	eye1	133	2	0.662236940742607
astrocyte	eye2	126	2	0.803469918777788
microglial cell	eye1	2	2	0.123510166299873
microglial cell	eye2	5	2	0.727790883159354
RPE cell	eye1	35	2	0.631787195583811
RPE cell	eye2	21	2	0.874552061934489
cone cell	eye1	343	4	1.78304769836325
cone cell	eye2	412	4	1.91764393141727
rod cell	eye1	3546	7	0.3600493317964
rod cell	eye2	3272	7	0.322579141594669
horizontal cell	eye1	279	2	1.24586183717536
horizontal cell	eye2	268	3	1.22124936847439
bipolar cell	eye1	1028	4	0.708776161339446
bipolar cell	eye2	951	3	0.645182262076981
RGC	eye1	50	2	0.800997377682844
RGC	eye2	59	2	0.675955779994668
T cells	eye1	6	2	0.678195583145699
T cells	eye2	3	2	0.564786276700948
macrophage	eye1	48	2	0.254876288703653
macrophage	eye2	66	2	0.442179634647826
Schwann cell	eye1	9	2	0.602125143424507
Schwann cell	eye2	5	2	1.830181304428
Pericyte	eye1	17	2	0.191415239142354
Pericyte	eye2	21	2	0.740085062572489
B cell	eye1	0	NA	NA
B cell	eye2	0	NA	NA
fibroblast	eye1	17	2	0.45239317682897
fibroblast	eye2	15	2	0.681250849898895
muller glia cell	eye1	534	3	0.547860252192116
muller glia cell	eye2	535	3	0.622793101371541
endothelial cell	eye1	3	2	1.2713007556202
endothelial cell	eye2	2	2	0.879874313302063
