metric	value
r1_reads	644838
unique_barcodes	500
human_paf_alignments	178066
human_unique_mapped_reads	172289
human_read_winners	59520
human_strict_read_winners	48231
human_cells_all_evidence	50
human_cells_strict_with_fallback	50
mouse_paf_alignments	259751
mouse_unique_mapped_reads	257110
mouse_read_winners	210685
mouse_strict_read_winners	187345
mouse_cells_all_evidence	150
mouse_cells_strict_with_fallback	150
pig_paf_alignments	389914
pig_unique_mapped_reads	384395
pig_read_winners	319174
pig_strict_read_winners	244022
pig_cells_all_evidence	300
pig_cells_strict_with_fallback	300
ambiguous_read_ties	7743
unmapped_reads	47716
strict_unassigned_reads	117524
unresolved_cell_ties	0
strict_fallback_cells	0
all_evidence_answer	10;30;60
strict_with_fallback_answer	10;30;60
assignment_rule	majority of per-read best nmatch; cell ties use summed nmatch
strict_rule	nmatch>=50, aligned query span>=50, identity>=0.85; fallback to all-evidence cell assignment
rounding_rule	largest-remainder rounding to 10-percent units, constrained to sum to 100
