species	rank	gene_id	gene_symbol	sum_umi
human	1	ENSG00000244734	HBB	52417
human	2	ENSG00000188536	HBA2	35672.6
human	3	ENSG00000206172	HBA1	18979.4
human	4	ENSG00000223609	HBD	245
human	5	ENSG00000170315	UBB	244
human	6	ENSG00000087086	FTL	182
human	7	ENSG00000165949	IFI27	147
human	8	ENSG00000163220	S100A9	108
human	9	ENSG00000133112	TPT1	98
human	10	ENSG00000166710	B2M	87
human	11	ENSG00000169877	AHSP	87
human	12	ENSG00000221983	UBA52	80
human	13	ENSG00000013306	SLC25A39	79
human	14	ENSG00000090382	LYZ	78
human	15	ENSG00000112306	RPS12	74.5
human	16	ENSG00000075624	ACTB	71
human	17	ENSG00000158578	ALAS2	69
human	18	ENSG00000140264	SERF2	67
human	19	ENSG00000133742	CA1	66
human	20	ENSG00000104904	OAZ1	65
human	21	ENSG00000229117	RPL41	62
human	22	ENSG00000143546	S100A8	60
human	23	ENSG00000147454	SLC25A37	58
human	24	ENSG00000104765	BNIP3L	56
human	25	ENSG00000205542	TMSB4X	53
human	26	ENSG00000206177	HBM	53
human	27	ENSG00000124172	ATP5F1E	50
human	28	ENSG00000105701	FKBP8	50
human	29	ENSG00000167996	FTH1	48.4903
human	30	ENSG00000198938	MT-CO3	46
human	31	ENSG00000233276	GPX1	44.3333
human	32	ENSG00000290318	ENSG00000290318	44.3333
human	33	ENSG00000145335	SNCA	44
human	34	ENSG00000060138	YBX3	42
human	35	ENSG00000182512	GLRX5	42
human	36	ENSG00000159346	ADIPOR1	41
human	37	ENSG00000198899	MT-ATP6	37.5
human	38	ENSG00000198804	MT-CO1	36
human	39	ENSG00000198712	MT-CO2	34
human	40	ENSG00000137198	GMPR	34
human	41	ENSG00000137818	RPLP1	33.5
human	42	ENSG00000173812	EIF1	33
human	43	ENSG00000090013	BLVRB	31
human	44	ENSG00000156508	EEF1A1	30
human	45	ENSG00000172270	BSG	30
human	46	ENSG00000172331	BPGM	30
human	47	ENSG00000144713	RPL32	29
human	48	ENSG00000147403	RPL10	28.8333
human	49	ENSG00000156482	RPL30	28
human	50	ENSG00000143774	GUK1	28
human	51	ENSG00000145741	BTF3	27
human	52	ENSG00000125148	MT2A	27
human	53	ENSG00000167526	RPL13	25.5
human	54	ENSG00000198888	MT-ND1	25.5
human	55	ENSG00000124098	FAM210B	25
human	56	ENSG00000196154	S100A4	24
human	57	ENSG00000177606	JUN	23
human	58	ENSG00000182899	RPL35A	23
human	59	ENSG00000266412	NCOA4	23
human	60	ENSG00000167995	BEST1	22.5097
human	61	ENSG00000142669	SH3BGRL3	22.5
human	62	ENSG00000138326	RPS24	22.3333
human	63	ENSG00000187837	H1-2	22
human	64	ENSG00000177600	RPLP2	22
human	65	ENSG00000131981	LGALS3	22
human	66	ENSG00000109475	RPL34	21.5
human	67	ENSG00000034510	TMSB10	21
human	68	ENSG00000206503	HLA-A	21
human	69	ENSG00000130522	JUND	21
human	70	ENSG00000198886	MT-ND4	21
human	71	ENSG00000100225	FBXO7	21
human	72	ENSG00000198918	RPL39	20.3333
human	73	ENSG00000134419	RPS15A	20
human	74	ENSG00000136732	GYPC	20
human	75	ENSG00000142676	RPL11	19
human	76	ENSG00000197956	S100A6	19
human	77	ENSG00000110700	RPS13	19
human	78	ENSG00000150867	PIP4K2A	19
human	79	ENSG00000198763	MT-ND2	19
human	80	ENSG00000198727	MT-CYB	19
human	81	ENSG00000198876	DCAF12	19
human	82	ENSG00000022840	RNF10	19
human	83	ENSG00000183508	TENT5C	19
human	84	ENSG00000177954	RPS27	18.25
human	85	ENSG00000085265	FCN1	18
human	86	ENSG00000107262	BAG1	18
human	87	ENSG00000177156	TALDO1	18
human	88	ENSG00000198840	MT-ND3	18
human	89	ENSG00000103342	GSPT1	18
human	90	ENSG00000105640	RPL18A	17.6568
human	91	ENSG00000112335	SNX3	17
human	92	ENSG00000161016	RPL8	17
human	93	ENSG00000092841	MYL6	17
human	94	ENSG00000198692	EIF1AY	17
human	95	ENSG00000231500	RPS18	16.5
human	96	ENSG00000142534	RPS11	16
human	97	ENSG00000167815	PRDX2	16
human	98	ENSG00000130830	MPP1	16
human	99	ENSG00000171863	RPS7	15.8333
human	100	ENSG00000065978	YBX1	15.5
human	101	ENSG00000170345	FOS	15.5
human	102	ENSG00000113811	SELENOK	15
human	103	ENSG00000107521	HPS1	15
human	104	ENSG00000132819	RBM38	15
human	105	ENSG00000149806	FAU	14.5
human	106	ENSG00000140988	RPS2	14.45
human	107	ENSG00000162244	RPL29	14
human	108	ENSG00000197958	RPL12	14
human	109	ENSG00000108107	RPL28	14
human	110	ENSG00000228474	OST4	14
human	111	ENSG00000034713	GABARAPL2	14
human	112	ENSG00000140941	MAP1LC3B	14
human	113	ENSG00000260272	ENSG00000260272	13.5
human	114	ENSG00000185883	ATP6V0C	13.5
human	115	ENSG00000124614	RPS10	13.5
human	116	ENSG00000198242	RPL23A	13.25
human	117	ENSG00000164587	RPS14	13
human	118	ENSG00000149273	RPS3	13
human	119	ENSG00000196531	NACA	13
human	120	ENSG00000214253	FIS1	13
human	121	ENSG00000197756	RPL37A	12
human	122	ENSG00000114391	RPL24	12
human	123	ENSG00000114784	EIF1B	12
human	124	ENSG00000145592	RPL37	12
human	125	ENSG00000234745	HLA-B	12
human	126	ENSG00000105835	NAMPT	12
human	127	ENSG00000026025	VIM	12
human	128	ENSG00000123349	PFDN5	12
human	129	ENSG00000105372	RPS19	12
human	130	ENSG00000119950	MXI1	12
human	131	ENSG00000057757	PITHD1	12
human	132	ENSG00000082146	STRADB	12
human	133	ENSG00000163736	PPBP	12
human	134	ENSG00000161970	RPL26	11.8333
human	135	ENSG00000148303	RPL7A	11.5
human	136	ENSG00000163041	H3-3A	11
human	137	ENSG00000197747	S100A10	11
human	138	ENSG00000122862	SRGN	11
human	139	ENSG00000111640	GAPDH	11
human	140	ENSG00000115268	RPS15	11
human	141	ENSG00000158828	PINK1	11
human	142	ENSG00000123240	OPTN	11
human	143	ENSG00000108298	RPL19	10.7778
human	144	ENSG00000118181	RPS25	10.6667
human	145	ENSG00000100387	RBX1	10.5
human	146	ENSG00000159023	EPB41	10
human	147	ENSG00000019582	CD74	10
human	148	ENSG00000136810	TXN	10
human	149	ENSG00000088986	DYNLL1	10
human	150	ENSG00000089009	RPL6	10
human	151	ENSG00000051523	CYBA	10
human	152	ENSG00000087460	GNAS	10
human	153	ENSG00000170889	RPS9	10
human	154	ENSG00000136929	HEMGN	10
human	155	ENSG00000118816	CCNI	10
human	156	ENSG00000166946	CCNDBP1	10
human	157	ENSG00000171552	BCL2L1	10
human	158	ENSG00000220842	RPL21P16	9.02897
human	159	ENSG00000122026	RPL21	9.02897
human	160	ENSG00000163131	CTSS	9
human	161	ENSG00000163563	MNDA	9
human	162	ENSG00000109332	UBE2D3	9
human	163	ENSG00000120129	DUSP1	9
human	164	ENSG00000136942	RPL35	9
human	165	ENSG00000111790	FGFR1OP2	9
human	166	ENSG00000132475	H3-3B	9
human	167	ENSG00000170296	GABARAP	9
human	168	ENSG00000262526	ENSG00000262526	9
human	169	ENSG00000166947	EPB42	9
human	170	ENSG00000213639	PPP1CB	9
human	171	ENSG00000136819	C9orf78	9
human	172	ENSG00000113558	SKP1	8.5
human	173	ENSG00000167283	ATP5MG	8.5
human	174	ENSG00000142937	RPS8	8
human	175	ENSG00000143384	MCL1	8
human	176	ENSG00000008952	SEC62	8
human	177	ENSG00000198755	RPL10A	8
human	178	ENSG00000137193	PIM1	8
human	179	ENSG00000186591	UBE2H	8
human	180	ENSG00000130066	SAT1	8
human	181	ENSG00000070756	PABPC1	8
human	182	ENSG00000188229	TUBB4B	8
human	183	ENSG00000137154	RPS6	8
human	184	ENSG00000100906	NFKBIA	8
human	185	ENSG00000174444	RPL4	8
human	186	ENSG00000103363	ELOB	8
human	187	ENSG00000063177	RPL18	8
human	188	ENSG00000171223	JUNB	8
human	189	ENSG00000178982	EIF3K	8
human	190	ENSG00000099785	MARCHF2	8
human	191	ENSG00000130255	RPL36	8
human	192	ENSG00000126267	COX6B1	8
human	193	ENSG00000166848	TERF2IP	8
human	194	ENSG00000243064	ABCC13	8
human	195	ENSG00000162722	TRIM58	8
human	196	ENSG00000104903	LYL1	8
human	197	ENSG00000034152	MAP2K3	8
human	198	ENSG00000163682	RPL9	7.86667
human	199	ENSG00000215472	RPL17-C18orf32	7.74999
human	200	ENSG00000219200	RNASEK	7.5
human	201	ENSG00000272772	ENSG00000272772	7.5
human	202	ENSG00000174748	RPL15	7.33333
human	203	ENSG00000186468	RPS23	7.33333
human	204	ENSG00000100664	EIF5	7.25
human	205	ENSG00000126709	IFI6	7
human	206	ENSG00000161203	AP2M1	7
human	207	ENSG00000204592	HLA-E	7
human	208	ENSG00000204525	HLA-C	7
human	209	ENSG00000131171	SH3BGRL	7
human	210	ENSG00000131174	COX7B	7
human	211	ENSG00000008988	RPS20	7
human	212	ENSG00000147677	EIF3H	7
human	213	ENSG00000136938	ANP32B	7
human	214	ENSG00000197746	PSAP	7
human	215	ENSG00000111229	ARPC3	7
human	216	ENSG00000092010	PSME1	7
human	217	ENSG00000213741	RPS29	7
human	218	ENSG00000090238	YPEL3	7
human	219	ENSG00000172809	RPL38	7
human	220	ENSG00000030582	GRN	7
human	221	ENSG00000101439	CST3	7
human	222	ENSG00000011600	TYROBP	7
human	223	ENSG00000127540	UQCR11	7
human	224	ENSG00000167468	GPX4	7
human	225	ENSG00000100097	LGALS1	7
human	226	ENSG00000198786	MT-ND5	7
human	227	ENSG00000125818	PSMF1	7
human	228	ENSG00000119326	CTNNAL1	7
human	229	ENSG00000076043	REXO2	7
human	230	ENSG00000173598	NUDT4	7
human	231	ENSG00000260549	MT1L	7
human	232	ENSG00000133193	VCF1	7
human	233	ENSG00000198858	R3HDM4	7
human	234	ENSG00000162366	PDZK1IP1	7
human	235	ENSG00000133606	MKRN1	7
human	236	ENSG00000102575	ACP5	7
human	237	ENSG00000143416	SELENBP1	7
human	238	ENSG00000101782	RIOK3	7
human	239	ENSG00000197006	METTL9	7
human	240	ENSG00000142541	RPL13A	6.75
human	241	ENSG00000102879	CORO1A	6.5
human	242	ENSG00000233927	RPS28	6.5
human	243	ENSG00000179262	RAD23A	6.5
human	244	ENSG00000187608	ISG15	6
human	245	ENSG00000122406	RPL5	6
human	246	ENSG00000143761	ARF1	6
human	247	ENSG00000143162	CREG1	6
human	248	ENSG00000116251	RPL22	6
human	249	ENSG00000173660	UQCRH	6
human	250	ENSG00000115738	ID2	6
human	251	ENSG00000143933	CALM2	6
human	252	ENSG00000125037	EMC3	6
human	253	ENSG00000198034	RPS4X	6
human	254	ENSG00000104529	EEF1D	6
human	255	ENSG00000149357	LAMTOR1	6
human	256	ENSG00000166441	RPL27A	6
human	257	ENSG00000180628	PCGF5	6
human	258	ENSG00000150991	UBC	6
human	259	ENSG00000181350	LRRC75A	6
human	260	ENSG00000131469	RPL27	6
human	261	ENSG00000185262	UBALD2	6
human	262	ENSG00000125691	RPL23	6
human	263	ENSG00000198900	TOP1	6
human	264	ENSG00000198258	UBL5	6
human	265	ENSG00000167658	EEF2	6
human	266	ENSG00000160888	IER2	6
human	267	ENSG00000100300	TSPO	6
human	268	ENSG00000128739	SNRPN	6
human	269	ENSG00000148908	RGS10	6
human	270	ENSG00000136003	ISCU	6
human	271	ENSG00000063854	HAGH	6
human	272	ENSG00000177144	NUDT4B	6
human	273	ENSG00000146007	ZMAT2	6
human	274	ENSG00000158856	DMTN	6
human	275	ENSG00000135070	ISCA1	6
human	276	ENSG00000204010	IFIT1B	6
human	277	ENSG00000167768	KRT1	6
human	278	ENSG00000132507	EIF5A	6
human	279	ENSG00000104522	GFUS	6
human	280	ENSG00000137267	TUBB2A	6
human	281	ENSG00000236552	RPL13AP5	5.75
human	282	ENSG00000204628	RACK1	5.66667
human	283	ENSG00000100380	ST13	5.33333
human	284	ENSG00000147604	RPL7	5.2
human	285	ENSG00000134248	LAMTOR5	5
human	286	ENSG00000162825	NBPF20	5
human	287	ENSG00000116209	TMEM59	5
human	288	ENSG00000117592	PRDX6	5
human	289	ENSG00000071082	RPL31	5
human	290	ENSG00000187514	PTMA	5
human	291	ENSG00000188846	RPL14	5
human	292	ENSG00000124882	EREG	5
human	293	ENSG00000038427	VCAN	5
human	294	ENSG00000127184	COX7C	5
human	295	ENSG00000204287	HLA-DRA	5
human	296	ENSG00000096384	HSP90AB1	5
human	297	ENSG00000172354	GNB2	5
human	298	ENSG00000221869	CEBPD	5
human	299	ENSG00000136826	KLF4	5
human	300	ENSG00000135046	ANXA1	5
human	301	ENSG00000172757	CFL1	5
human	302	ENSG00000110958	PTGES3	5
human	303	ENSG00000167552	TUBA1A	5
human	304	ENSG00000108654	DDX5	5
human	305	ENSG00000184009	ACTG1	5
human	306	ENSG00000171858	RPS21	5
human	307	ENSG00000101160	CTSZ	5
human	308	ENSG00000131051	RBM39	5
human	309	ENSG00000143727	ACP1	5
human	310	ENSG00000123933	MXD4	5
human	311	ENSG00000211584	SLC48A1	5
human	312	ENSG00000184792	OSBP2	5
human	313	ENSG00000120727	PAIP2	5
human	314	ENSG00000243317	STMP1	5
human	315	ENSG00000126432	PRDX5	5
human	316	ENSG00000134779	TPGS2	5
human	317	ENSG00000105610	KLF1	5
human	318	ENSG00000043093	DCUN1D1	5
human	319	ENSG00000196998	WDR45	5
human	320	ENSG00000175567	UCP2	5
human	321	ENSG00000133069	TMCC2	5
human	322	ENSG00000170515	PA2G4	5
human	323	ENSG00000181788	SIAH2	5
human	324	ENSG00000105402	NAPA	5
human	325	ENSG00000163737	PF4	4.99998
human	326	ENSG00000241343	RPL36A	4.58333
human	327	ENSG00000257529	RPL36A-HNRNPH2	4.58333
human	328	ENSG00000244398	RPL36AP37	4.58333
human	329	ENSG00000103148	NPRL3	4.5
human	330	ENSG00000100316	RPL3	4.5
human	331	ENSG00000137970	RPL7P9	4.2
human	332	ENSG00000158869	FCER1G	4
human	333	ENSG00000184007	PTP4A2	4
human	334	ENSG00000163221	S100A12	4
human	335	ENSG00000162511	LAPTM5	4
human	336	ENSG00000143947	RPS27A	4
human	337	ENSG00000059728	MXD1	4
human	338	ENSG00000119878	CRIPT	4
human	339	ENSG00000136527	TRA2B	4
human	340	ENSG00000169429	CXCL8	4
human	341	ENSG00000145287	PLAC8	4
human	342	ENSG00000113732	ATP6V0E1	4
human	343	ENSG00000170458	CD14	4
human	344	ENSG00000120708	TGFBI	4
human	345	ENSG00000021355	SERPINB1	4
human	346	ENSG00000213719	CLIC1	4
human	347	ENSG00000196126	HLA-DRB1	4
human	348	ENSG00000164442	CITED2	4
human	349	ENSG00000164713	BRI3	4
human	350	ENSG00000106052	TAX1BP1	4
human	351	ENSG00000196924	FLNA	4
human	352	ENSG00000164733	CTSB	4
human	353	ENSG00000156587	UBE2L6	4
human	354	ENSG00000084207	GSTP1	4
human	355	ENSG00000166295	ANAPC16	4
human	356	ENSG00000139644	TMBIM6	4
human	357	ENSG00000123358	NR4A1	4
human	358	ENSG00000197111	PCBP2	4
human	359	ENSG00000089157	RPLP0	4
human	360	ENSG00000100614	PPM1A	4
human	361	ENSG00000140319	SRP14	4
human	362	ENSG00000140416	TPM1	4
human	363	ENSG00000103187	COTL1	4
human	364	ENSG00000217555	CKLF	4
human	365	ENSG00000177885	GRB2	4
human	366	ENSG00000108518	PFN1	4
human	367	ENSG00000118680	MYL12B	4
human	368	ENSG00000101182	PSMA7	4
human	369	ENSG00000172216	CEBPB	4
human	370	ENSG00000105193	RPS16	4
human	371	ENSG00000126934	MAP2K2	4
human	372	ENSG00000076662	ICAM3	4
human	373	ENSG00000125740	FOSB	4
human	374	ENSG00000105281	SLC1A5	4
human	375	ENSG00000128016	ZFP36	4
human	376	ENSG00000160255	ITGB2	4
human	377	ENSG00000145354	CISD2	4
human	378	ENSG00000088992	TESC	4
human	379	ENSG00000101577	LPIN2	4
human	380	ENSG00000168159	RNF187	4
human	381	ENSG00000166685	COG1	4
human	382	ENSG00000135821	GLUL	4
human	383	ENSG00000168785	TSPAN5	4
human	384	ENSG00000170540	ARL6IP1	4
human	385	ENSG00000244687	UBE2V1	4
human	386	ENSG00000165678	GHITM	4
human	387	ENSG00000167671	UBXN6	4
human	388	ENSG00000122644	ARL4A	4
human	389	ENSG00000115649	CNPPD1	4
human	390	ENSG00000130429	ARPC1B	3.5
human	391	ENSG00000153814	JAZF1	3.5
human	392	ENSG00000054118	THRAP3	3.5
human	393	ENSG00000111666	CHPT1	3.5
human	394	ENSG00000126005	MMP24OS	3.5
human	395	ENSG00000010404	IDS	3.5
human	396	ENSG00000213860	RPL21P75	3.32897
human	397	ENSG00000145425	RPS3A	3.25
human	398	ENSG00000220793	RPL21P119	3.1623
human	399	ENSG00000143158	MPC2	3
human	400	ENSG00000131238	PPT1	3
human	401	ENSG00000162783	IER5	3
human	402	ENSG00000163191	S100A11	3
human	403	ENSG00000162704	ARPC5	3
human	404	ENSG00000116473	RAP1A	3
human	405	ENSG00000174021	GNG5	3
human	406	ENSG00000159388	BTG2	3
human	407	ENSG00000081237	PTPRC	3
human	408	ENSG00000125538	IL1B	3
human	409	ENSG00000170035	UBE2E3	3
human	410	ENSG00000169714	CNBP	3
human	411	ENSG00000163660	CCNL1	3
human	412	ENSG00000184897	H1-10	3
human	413	ENSG00000120742	SERP1	3
human	414	ENSG00000113648	MACROH2A1	3
human	415	ENSG00000310517	CAST	3
human	416	ENSG00000113387	SUB1	3
human	417	ENSG00000124766	SOX4	3
human	418	ENSG00000204472	AIF1	3
human	419	ENSG00000137161	CNPY3	3
human	420	ENSG00000241468	ATP5MF	3
human	421	ENSG00000122545	SEPTIN7	3
human	422	ENSG00000125356	NDUFA1	3
human	423	ENSG00000101882	NKAP	3
human	424	ENSG00000133872	SARAF	3
human	425	ENSG00000156467	UQCRB	3
human	426	ENSG00000178719	GRINA	3
human	427	ENSG00000164919	COX6C	3
human	428	ENSG00000147533	GOLGA7	3
human	429	ENSG00000187735	TCEA1	3
human	430	ENSG00000137575	SDCBP	3
human	431	ENSG00000122694	GLIPR2	3
human	432	ENSG00000136840	ST6GALNAC4	3
human	433	ENSG00000135365	PHF21A	3
human	434	ENSG00000139637	MYG1	3
human	435	ENSG00000132341	RAN	3
human	436	ENSG00000059804	SLC2A3	3
human	437	ENSG00000134294	SLC38A2	3
human	438	ENSG00000136156	ITM2B	3
human	439	ENSG00000136167	LCP1	3
human	440	ENSG00000102760	RGCC	3
human	441	ENSG00000150459	SAP18	3
human	442	ENSG00000198668	CALM1	3
human	443	ENSG00000156411	ATP5MJ	3
human	444	ENSG00000180304	OAZ2	3
human	445	ENSG00000140990	NDUFB10	3
human	446	ENSG00000129226	CD68	3
human	447	ENSG00000170043	TRAPPC1	3
human	448	ENSG00000141480	ARRB2	3
human	449	ENSG00000132205	EMILIN2	3
human	450	ENSG00000022277	RTF2	3
human	451	ENSG00000160014	CALM3	3
human	452	ENSG00000129968	ABHD17A	3
human	453	ENSG00000105669	COPE	3
human	454	ENSG00000125753	VASP	3
human	455	ENSG00000104805	NUCB1	3
human	456	ENSG00000127528	KLF2	3
human	457	ENSG00000138867	GUCD1	3
human	458	ENSG00000120306	CYSTM1	3
human	459	ENSG00000106153	CHCHD2	3
human	460	ENSG00000175348	TMEM9B	3
human	461	ENSG00000133816	MICAL2	3
human	462	ENSG00000198336	MYL4	3
human	463	ENSG00000268433	MTDHP3	3
human	464	ENSG00000099804	CDC34	3
human	465	ENSG00000117410	ATP6V0B	3
human	466	ENSG00000169564	PCBP1	3
human	467	ENSG00000127824	TUBA4A	3
human	468	ENSG00000187699	C2orf88	3
human	469	ENSG00000112078	KCTD20	3
human	470	ENSG00000197324	LRP10	3
human	471	ENSG00000158195	WASF2	3
human	472	ENSG00000146278	PNRC1	3
human	473	ENSG00000148175	STOM	3
human	474	ENSG00000110955	ATP5F1B	3
human	475	ENSG00000123405	NFE2	3
human	476	ENSG00000246705	H2AJ	3
human	477	ENSG00000066926	FECH	3
human	478	ENSG00000142168	SOD1	3
human	479	ENSG00000168374	ARF4	3
human	480	ENSG00000124208	PEDS1-UBE2V1	3
human	481	ENSG00000179218	CALR	3
human	482	ENSG00000170180	GYPA	3
human	483	ENSG00000159335	PTMS	3
human	484	ENSG00000004939	SLC4A1	3
human	485	ENSG00000009307	CSDE1	3
human	486	ENSG00000141867	BRD4	3
human	487	ENSG00000158850	B4GALT3	3
human	488	ENSG00000233762	RPS15P4	3
human	489	ENSG00000112146	FBXO9	3
human	490	ENSG00000060237	WNK1	3
human	491	ENSG00000165406	MARCHF8	3
human	492	ENSG00000083845	RPS5	3
human	493	ENSG00000105393	BABAM1	3
human	494	ENSG00000112308	C6orf62	3
human	495	ENSG00000103257	SLC7A5	3
human	496	ENSG00000132471	WBP2	3
human	497	ENSG00000125534	PPDPF	3
human	498	ENSG00000167244	IGF2	3
human	499	ENSG00000147689	FAM83A	3
human	500	ENSG00000171456	ASXL1	3
mouse	1	ENSMUSG00000024653	Scgb1a1	18594
mouse	2	ENSMUSG00000064351	mt-Co1	2487.36
mouse	3	ENSMUSG00000064357	mt-Atp6	2204.39
mouse	4	ENSMUSG00000064358	mt-Co3	2174.19
mouse	5	ENSMUSG00000064370	mt-Cytb	2040
mouse	6	ENSMUSG00000100862	Atp6-ps	1977.61
mouse	7	ENSMUSG00000062825	Actg1	1710.33
mouse	8	ENSMUSG00000101111	Gm28437	1698.81
mouse	9	ENSMUSG00000016559	H3f3b	1553.67
mouse	10	ENSMUSG00000064354	mt-Co2	1469.27
mouse	11	ENSMUSG00000064363	mt-Nd4	1301
mouse	12	ENSMUSG00000102070	Gm28661	1288.73
mouse	13	ENSMUSG00000064345	mt-Nd2	1246
mouse	14	ENSMUSG00000030342	Cd9	1220
mouse	15	ENSMUSG00000022097	Sftpc	1171
mouse	16	ENSMUSG00000060126	Tpt1	1121.93
mouse	17	ENSMUSG00000029580	Actb	1099.97
mouse	18	ENSMUSG00000023043	Krt18	1061
mouse	19	ENSMUSG00000024661	Fth1	985.5
mouse	20	ENSMUSG00000030669	Calca	971
mouse	21	ENSMUSG00000033061	Resp18	836
mouse	22	ENSMUSG00000037742	Eef1a1	832
mouse	23	ENSMUSG00000049775	Tmsb4x	805
mouse	24	ENSMUSG00000008348	Ubc	784
mouse	25	ENSMUSG00000019505	Ubb	778.629
mouse	26	ENSMUSG00000007892	Rplp1	772.667
mouse	27	ENSMUSG00000064341	mt-Nd1	748
mouse	28	ENSMUSG00000025290	Rps24	740.333
mouse	29	ENSMUSG00000049382	Krt8	708
mouse	30	ENSMUSG00000035530	Eif1	690.897
mouse	31	ENSMUSG00000021250	Fos	666
mouse	32	ENSMUSG00000052684	Jun	659
mouse	33	ENSMUSG00000028081	Rps3a1	619.333
mouse	34	ENSMUSG00000020423	Btg2	610
mouse	35	ENSMUSG00000026628	Atf3	525
mouse	36	ENSMUSG00000093674	Rpl41	510
mouse	37	ENSMUSG00000067786	Nnat	509
mouse	38	ENSMUSG00000030218	Mgp	507
mouse	39	ENSMUSG00000023944	Hsp90ab1	507
mouse	40	ENSMUSG00000050708	Ftl1	496.75
mouse	41	ENSMUSG00000047675	Rps8	492.462
mouse	42	ENSMUSG00000020719	Ddx5	488.5
mouse	43	ENSMUSG00000024608	Rps14	485
mouse	44	ENSMUSG00000026238	Ptma	481
mouse	45	ENSMUSG00000071415	Rpl23	456
mouse	46	ENSMUSG00000017723	Wfdc2	453
mouse	47	ENSMUSG00000038418	Egr1	450
mouse	48	ENSMUSG00000000740	Rpl13	445.158
mouse	49	ENSMUSG00000001175	Calm1	445
mouse	50	ENSMUSG00000057841	Rpl32	441.5
mouse	51	ENSMUSG00000060938	Rpl26	419.143
mouse	52	ENSMUSG00000017404	Rpl19	414.365
mouse	53	ENSMUSG00000060636	Rpl35a	409.667
mouse	54	ENSMUSG00000071076	Jund	405
mouse	55	ENSMUSG00000046364	Rpl27a	402.148
mouse	56	ENSMUSG00000001016	Ilf2	394.246
mouse	57	ENSMUSG00000003970	Rpl8	391
mouse	58	ENSMUSG00000036103	Colec12	377.086
mouse	59	ENSMUSG00000031320	Rps4x	375.333
mouse	60	ENSMUSG00000015656	Hspa8	375.317
mouse	61	ENSMUSG00000058600	Rpl30	373.41
mouse	62	ENSMUSG00000044041	Krt13	373
mouse	63	ENSMUSG00000053560	Ier2	371
mouse	64	ENSMUSG00000041453	Rpl21	368.731
mouse	65	ENSMUSG00000045394	Epcam	351
mouse	66	ENSMUSG00000021270	Hsp90aa1	350.667
mouse	67	ENSMUSG00000030744	Rps3	346
mouse	68	ENSMUSG00000052146	Rps10	342.949
mouse	69	ENSMUSG00000059668	Krt4	335
mouse	70	ENSMUSG00000027447	Cst3	326
mouse	71	ENSMUSG00000027523	Gnas	324
mouse	72	ENSMUSG00000022108	Itm2b	322
mouse	73	ENSMUSG00000006333	Rps9	321.5
mouse	74	ENSMUSG00000028234	Rps20	321.462
mouse	75	ENSMUSG00000039001	Rps21	318
mouse	76	ENSMUSG00000008683	Rps15a	317.298
mouse	77	ENSMUSG00000000078	Klf6	317
mouse	78	ENSMUSG00000040952	Rps19	314.283
mouse	79	ENSMUSG00000060743	H3f3a	312
mouse	80	ENSMUSG00000021789	Sftpa1	306
mouse	81	ENSMUSG00000062328	Rpl17	304.694
mouse	82	ENSMUSG00000012848	Rps5	304
mouse	83	ENSMUSG00000026879	Gsn	296
mouse	84	ENSMUSG00000044533	Rps2	294.95
mouse	85	ENSMUSG00000063457	Rps15	292.333
mouse	86	ENSMUSG00000037563	Rps16	288.333
mouse	87	ENSMUSG00000070493	Chchd2	288.033
mouse	88	ENSMUSG00000052837	Junb	287.867
mouse	89	ENSMUSG00000046330	Rpl37a	287
mouse	90	ENSMUSG00000020460	Rps27a	282.832
mouse	91	ENSMUSG00000008668	Rps18	282.193
mouse	92	ENSMUSG00000043716	Rpl7	279.833
mouse	93	ENSMUSG00000003429	Rps11	272.083
mouse	94	ENSMUSG00000025508	Rplp2	271.762
mouse	95	ENSMUSG00000072235	Tuba1a	269.884
mouse	96	ENSMUSG00000071866	Ppia	269.2
mouse	97	ENSMUSG00000038274	Fau	264.997
mouse	98	ENSMUSG00000030432	Rpl28	264.749
