metric	value
read_pairs	1471997
unique_barcodes	600
r1_length_counts	28:1471997
r2_length_counts	91:1471997
R1_pos_01_bases	A:407410,C:386002,G:328260,T:350325
R1_pos_02_bases	A:334785,C:375502,G:343223,T:418487
R1_pos_03_bases	A:338998,C:440937,G:334080,T:357982
R1_pos_04_bases	A:440201,C:365851,G:373379,T:292566
R1_pos_05_bases	A:357605,C:336322,G:404134,T:373936
R1_pos_06_bases	A:397080,C:376117,G:382769,T:316031
R1_pos_07_bases	A:345019,C:336413,G:346963,T:443602
R1_pos_08_bases	A:340621,C:360571,G:395241,T:375564
R1_pos_09_bases	A:360571,C:375564,G:340621,T:395241
R1_pos_10_bases	A:373360,C:464849,G:372120,T:261668
R1_pos_11_bases	A:301242,C:383333,G:376598,T:410824
R1_pos_12_bases	A:348168,C:363022,G:355195,T:405612
R1_pos_13_bases	A:418968,C:332495,G:361699,T:358835
R1_pos_14_bases	A:430990,C:346734,G:345649,T:348624
R1_pos_15_bases	A:371567,C:381304,G:328691,T:390435
R1_pos_16_bases	A:333580,C:336846,G:337153,T:464418
R1_pos_17_bases	A:380045,C:364562,G:274193,N:2,T:453195
R1_pos_18_bases	A:369310,C:365338,G:282825,N:3,T:454521
R1_pos_19_bases	A:368241,C:365048,G:280202,N:19,T:458487
R1_pos_20_bases	A:368120,C:362492,G:276611,T:464774
R1_pos_21_bases	A:365334,C:362010,G:275528,N:26,T:469099
R1_pos_22_bases	A:366721,C:358416,G:277618,N:3,T:469239
R1_pos_23_bases	A:364639,C:351736,G:285178,N:7,T:470437
R1_pos_24_bases	A:364594,C:348941,G:293164,T:465298
R1_pos_25_bases	A:360886,C:345193,G:302640,N:7,T:463271
R1_pos_26_bases	A:357774,C:342694,G:317463,N:8,T:454058
R1_pos_27_bases	A:343284,C:334046,G:338036,N:7,T:456624
R1_pos_28_bases	A:337617,C:323887,G:332883,N:13,T:477597
