suffix	cell_count
ABC	1
ABD	1
ABE	2
ABF	1
ABH	1
ABI	1
ABJ	1
ABL	1
ABN	1
ABO	1
ABP	1
ABR	1
ABS	1
ABU	1
ABZ	1
ACD	1
ACF	1
ACL	1
ACM	3
ACN	1
ACO	1
ACP	3
ACR	1
ACU	2
ACV	2
ACW	2
ACX	1
ACY	1
ADE	2
ADH	2
ADI	1
ADL	2
ADO	1
ADT	1
ADU	1
ADV	1
ADW	1
ADZ	1
AEB	1
AEC	1
AEG	1
AEH	2
AEJ	1
AEM	1
AEN	1
AEP	2
AEQ	3
AES	1
AET	1
AEU	1
AEV	2
AEX	1
AEY	3
AFB	1
AFC	1
AFD	1
AFG	1
AFH	3
AFI	2
AFJ	1
AFM	3
AFP	1
AFQ	1
AFS	2
AFU	1
AFV	1
AFX	3
AGD	2
AGE	1
AGI	2
AGM	3
AGP	3
AGR	3
AGS	1
AGT	1
AGV	1
AGY	2
AGZ	3
AHB	1
AHC	1
AHD	2
AHG	1
AHJ	2
AHL	1
AHN	2
AHP	1
AHT	2
AHW	3
AIC	2
AID	1
AIE	1
AIL	1
AIM	2
AIN	1
AIO	1
AIP	2
AIQ	1
AIS	1
AIU	1
AIV	1
AIY	1
AIZ	1
AJH	1
AJI	1
AJL	1
AJN	1
AJO	1
AJP	3
AJQ	1
AJR	1
AJS	1
AJT	1
AJV	1
AJW	1
AJX	2
AJY	1
AJZ	2
AKB	3
AKC	1
AKD	1
AKG	1
AKI	1
AKJ	1
AKM	1
AKP	1
AKT	2
AKV	1
AKW	1
AKY	2
AKZ	2
ALB	1
ALD	1
ALE	2
ALJ	1
ALP	1
ALQ	1
ALR	3
ALT	1
ALV	2
ALX	1
AMB	1
AMC	3
AMD	2
AMF	1
AMG	1
AMH	1
AMJ	1
AML	3
AMN	1
AMP	1
AMQ	1
AMT	2
AMV	1
AMW	1
AMX	2
AMZ	1
ANB	1
AND	1
ANE	2
ANG	2
ANH	1
ANJ	1
ANM	2
ANO	1
ANP	1
ANR	1
ANS	1
ANU	1
ANW	1
ANX	1
ANZ	2
AOB	1
AOC	1
AOG	1
AOI	2
AOJ	1
AOK	1
AOM	1
AOP	1
AOQ	1
AOS	1
AOT	1
AOU	1
AOW	1
AOX	1
AOY	1
AOZ	1
APC	1
APD	2
APG	1
APH	2
API	1
APL	1
APQ	1
APS	1
APT	2
APV	1
APW	1
APX	3
APY	1
APZ	2
AQB	1
AQD	1
AQE	2
AQF	1
AQJ	1
AQK	2
AQM	1
AQN	1
AQO	1
AQP	1
AQR	2
AQS	3
AQU	2
AQY	1
ARC	1
ARI	1
ARK	1
ARL	1
ARM	1
ARN	1
ARS	1
ARU	1
ARV	1
ARW	2
ASB	2
ASE	3
ASK	3
ASL	1
ASN	1
ASQ	1
ASR	1
AST	1
ASU	1
ASY	1
