>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Sgms2	5.79666130676587	5.91799101967826e-133	5.36347526113441e-129
Tpm1	3.82488331011484	8.40158992269536e-130	5.7107707102041e-126
Mmp16	5.04849424948094	5.75194587778626e-124	3.12779312942261e-120
Col11a2	14.2469688613813	3.27711904769573e-121	1.27287985411142e-117
Prss35	9.77348532784977	1.97303701682275e-114	5.96054482782154e-111
Cd1d1	4.08625460874778	8.19061268587137e-109	1.85578806930131e-105
Stk17b	4.12501638250496	6.2155089747032e-108	1.29994979625543e-104
Rgs3	4.05640159972554	1.21634900430141e-100	2.20475420519673e-97
Alpl	5.87898394061441	7.44696294313107e-100	1.26547172162994e-96
Gprc5c	3.72154923322422	6.94488025544974e-99	1.11073146626719e-95
Col1a2	4.44973803164842	3.96449555826358e-97	5.98837054075714e-94
Ccn4	6.05090809272612	3.92272697916419e-95	5.61342230718395e-92
Ppfibp2	3.90276042025746	5.6012895993006e-95	7.61467314576919e-92
Ckm	10.8971002765172	5.77712821254272e-93	7.139742680492e-90
Dlx5	8.09430078139943	3.00494384965264e-92	3.5522355794872e-89
Cpe	4.70675639282359	3.14070657316367e-88	3.55802795907279e-85
Farp2	4.24367602281146	2.30209871125761e-85	2.50367047441532e-82
Ifitm5	8.20445332488882	2.93519307497865e-83	2.9557394265035e-80
Itga10	7.230244617569	1.0827253260852e-82	1.01511099623898e-79
Gja1	3.85733664640472	1.88268400537786e-82	1.70627651407396e-79
Nrp2	4.93328745258014	1.32702077291464e-81	1.12751149358675e-78
Mef2c	4.26313557100828	9.78552059039863e-78	7.60167198092424e-75
Sparc	2.52722779381542	1.98910851402231e-77	1.50227420521535e-74
Ptprd	3.75322901206254	5.21470200792255e-77	3.83196034847044e-74
Kazald1	4.0668743897687	2.16418714550892e-75	1.50877139228826e-72
Rerg	5.3521633344873	1.14211925240113e-73	7.57392203744742e-71
Myl1	11.1201533242493	1.8584085530416e-72	1.20305405115829e-69
Plod2	3.88728485794062	2.27532289953255e-72	1.43869196082303e-69
Dtna	4.63272061284493	8.1748781163732e-69	5.05151729786524e-66
Fabp3	6.10063717615232	9.22150257338856e-67	5.45050942321438e-64
Schip1	5.41871433166007	4.11717097434703e-66	2.38173960896854e-63
Ecrg4	5.80677755867187	4.43160645558343e-65	2.51022808168454e-62
Tmtc2	3.60289200391217	4.76581258451804e-65	2.64444241551961e-62
Rcan2	2.72781550587809	4.86852777505905e-65	2.64740803352161e-62
Me2	3.49014010240725	6.87001724745631e-65	3.66252743021744e-62
Insc	11.4022753791676	9.80823360084129e-64	4.84865569769589e-61
Cd200	3.22017917236669	5.4542624340004e-62	2.51349053081418e-59
Cdo1	6.12747721119426	2.14832075369496e-60	9.42107951164715e-58
Fmod	4.31971445075637	2.23891219267208e-58	9.22330054644867e-56
Specc1	5.69078983563383	2.40282185187443e-58	9.75079452695731e-56
Col1a1	5.1525432922097	2.19036414483331e-57	8.75791334321659e-55
Epha2	5.18200238439602	4.04342946204879e-57	1.57052576633778e-54
Cthrc1	6.57033913473641	8.82236719872002e-57	3.37846960233801e-54
Slc13a5	11.7272534306225	6.61584645641255e-56	2.49830901810279e-53
Rhpn2	3.7784572243281	1.00549537477626e-55	3.69438023578266e-53
Col5a2	2.75833923266662	1.13260316247904e-55	4.05188781376878e-53
Col22a1	7.4232348963947	1.97048141387652e-55	6.95784664440112e-53
Unc5b	4.67381154920724	4.43849898516054e-55	1.52757403680418e-52
Mpv17l	3.55993535885453	6.81373311133579e-55	2.31573236955136e-52
Cadm1	5.80480237179638	7.01224356321718e-55	2.3537764227199e-52
Mpo	6.61447105243848	7.21784585747459e-55	2.39324403681557e-52
Pard6g	4.14204200264673	8.48391312803485e-55	2.77914595226674e-52
Bglap3	11.460188403044	8.97595059117459e-55	2.90532286456483e-52
Gpc1	5.06985737868109	1.07069425105187e-54	3.4248359990411e-52
Fam3c	2.05848596883891	1.95894459394882e-54	6.12203960515799e-52
Slc36a2	5.73305083001156	8.14461760595955e-54	2.43345063833444e-51
Tnfrsf19	5.10356514693207	2.29602094992999e-53	6.64111846889856e-51
Pycr1	2.265772845664	2.66191902554881e-53	7.61841225112069e-51
Ostn	8.06825624692868	7.22199209739299e-53	2.02431693954658e-50
Ncam1	3.73995895698647	1.34298386266578e-50	3.65143882420198e-48
Col11a1	13.2339389966787	1.41718722683157e-50	3.81503995151717e-48
Gne	2.90826208931667	9.60471065504689e-50	2.46360828301953e-47
Tnmd	8.14606240348929	1.71229702720677e-49	4.27115998832338e-47
Prex1	4.89798246944201	3.92200375622006e-49	9.69412364798793e-47
Cemip2	3.68175121069507	5.86682604264729e-49	1.42422440422801e-46
Omd	3.52586069589076	1.26237362726951e-48	3.03740500458678e-46
Bmp3	4.29388904146107	1.30159177163357e-47	2.99906598974112e-45
Acta1	13.2898591268273	1.87460771731397e-47	4.28308480891172e-45
Abr	2.64007189319624	2.0988092296561e-47	4.7553770120933e-45
Cdh2	7.04960037388748	3.75313650113642e-47	8.36426461716378e-45
Pgam2	7.24423078246644	2.34760576883885e-46	5.10632425991676e-44
Eno3	4.83804695324304	5.74229659083118e-45	1.23910557149293e-42
Tnnt3	7.1253854426498	1.01252579443016e-44	2.16768219092612e-42
Mylpf	7.11725906792984	1.5763705954378e-44	3.34843282182487e-42
Shroom2	5.9477025142482	4.63796037640115e-44	9.7001157441516e-42
Sgk3	2.95212693151342	1.16551248779183e-43	2.4006908356494e-41
Fkbp10	2.21466116203085	5.76238587265038e-43	1.15201109920214e-40
Prg4	5.14969944695057	1.0466402549239e-42	2.06210883269029e-40
Sdk2	3.48515935160514	2.028216302607e-42	3.93894093225583e-40
Runx1	3.99212281328607	1.12774786529017e-41	2.129328938151e-39
Tnn	7.49469042030025	2.0764359710302e-41	3.86686422029726e-39
Slc35e4	2.78720857780546	3.01916255991091e-40	5.40052702904064e-38
Cd59a	3.08467994307289	5.45480532021785e-40	9.69350992492831e-38
Myo18a	3.0430042117868	5.98265566952418e-40	1.05624951297852e-37
Gale	3.83023380271351	8.57936273089597e-40	1.50493092445375e-37
Slc16a4	5.80952586632417	3.09082977834245e-39	5.28531892096559e-37
Dmp1	12.6800925497019	3.43978597397125e-39	5.84527130289402e-37
Runx2	6.82858594526109	9.56422106856621e-39	1.59534727995857e-36
Ell2	3.05213708993822	9.71523565135428e-39	1.61065574466263e-36
Pdgfc	2.99239746577748	1.04792141907062e-38	1.72678396746129e-36
Cdh11	2.6399423321479	1.06570394308367e-38	1.74550750051217e-36
Sema3d	2.69198077459786	1.17135015236141e-38	1.89570471979491e-36
Egfl6	5.1877088701562	1.20828819024285e-38	1.94391405943862e-36
