cell	gene	count
Cell_10369_WXV	Malat1	87
Cell_10369_WXV	Cxcl12	64
Cell_10369_WXV	Fos	30
Cell_10369_WXV	Tmsb4x	20
Cell_10369_WXV	Cxcl14	19
Cell_10369_WXV	Jun	18
Cell_10369_WXV	Socs3	17
Cell_10369_WXV	B2m	15
Cell_10369_WXV	Zfp36l1	15
Cell_10369_WXV	Egr1	14
Cell_10369_WXV	Junb	13
Cell_10369_WXV	Klf6	13
Cell_10369_WXV	Btg2	12
Cell_10369_WXV	Gas6	12
Cell_10369_WXV	Igfbp4	12
Cell_10369_WXV	Klf2	12
Cell_10369_WXV	Ubc	11
Cell_10369_WXV	Zfp36	11
Cell_10369_WXV	Fosb	10
Cell_10369_WXV	Neat1	10
Cell_10369_WXV	Serpina3g	9
Cell_10369_WXV	Adamts1	8
Cell_10369_WXV	Atf3	8
Cell_10369_WXV	Btg1	7
Cell_10369_WXV	Col1a2	7
Cell_10369_WXV	Csf1	7
Cell_10369_WXV	Gpx3	7
Cell_10369_WXV	Id3	7
Cell_10369_WXV	Igfbp7	7
Cell_10369_WXV	Pappa	7
Cell_10369_WXV	Sparc	7
Cell_10369_WXV	Amotl2	6
Cell_10369_WXV	Bgn	6
Cell_10369_WXV	Col1a1	6
Cell_10369_WXV	Fstl1	6
Cell_10369_WXV	Gadd45g	6
Cell_10369_WXV	Rbm39	6
Cell_10369_WXV	Serpine2	6
Cell_10369_WXV	Cebpb	5
Cell_10369_WXV	Cited2	5
Cell_10369_WXV	Ebf3	5
Cell_10369_WXV	Ftl1	5
Cell_10369_WXV	Gja1	5
Cell_10369_WXV	H2-D1	5
Cell_10369_WXV	Itm2b	5
Cell_10369_WXV	Marcks	5
Cell_10369_WXV	Mgp	5
Cell_10369_WXV	Mt1	5
Cell_10369_WXV	Pim1	5
Cell_10369_WXV	Rbms1	5
Cell_10369_WXV	Rhob	5
Cell_10369_WXV	Rpl18a	5
Cell_10369_WXV	Rpl39	5
Cell_10369_WXV	Serf2	5
Cell_10369_WXV	Son	5
Cell_10369_WXV	Tns3	5
Cell_10369_WXV	Actb	4
Cell_10369_WXV	Adamts2	4
Cell_10369_WXV	Ebf1	4
Cell_10369_WXV	Eef1a1	4
Cell_10369_WXV	Fst	4
Cell_10369_WXV	Fus	4
Cell_10369_WXV	H3f3b	4
