metric	value
records	119566
samples	Sample1,Sample2,Sample3,Sample4
min_position	12783
max_position	249239873
snp_records	119566
non_snp_records	0
multiallelic_records	547
records_called_in_all_samples	119566
Sample1.called	119566
Sample1.missing	0
Sample1.hom_ref	0
Sample1.het	51054
Sample1.hom_alt	68391
Sample1.other_called	121
Sample1.alt_alleles	188199
Sample1.unique_GT_strings	3
Sample1.top_GT_strings	1/1:68391;0/1:51054;1/2:121
Sample2.called	119566
Sample2.missing	0
Sample2.hom_ref	0
Sample2.het	47910
Sample2.hom_alt	71457
Sample2.other_called	199
Sample2.alt_alleles	191480
Sample2.unique_GT_strings	8
Sample2.top_GT_strings	1/1:71363;0/1:47910;0/2:94;1/2:92;2/2:56;2/1:49;2/3:1;1/3:1
Sample3.called	119566
Sample3.missing	0
Sample3.hom_ref	0
Sample3.het	48876
Sample3.hom_alt	70510
Sample3.other_called	180
Sample3.alt_alleles	190501
Sample3.unique_GT_strings	7
Sample3.top_GT_strings	1/1:70405;0/1:48876;0/2:105;1/2:73;2/2:65;2/1:40;0/3:2
Sample4.called	119566
Sample4.missing	0
Sample4.hom_ref	0
Sample4.het	48871
Sample4.hom_alt	70510
Sample4.other_called	185
Sample4.alt_alleles	190509
Sample4.unique_GT_strings	8
Sample4.top_GT_strings	1/1:70381;0/1:48871;0/2:129;1/2:78;2/2:59;2/1:46;2/3:1;3/2:1
row_alt_count_patterns	2,2,2,2:31164;1,1,1,1:15737;1,2,2,2:8503;2,1,2,2:6978;2,2,1,2:6963;2,2,2,1:6645;2,2,1,1:6621;1,1,2,2:5805;1,1,1,2:4826;1,2,1,1:4713;1,1,2,1:4640;2,1,1,1:3828;1,2,2,1:3565;1,2,1,2:3148;2,1,2,1:3058;2,1,1,2:2966;2,3,2,2:27;3,2,2,2:17;2,2,2,3:15;3,3,3,3:13
