## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT Samtools_view_on_dataset_19__filtered_alignments --OUTPUT /expanse/lustre/scratch/xgalaxy/temp_project/jobs/main/79425374/outputs/dataset_3215b655-822b-441f-b595-024fa1403378.dat --METRICS_FILE /expanse/lustre/scratch/xgalaxy/temp_project/jobs/main/79425374/outputs/dataset_de513337-eae9-4d5d-8b4e-fd98b5ebef25.dat --REMOVE_DUPLICATES true --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 28 23:28:41 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	14381267	0	0	0	3887631	0	0.270326	21551946

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7499237	7499237
2.0	1.5131	2348166	2348166
3.0	1.776372	530888	530888
4.0	1.911457	96042	96042
5.0	1.980769	14963	14963
6.0	2.016333	2220	2220
7.0	2.034581	411	411
8.0	2.043944	137	137
9.0	2.048748	100	100
10.0	2.051213	82	82
11.0	2.052478	72	72
12.0	2.053127	66	66
13.0	2.05346	48	48
14.0	2.053631	54	54
15.0	2.053719	48	48
16.0	2.053764	36	36
17.0	2.053787	31	31
18.0	2.053799	29	29
19.0	2.053805	24	24
20.0	2.053808	22	22
21.0	2.053809	25	25
22.0	2.05381	27	27
23.0	2.053811	26	26
24.0	2.053811	26	26
25.0	2.053811	20	20
26.0	2.053811	9	9
27.0	2.053811	22	22
28.0	2.053811	20	20
29.0	2.053811	18	18
30.0	2.053811	22	22
31.0	2.053811	20	20
32.0	2.053811	13	13
33.0	2.053811	14	14
34.0	2.053811	13	13
35.0	2.053811	14	14
36.0	2.053811	2	2
37.0	2.053811	12	12
38.0	2.053811	8	8
39.0	2.053811	9	9
40.0	2.053811	7	7
41.0	2.053811	12	12
42.0	2.053811	10	10
43.0	2.053811	14	14
44.0	2.053811	15	15
45.0	2.053811	6	6
46.0	2.053811	11	11
47.0	2.053811	10	10
48.0	2.053811	11	11
49.0	2.053811	7	7
50.0	2.053811	5	5
51.0	2.053811	6	6
52.0	2.053811	8	8
53.0	2.053811	10	10
54.0	2.053811	4	4
55.0	2.053811	10	10
56.0	2.053811	7	7
57.0	2.053811	11	11
58.0	2.053811	3	3
59.0	2.053811	6	6
60.0	2.053811	6	6
61.0	2.053811	8	8
62.0	2.053811	5	5
63.0	2.053811	9	9
64.0	2.053811	3	3
65.0	2.053811	8	8
66.0	2.053811	4	4
67.0	2.053811	7	7
68.0	2.053811	3	3
69.0	2.053811	7	7
70.0	2.053811	6	6
71.0	2.053811	3	3
72.0	2.053811	6	6
73.0	2.053811	2	2
74.0	2.053811	6	6
75.0	2.053811	1	1
76.0	2.053811	2	2
77.0	2.053811	2	2
78.0	2.053811	4	4
79.0	2.053811	4	4
80.0	2.053811	6	6
81.0	2.053811	5	5
82.0	2.053811	6	6
83.0	2.053811	2	2
84.0	2.053811	2	2
85.0	2.053811	8	8
86.0	2.053811	5	5
87.0	2.053811	5	5
88.0	2.053811	5	5
89.0	2.053811	3	3
90.0	2.053811	4	4
91.0	2.053811	5	5
92.0	2.053811	3	3
93.0	2.053811	1	1
94.0	2.053811	2	2
95.0	2.053811	0	0
96.0	2.053811	3	3
97.0	2.053811	4	4
98.0	2.053811	3	3
99.0	2.053811	3	3
100.0	2.053811	1	1
101.0	0	3	3
102.0	0	2	2
103.0	0	1	1
104.0	0	1	1
105.0	0	1	1
106.0	0	4	4
107.0	0	6	6
108.0	0	4	4
109.0	0	1	1
110.0	0	3	3
111.0	0	4	4
112.0	0	3	3
113.0	0	3	3
114.0	0	3	3
115.0	0	6	6
116.0	0	2	2
117.0	0	2	2
119.0	0	1	1
120.0	0	2	2
121.0	0	3	3
