gene	count
ABHD17A	8
ABI1	5
ABTB1	2
ACAP2	1
ACER3	2
ACP1	1
ACSL6	0
ACTB	307
ACTG1	58
ACTN1	24
ACTR2	3
ACTR3	4
ADAM10	6
ADAM17	0
ADAR	1
ADD1	1
ADD3	6
ADIPOR1	6
ADSL	0
AFF4	0
AGFG1	2
AGO2	1
AHCTF1	1
AK3	1
AKAP13	0
AKAP8L	0
AKAP9	0
AKIRIN1	1
AKIRIN2	8
AKT3	1
ALDH2	2
ALDOA	2
AMD1	8
ANAPC16	1
ANAPC5	13
ANK2	0
ANKLE2	0
ANKRD11	1
ANKRD12	0
ANKRD13A	1
ANP32A	3
ANP32B	10
ANXA11	5
ANXA5	0
ANXA7	7
AP1M1	1
AP1S2	4
AP2A1	1
AP2M1	13
AP2S1	11
AP3S1	0
APH1A	1
APLP2	0
APOL1	1
ARF1	26
ARF4	1
ARF5	3
ARFGAP2	1
ARGLU1	0
ARHGAP4	1
ARHGAP45	6
ARHGDIA	1
ARHGDIB	24
ARHGEF12	5
ARID1A	1
ARID1B	0
ARID4B	0
ARIH1	0
ARL2	2
ARL6IP1	5
ARL6IP5	17
ARMC10-1	1
ARPC1B	80
ARPC2	17
ARPC3	5
ARPC4	12
ARPC5	47
ARPP19	3
ASAH1	20
ASAP1	4
ASB8	1
ATE1	3
ATF4	5
ATG12	1
ATG2A	1
ATL1	4
ATP11B	1
ATP1A1	0
ATP5F1B	0
ATP5F1D	4
ATP5F1E	18
ATP5ME	0
ATP5MF	1
ATP5MG	6
ATP5MJ	11
ATP5MK	1
ATP5PF	5
ATP6AP2	2
ATP6V0B	2
ATP6V0C	1
ATP6V0D1	1
ATP6V0E1	15
ATP6V1D	1
ATP6V1F	1
ATP6V1G1	6
ATP7A	1
ATP9B	1
ATRX	1
ATXN2	0
ATXN7	0
AZIN1	1
B2M	221
B2M-1	207
B4GALT1	0
BACH1	0
BAG1	1
BAX	2
BAZ1A	0
BAZ2B	0
BBLN	15
BCAP31	4
BECN1	3
BEND7	0
BIN2	11
BIRC2	1
BIRC6	0
BLOC1S1	1
BLOC1S6	4
BLTP1	0
BNIP2	1
BNIP3L	3
BOD1L1	1
BORCS7	1
BPTF	0
BRAF	0
BRD4	0
BRI3	2
BRIP1	1
BRK1	10
BROX	3
BRWD1	0
BSDC1	2
BSG	1
BTF3	3
BTG1	0
BTK	3
BUD31	1
C11orf58	3
C15orf40	2
C19orf53	1
C1GALT1	1
C21orf62	0
C2CD3	9
C2orf68	0
C4orf3	8
C6orf62	6
C9orf78	0
CAB39	1
CACUL1	2
CALM1	36
CALM2	9
CALM3	74
CAMLG	0
CAP1	13
CAPN1	14
CAPNS1	5
CAPZA1	5
CAPZA2	19
CAPZB	12
CARD16	1
CARD8	1
CARHSP1	1
CASP4	0
CAST	1
CBL	1
CBX3	0
CCDC157	1
CCDC186	0
CCDC30	0
CCDC57	3
CCDC82	0
CCL5	124
CCL5-1	124
CCM2	1
CCND3	10
CCNDBP1	0
CCNI	2
CCNL1	3
CCNY	3
CCPG1	7
CD164	3
CD37	0
CD46	7
CD47	4
CD55	3
CD63	15
CD74	2
CD82	2
CDC37	4
CDC42	1
CDC42SE1	1
CDC42SE2	5
CDKL5	1
CDKN1B	0
CDKN2D	39
CDS2	0
CDV3	2
CEACAM22P	0
CELF2	2
CERCAM	7
CERT1	0
CFL1	28
CFLAR	3
CGGBP1	2
CHCHD2	3
CHD1	0
CHD2	0
CHD4	4
CHD9	1
CHFR	0
CHMP1B	0
CHMP2A	0
CHMP2B	0
CHMP4B	2
CHMP5	2
CHST12	3
CHURC1	4
CIR1	0
CIRBP	3
CKLF	0
CLEC2B	0
CLINT1	0
CLIP1	0
CLK1	0
CLTA	3
CLTC	3
CMBL	0
CMC2	2
CMIP	8
CMTM6	10
CNBP	0
CNN2	2
CNPY3	5
COA1	0
COMMD6	0
COPA	0
COPE	3
COPS2	0
COQ10B	0
CORO1A	0
COTL1	19
COX17	0
COX4I1	5
COX5B	1
COX6A1	1
COX6B1	6
COX7A2	1
COX7B	2
COX7C	2
COX8A	3
CPEB4	1
CPT1A	0
CRBN	4
CREB1	0
CREBRF	0
CSDE1	3
CSK	0
CSNK1A1	1
CSNK1D	0
CSNK1G2	0
CSNK2A1	1
CTBS	0
CTCF	1
CTDSP1	3
CTDSP2	1
CTSC	1
CTSS	0
CTSZ	0
CUL3	1
CUL4B	0
CUX1	1
CXCR4	1
CYB561A3	2
CYB5R3	7
CYB5R4	1
CYBA	0
CYBC1	1
CYLD	0
CYP20A1	1
CYRIB	1
CYTH2	0
DAD1	3
DAPP1	18
DAZAP2	4
DBI	0
DBNL	2
DCAKD	1
DCP2	2
DCUN1D1	0
DCUN1D2	1
DDX17	0
DDX21	1
DDX3X	0
DDX5	0
DDX6	2
DEK	1
DESI1	0
DGKH	0
DGKZ	1
DHRS7	0
DIAPH1	11
DNAJA1	0
DNAJB1	2
DNAJB6	6
DNAJC21	0
DNAJC7	1
DNM1	1
DNM2	1
DR1	1
DRAP1	3
DSG3	0
DUSP1	4
DYNLL1	30
DYNLL2	5
DYNLRB1	6
DYNLT3	5
DYRK1A	2
E2F3P2	1
EEF1A1	8
EEF2	0
EHBP1L1	0
EHD1	3
EIF1	25
EIF1B	4
EIF2AK1	17
EIF3I	1
EIF4A1	0
EIF4A2	1
EIF4B	0
EIF4EBP2	0
EIF4G2	12
EIF4G3	3
EIF4H	1
EIF5	0
EIF5A	1
ELAPOR1	1
ELAVL1	2
ELF1	7
ELF2	0
ELMO1	0
ELOB	4
EMC10	1
EMC3	18
EMD	1
EMP3	8
ENO1	10
ENSA	1
EP300	0
EPB41	3
EPN1	0
EPS15	3
ERBIN	0
ERICH1	1
ERN1	0
ETV6	1
EVI2B	1
EWSR1	0
EXOC7	0
FAAP20	1
FAM107B	0
FAM120AOS	1
FAM133B	0
FAM177A1	2
FAM204A	1
FAM241A	0
FAM32A	4
FAM50A	1
FAM89B	5
FAU	3
FAUP4	0
FAXC	1
FBRS	1
FBXL20	0
FBXL3	0
FBXO11	0
FBXO48	5
FBXO7	0
FBXO9	0
FBXW7	1
FEM1A	1
FERMT3	60
FGFR1OP2	2
FIS1	1
FKBP1A	24
FKBP8	27
FLNA	46
FLOT2	1
FMN1	1
FMNL1	2
FNBP1	0
FNIP1	0
FOS	1
FOSB	0
FOXN3	2
FOXO3	0
FOXP1	1
FTH1	366
FTL	157
FUS	0
FXR1	0
FXR2	1
FXYD5	0
FYTTD1	1
G3BP2	6
GABARAP	0
GABARAPL2	10
GABRD	0
GALNT1	1
GAPDH	42
GAPVD1	1
GASK1A	3
GATAD2A	4
GATD1	1
GBF1	0
GCC2	0
GGNBP2	0
GHITM	1
GIT2	1
GLRX5	1
GLTP	0
GMFG	6
GNA13	1
GNAI2	7
GNAI3	1
GNAS	108
GNB1	2
GNB2	1
GNB5	3
GNG5	8
GNL3L	0
GNPTG	0
GOLGA2	1
GOLGA4	0
GOLGB1	0
GOLM2	2
GOSR1	5
GPATCH2L	0
GPBP1	0
GPBP1L1	1
GPCPD1	0
GPSM2	1
GPX1	279
GPX4	36
GRB2	5
GRIPAP1	1
GRK2	0
GRK3	1
GRK6	1
GSK3B	0
GSPT1	0
GSTK1	3
GSTO1	21
GTDC1	1
GTF2I	0
GTPBP4	0
GUK1	1
GYPC	0
H1-2	8
H2AC18	7
H2AC19	7
H2AZ1	3
H2AZ2	0
H3-3A	223
H3-3B	18
HADHB	0
HAPSTR1	1
HAT1	0
HBA1	18
HBA2	12
HBB	29
HBP1	0
HCLS1	0
HCST	6
HDGF	2
HECTD1	0
HELZ	2
HERC1	1
HIF1A	0
HINT1	0
HIPK1	0
HIPK3	2
HLA-A-3	20
HLA-A-6	20
HLA-B-1	10
HLA-B-2	17
HLA-B-3	17
HLA-B-5	10
HLA-DQA1-2	0
HLA-DQA1-4	0
HLA-E	33
HLA-E-1	43
HLA-E-2	33
HMGB1	56
HMGB1P6	12
HMGB2	1
HMGN1	10
HMGN2	0
HNRNPA2B1	8
HNRNPA3	0
HNRNPC	3
HNRNPD	0
HNRNPDL	1
HNRNPF	1
HNRNPH2	0
HNRNPH3	0
HNRNPK	4
HNRNPM	0
HNRNPU	0
HNRNPUL1	4
HOOK3	2
HP1BP3	0
HPCAL1	1
HPS1	0
HSD17B12	0
HSP90AA1	4
HSP90AB1	0
HSPA4L	0
HSPA9	0
HYCC2	0
ICAM3	1
IDH2	1
IDS	0
IER2	0
IFI16	0
IFITM2	1
IFRD1	1
IGBP1	2
IGF2R	3
IK	1
IL2RG	0
INTS6	0
IRAG2	1
IRAK4	0
IRF1	1
IRF2	0
IRF9	0
IRS2	2
ISCA1	6
ISCU	5
ISG20L2	0
IST1	0
ITGA1	1
ITGAL	0
ITM2B	98
ITPR2	1
ITSN2	0
JAK1	1
JARID2	2
JMJD1C	2
JOSD1	1
