gene	count
ABHD17A	59
ABI1	59
ABTB1	20
ACAP2	141
ACER3	135
ACP1	48
ACSL6	156
ACTB	3851
ACTG1	993
ACTN1	95
ACTR2	298
ACTR3	174
ADAM10	113
ADAM17	255
ADAR	154
ADD1	29
ADD3	54
ADIPOR1	40
ADSL	70
AFF4	88
AGFG1	84
AGO2	15
AHCTF1	47
AK3	233
AKAP13	187
AKAP8L	27
AKAP9	112
AKIRIN1	60
AKIRIN2	111
AKT3	79
ALDH2	460
ALDOA	247
AMD1	57
ANAPC16	130
ANAPC5	102
ANK2	258
ANKLE2	115
ANKRD11	194
ANKRD12	212
ANKRD13A	31
ANP32A	85
ANP32B	186
ANXA11	87
ANXA5	358
ANXA7	63
AP1M1	110
AP1S2	298
AP2A1	77
AP2M1	84
AP2S1	191
AP3S1	62
APH1A	44
APLP2	441
APOL1	165
ARF1	169
ARF4	47
ARF5	132
ARFGAP2	57
ARGLU1	97
ARHGAP4	75
ARHGAP45	68
ARHGDIA	173
ARHGDIB	365
ARHGEF12	22
ARID1A	85
ARID1B	91
ARID4B	103
ARIH1	59
ARL2	35
ARL6IP1	78
ARL6IP5	223
ARMC10-1	158
ARPC1B	721
ARPC2	718
ARPC3	826
ARPC4	153
ARPC5	367
ARPP19	33
ASAH1	543
ASAP1	67
ASB8	33
ATE1	29
ATF4	193
ATG12	50
ATG2A	67
ATL1	633
ATP11B	47
ATP1A1	112
ATP5F1B	175
ATP5F1D	200
ATP5F1E	1224
ATP5ME	171
ATP5MF	200
ATP5MG	530
ATP5MJ	281
ATP5MK	158
ATP5PF	136
ATP6AP2	158
ATP6V0B	293
ATP6V0C	173
ATP6V0D1	131
ATP6V0E1	129
ATP6V1D	72
ATP6V1F	181
ATP6V1G1	225
ATP7A	29
ATP9B	214
ATRX	90
ATXN2	61
ATXN7	45
AZIN1	48
B2M	1991
B2M-1	2712
B4GALT1	55
BACH1	245
BAG1	56
BAX	83
BAZ1A	78
BAZ2B	121
BBLN	71
BCAP31	98
BECN1	31
BEND7	69
BIN2	105
BIRC2	36
BIRC6	56
BLOC1S1	136
BLOC1S6	280
BLTP1	83
BNIP2	159
BNIP3L	120
BOD1L1	159
BORCS7	104
BPTF	54
BRAF	65
BRD4	55
BRI3	560
BRIP1	232
BRK1	149
BROX	25
BRWD1	24
BSDC1	21
BSG	59
BTF3	482
BTG1	540
BTK	164
BUD31	46
C11orf58	184
C15orf40	278
C19orf53	89
C1GALT1	29
C21orf62	223
C2CD3	855
C2orf68	155
C4orf3	116
C6orf62	74
C9orf78	95
CAB39	23
CACUL1	54
CALM1	341
CALM2	580
CALM3	137
CAMLG	48
CAP1	232
CAPN1	40
CAPNS1	147
CAPZA1	141
CAPZA2	156
CAPZB	223
CARD16	169
CARD8	23
CARHSP1	28
CASP4	100
CAST	345
CBL	36
CBX3	83
CCDC157	42
CCDC186	37
CCDC30	54
CCDC57	195
CCDC82	38
CCL5	143
CCL5-1	143
CCM2	60
CCND3	63
CCNDBP1	66
CCNI	410
CCNL1	310
CCNY	75
CCPG1	54
CD164	139
CD37	275
CD46	97
CD47	70
CD55	348
CD63	317
CD74	1692
CD82	258
CDC37	63
CDC42	495
CDC42SE1	62
CDC42SE2	90
CDKL5	148
CDKN1B	50
CDKN2D	197
CDS2	47
CDV3	167
CEACAM22P	77
CELF2	172
CERCAM	142
CERT1	80
CFL1	706
CFLAR	174
CGGBP1	56
CHCHD2	335
CHD1	224
CHD2	99
CHD4	37
CHD9	57
CHFR	88
CHMP1B	74
CHMP2A	122
CHMP2B	79
CHMP4B	103
CHMP5	26
CHST12	454
CHURC1	94
CIR1	70
CIRBP	163
CKLF	105
CLEC2B	114
CLINT1	62
CLIP1	143
CLK1	66
CLTA	96
CLTC	60
CMBL	81
CMC2	36
CMIP	81
CMTM6	176
CNBP	234
CNN2	93
CNPY3	116
COA1	26
COMMD6	301
COPA	99
COPE	134
COPS2	28
COQ10B	51
CORO1A	373
COTL1	1092
COX17	63
COX4I1	533
COX5B	222
COX6A1	155
COX6B1	267
COX7A2	232
COX7B	222
COX7C	482
COX8A	235
CPEB4	74
CPT1A	55
CRBN	35
CREB1	23
CREBRF	93
CSDE1	218
CSK	97
CSNK1A1	171
CSNK1D	77
CSNK1G2	38
CSNK2A1	133
CTBS	49
CTCF	30
CTDSP1	60
CTDSP2	30
CTSC	288
CTSS	2043
CTSZ	296
CUL3	40
CUL4B	54
CUX1	126
CXCR4	204
CYB561A3	174
CYB5R3	52
CYB5R4	98
CYBA	945
CYBC1	54
CYLD	129
CYP20A1	87
CYRIB	172
CYTH2	138
DAD1	69
DAPP1	97
DAZAP2	258
DBI	157
DBNL	70
DCAKD	51
DCP2	70
DCUN1D1	22
DCUN1D2	243
DDX17	187
DDX21	327
DDX3X	239
DDX5	652
DDX6	109
DEK	171
DESI1	49
DGKH	34
DGKZ	47
DHRS7	86
DIAPH1	136
DNAJA1	63
DNAJB1	127
DNAJB6	102
DNAJC21	105
DNAJC7	202
DNM1	23
DNM2	50
DR1	63
DRAP1	125
DSG3	110
DUSP1	754
DYNLL1	61
DYNLL2	27
DYNLRB1	57
DYNLT3	13
DYRK1A	44
E2F3P2	17
EEF1A1	5421
EEF2	448
EHBP1L1	110
EHD1	72
EIF1	2391
EIF1B	104
EIF2AK1	30
EIF3I	100
EIF4A1	673
EIF4A2	107
EIF4B	215
EIF4EBP2	49
EIF4G2	207
EIF4G3	22
EIF4H	92
EIF5	179
EIF5A	129
ELAPOR1	173
ELAVL1	77
ELF1	106
ELF2	75
ELMO1	26
ELOB	313
EMC10	86
EMC3	48
EMD	34
EMP3	688
ENO1	291
ENSA	74
EP300	131
EPB41	46
EPN1	70
EPS15	74
ERBIN	77
ERICH1	86
ERN1	95
ETV6	73
EVI2B	405
EWSR1	106
EXOC7	26
FAAP20	41
FAM107B	83
FAM120AOS	108
FAM133B	247
FAM177A1	54
FAM204A	58
FAM241A	111
FAM32A	39
FAM50A	43
FAM89B	44
FAU	1541
FAUP4	46
FAXC	114
FBRS	25
FBXL20	30
FBXL3	49
FBXO11	53
FBXO48	198
FBXO7	45
FBXO9	41
FBXW7	74
FEM1A	256
FERMT3	68
FGFR1OP2	37
FIS1	67
FKBP1A	282
FKBP8	67
FLNA	293
FLOT2	32
FMN1	184
FMNL1	254
FNBP1	140
FNIP1	67
FOS	450
FOSB	151
FOXN3	77
FOXO3	65
FOXP1	117
FTH1	9374
FTL	8353
FUS	190
FXR1	62
FXR2	17
FXYD5	194
FYTTD1	32
G3BP2	65
GABARAP	473
GABARAPL2	71
GABRD	49
GALNT1	51
GAPDH	926
GAPVD1	27
GASK1A	673
GATAD2A	44
GATD1	108
GBF1	70
GCC2	63
GGNBP2	92
GHITM	121
GIT2	38
GLRX5	34
GLTP	95
GMFG	392
GNA13	60
GNAI2	432
GNAI3	109
GNAS	387
GNB1	146
GNB2	185
GNB5	77
GNG5	249
GNL3L	105
GNPTG	79
GOLGA2	31
GOLGA4	65
GOLGB1	160
GOLM2	31
GOSR1	78
GPATCH2L	55
GPBP1	74
GPBP1L1	48
GPCPD1	278
GPSM2	87
GPX1	505
GPX4	236
GRB2	180
GRIPAP1	99
GRK2	92
GRK3	102
GRK6	40
GSK3B	34
GSPT1	25
GSTK1	108
GSTO1	185
GTDC1	87
GTF2I	34
GTPBP4	259
GUK1	141
GYPC	31
H1-2	18
H2AC18	73
H2AC19	73
H2AZ1	132
H2AZ2	100
H3-3A	1713
H3-3B	852
HADHB	57
HAPSTR1	104
HAT1	23
HBA1	140
HBA2	469
HBB	656
HBP1	54
HCLS1	191
HCST	251
HDGF	63
HECTD1	67
HELZ	55
HERC1	44
HIF1A	164
HINT1	178
HIPK1	43
HIPK3	82
HLA-A-3	363
HLA-A-6	363
HLA-B-1	329
HLA-B-2	603
HLA-B-3	416
HLA-B-5	298
HLA-DQA1-2	261
HLA-DQA1-4	261
HLA-E	154
HLA-E-1	340
HLA-E-2	186
HMGB1	385
HMGB1P6	50
HMGB2	77
HMGN1	112
HMGN2	137
HNRNPA2B1	392
HNRNPA3	276
HNRNPC	240
HNRNPD	138
HNRNPDL	254
HNRNPF	78
HNRNPH2	59
HNRNPH3	75
HNRNPK	228
HNRNPM	98
HNRNPU	237
HNRNPUL1	187
HOOK3	101
HP1BP3	88
HPCAL1	216
HPS1	39
HSD17B12	93
HSP90AA1	448
HSP90AB1	249
HSPA4L	140
HSPA9	110
HYCC2	78
ICAM3	106
IDH2	26
IDS	143
IER2	361
IFI16	47
IFITM2	306
IFRD1	27
IGBP1	59
IGF2R	132
IK	47
IL2RG	20
INTS6	22
IRAG2	32
IRAK4	22
IRF1	441
IRF2	23
IRF9	63
IRS2	169
ISCA1	25
ISCU	65
ISG20L2	157
IST1	30
ITGA1	131
ITGAL	165
ITM2B	511
ITPR2	39
ITSN2	104
JAK1	128
JARID2	96
JMJD1C	250
JOSD1	41
JTB	105
JUNB	682
JUND	1121
KAT6A	60
KCMF1	52
KCNK6	241
KCNMB1	119
KDM5A	57
KDM6A	46
KDM6B	163
KDM7A	41
KHDRBS1	103
KIDINS220	107
KIF2A	25
KIF5B	81
KLF2	220
KLF3	132
KLF6	766
