gene	count
ABHD17A	96
ABI1	87
ABTB1	71
ACAP2	299
ACER3	324
ACP1	55
ACSL6	368
ACTB	8166
ACTG1	1669
ACTN1	224
ACTR2	581
ACTR3	360
ADAM10	216
ADAM17	669
ADAR	344
ADD1	91
ADD3	109
ADIPOR1	73
ADSL	200
AFF4	140
AGFG1	255
AGO2	53
AHCTF1	72
AK3	496
AKAP13	325
AKAP8L	52
AKAP9	234
AKIRIN1	110
AKIRIN2	135
AKT3	144
ALDH2	835
ALDOA	601
AMD1	113
ANAPC16	239
ANAPC5	193
ANK2	605
ANKLE2	238
ANKRD11	275
ANKRD12	475
ANKRD13A	78
ANP32A	170
ANP32B	275
ANXA11	153
ANXA5	655
ANXA7	119
AP1M1	291
AP1S2	360
AP2A1	114
AP2M1	165
AP2S1	324
AP3S1	97
APH1A	99
APLP2	1082
APOL1	297
ARF1	361
ARF4	95
ARF5	159
ARFGAP2	135
ARGLU1	212
ARHGAP4	114
ARHGAP45	123
ARHGDIA	271
ARHGDIB	735
ARHGEF12	48
ARID1A	168
ARID1B	187
ARID4B	294
ARIH1	98
ARL2	63
ARL6IP1	135
ARL6IP5	355
ARMC10-1	280
ARPC1B	1250
ARPC2	1187
ARPC3	1174
ARPC4	298
ARPC5	636
ARPP19	71
ASAH1	774
ASAP1	142
ASB8	69
ATE1	63
ATF4	339
ATG12	106
ATG2A	124
ATL1	1345
ATP11B	110
ATP1A1	242
ATP5F1B	257
ATP5F1D	394
ATP5F1E	2096
ATP5ME	343
ATP5MF	277
ATP5MG	909
ATP5MJ	507
ATP5MK	298
ATP5PF	190
ATP6AP2	246
ATP6V0B	462
ATP6V0C	342
ATP6V0D1	282
ATP6V0E1	284
ATP6V1D	111
ATP6V1F	341
ATP6V1G1	348
ATP7A	65
ATP9B	398
ATRX	137
ATXN2	150
ATXN7	131
AZIN1	111
B2M	7284
B2M-1	3176
B4GALT1	121
BACH1	360
BAG1	125
BAX	166
BAZ1A	137
BAZ2B	332
BBLN	113
BCAP31	177
BECN1	45
BEND7	198
BIN2	139
BIRC2	88
BIRC6	128
BLOC1S1	282
BLOC1S6	429
BLTP1	168
BNIP2	296
BNIP3L	221
BOD1L1	282
BORCS7	211
BPTF	150
BRAF	122
BRD4	133
BRI3	1158
BRIP1	587
BRK1	261
BROX	72
BRWD1	66
BSDC1	43
BSG	122
BTF3	612
BTG1	777
BTK	293
BUD31	90
C11orf58	367
C15orf40	507
C19orf53	178
C1GALT1	32
C21orf62	402
C2CD3	1738
C2orf68	429
C4orf3	215
C6orf62	155
C9orf78	160
CAB39	75
CACUL1	75
CALM1	691
CALM2	644
CALM3	276
CAMLG	79
CAP1	436
CAPN1	78
CAPNS1	274
CAPZA1	278
CAPZA2	342
CAPZB	383
CARD16	290
CARD8	75
CARHSP1	75
CASP4	142
CAST	556
CBL	83
CBX3	195
CCDC157	124
CCDC186	91
CCDC30	95
CCDC57	412
CCDC82	65
CCL5	487
CCL5-1	487
CCM2	121
CCND3	109
CCNDBP1	106
CCNI	607
CCNL1	798
CCNY	133
CCPG1	122
CD164	284
CD37	503
CD46	221
CD47	148
CD55	535
CD63	952
CD74	1889
CD82	519
CDC37	103
CDC42	1104
CDC42SE1	154
