sample	disease	cell_type
Control_Num1_B_cell	normal	B_cell
Control_Num2_B_cell	normal	B_cell
Control_Num3_B_cell	normal	B_cell
SARS_CoV2_pos_Mild_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe_Num1_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe_Num2_B_cell	COVID_19	B_cell
SARS_CoV2_pos_Severe_Num3_B_cell	COVID_19	B_cell
Control_Num1_T_cell	normal	T_cell
Control_Num2_T_cell	normal	T_cell
Control_Num3_T_cell	normal	T_cell
SARS_CoV2_pos_Mild_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe_Num1_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe_Num2_T_cell	COVID_19	T_cell
SARS_CoV2_pos_Severe_Num3_T_cell	COVID_19	T_cell
Control_Num3_erythroid_lineage_cell	normal	erythroid_lineage_cell
SARS_CoV2_pos_Mild_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
SARS_CoV2_pos_Severe_Num1_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
SARS_CoV2_pos_Severe_Num2_erythroid_lineage_cell	COVID_19	erythroid_lineage_cell
Control_Num1_monocyte	normal	monocyte
Control_Num2_monocyte	normal	monocyte
Control_Num3_monocyte	normal	monocyte
SARS_CoV2_pos_Mild_monocyte	COVID_19	monocyte
SARS_CoV2_pos_Severe_Num1_monocyte	COVID_19	monocyte
SARS_CoV2_pos_Severe_Num2_monocyte	COVID_19	monocyte
Control_Num1_neutrophil	normal	neutrophil
Control_Num2_neutrophil	normal	neutrophil
Control_Num3_neutrophil	normal	neutrophil
SARS_CoV2_pos_Mild_neutrophil	COVID_19	neutrophil
SARS_CoV2_pos_Severe_Num1_neutrophil	COVID_19	neutrophil
SARS_CoV2_pos_Severe_Num2_neutrophil	COVID_19	neutrophil
Control_Num1_platelet	normal	platelet
Control_Num3_platelet	normal	platelet
SARS_CoV2_pos_Severe_Num1_platelet	COVID_19	platelet
SARS_CoV2_pos_Severe_Num2_platelet	COVID_19	platelet
