gene	log2_fold_change	p_value	fdr
MTATP6P1	1.41781810262286	1.6785831340328799e-07	0.00023986952985329856
CDKL5	0.84699676913723798	1.72563241848357e-06	0.0012329643630065107
UFD1	-0.80614183971379805	3.5128779050198799e-06	0.0013985148567344677
MS4A4E	0.79308443163022901	3.9146671986969004e-06	0.0013985148567344677
MTND1P23	-3.30965379030983	5.5966976947814502e-06	0.0015995362011685384
FOSB	1.0697344848922501	8.9611130858155407e-06	0.0020420575261501134
CLTA	-0.64868036086912895	1.00030809538494e-05	0.0020420575261501134
TSGA10	0.58415780578656895	9.2652766674444802e-05	0.014677112542556985
BLOC1S1	-0.69413267267952505	9.5125980715405595e-05	0.014677112542556985
ACTG1	-0.75322529322118703	0.000109786859244888	0.014677112542556985
IFI16	-0.69983874025413795	0.000112979872615904	0.014677112542556985
H1-2	-1.7667300038073299	0.000128851622069839	0.015344080661483328
DNAJC21	-0.66438735683457195	0.000144534898268909	0.015887720740482381
KDM6B	0.71589920110710203	0.00017950016491141699	0.017377379603462018
SIRT2	0.52276178159608	0.00018240776350729899	0.017377379603462018
ZNHIT1	-0.66954328550336295	0.00021377127868031301	0.019092447327135456
P2RX7	0.61722098452851604	0.00023465214815856299	0.019724583512858027
MT-ND4L	0.69525001261463704	0.00028232661020062501	0.022413595887594062
PFN1	-0.61087869860675803	0.00033245426768244298	0.025004060448326898
GAPDH	-0.60782125192262704	0.00036164525324178601	0.025839553344125611
FXR2	0.58574615974268696	0.000427510631876513	0.027429331858628368
MAP3K11	0.50628351942766503	0.00045873739938849702	0.027429331858628368
FGFR1OP2	-0.63527971982290798	0.00048424443000742799	0.027429331858628368
PRR11	0.54063585404568504	0.00048460811948580898	0.027429331858628368
S100A4	-0.84792422385497102	0.000494329776498173	0.027429331858628368
TSPAN10	0.60505977062900396	0.00049906412059085904	0.027429331858628368
NR4A2	0.89637823070009504	0.00052139239367596604	0.027595175206035386
NDUFA13	-0.66753639304256596	0.00060873796350755698	0.027942794296838772
TMEM212	0.53010862940286796	0.00061302853479606296	0.027942794296838772
CERCAM	0.54531039415790405	0.00061709738078428501	0.027942794296838772
TXNL1	-0.58491454416743405	0.00064694829388086002	0.027942794296838772
MTND2P28	0.68049262582537695	0.00064820454206090798	0.027942794296838772
TXN	-0.62178705875280305	0.00065902277501455405	0.027942794296838772
CD63	-0.64468817919856902	0.00067470786273112903	0.027942794296838772
COX6A1	-0.56306774748353405	0.00068439314232985097	0.027942794296838772
OPHN1	0.55401194732166203	0.00073176427316074802	0.028479162320426403
PRELID1	-0.57597826704589705	0.00073738908737283203	0.028479162320426403
POMP	-0.60785888035334501	0.000765495887369002	0.028786674290797468
PTPN6	-0.553850247104822	0.00081909764347748903	0.030012577757162352
SHKBP1	-0.51729958553641198	0.00099412288388011803	0.03477634730471825
HBA1	-1.8375380262955301	0.00099778183309548506	0.03477634730471825
CHMP5	-0.59568318654765295	0.0011057215418827299	0.037620859127390979
THOC5	0.46921527831537801	0.0011528242261009201	0.037731796997967477
GABRD	0.47939617250551098	0.0011617908102943099	0.037731796997967477
DYNLRB1	-0.551380349331419	0.0013355284175169001	0.042410446858481117
RBX1	-0.59619468263993203	0.00142594869566656	0.042608457328323419
SERF2	-0.54436194955308403	0.00147194097003534	0.042608457328323419
TAF2	0.50228609583431005	0.0014755161027384799	0.042608457328323419
ATP5MF	-0.565311957410354	0.0014757599983279801	0.042608457328323419
CFL1	-0.50823408672859904	0.0014908487518657601	0.042608457328323419
ZFP36	0.62437874424861495	0.00160505337954814	0.044972966262241024
MED12	0.45810079197458797	0.0018724597514581101	0.051456634323723834
COX8A	-0.49675321194326	0.0019792325570970899	0.052756846502655969
EMP3	-0.59417967884966305	0.00199361071458602	0.052756846502655969
MLLT6-1	0.48138304492920803	0.0021124501939765502	0.054885296858045274
TNFAIP3	0.86245835611843202	0.00224542511843663	0.05515508550083683
TMEM59	-0.48607417992674401	0.0022532804230213799	0.05515508550083683
MT-ND3	0.60661674354232697	0.0022632767329298299	0.05515508550083683
SLC25A3	-0.478574307584471	0.0022877502507848198	0.05515508550083683
MICAL3	0.47480224827872097	0.0023684072898143898	0.05515508550083683
ALDOA	-0.56612549809734103	0.0023815254881182002	0.05515508550083683
PSMD13	-0.45570391077863398	0.0023930128068942501	0.05515508550083683
TSPYL1	0.44189601089230501	0.0025894734142761101	0.058441551087815534
RPS27L	-0.53748056833702496	0.0026173962698531799	0.058441551087815534
NBPF10	0.55376663159857398	0.0026743325924302301	0.058794173455119982
NOP10	-0.59266301059109405	0.0029557867321545099	0.063972141760702692
CMBL	0.46780888627219602	0.0029993936304878099	0.063972141760702692
B2M	-0.85125882430120903	0.00305617815735011	0.064224685100783926
ACTB	-0.49476011195493702	0.0032800343084956902	0.067929985896236833
GATD1	0.45816132138926502	0.0033736579277263801	0.06887081683887139
PIM1	-0.83293516143665003	0.0034632165100974702	0.068932436931431834
GPX1	-0.56566377147622804	0.0034731528754815199	0.068932436931431834
TMUB2	-0.52155723085303496	0.0036044192599349501	0.069269170473708619
THOC7	-0.45673195994987098	0.00366745649260762	0.069269170473708619
YBX1	-0.49822121505570899	0.003808224219085	0.069269170473708619
ARIH1	0.46429026161363401	0.0038119386757844301	0.069269170473708619
EIF5A	-0.51348701428251797	0.0038857391519319302	0.069269170473708619
CHCHD2	-0.48729445911187402	0.0039077173406546302	0.069269170473708619
TADA3	-0.47080425649490898	0.0039511898780916497	0.069269170473708619
CHMP2A	-0.45982809975053901	0.0040196608622428704	0.069269170473708619
DCAKD	0.417314476303979	0.0040440669049880799	0.069269170473708619
NFKB2	0.45984744926107002	0.0040622744931269397	0.069269170473708619
UGP2	-0.51045291044915797	0.0040886873197933504	0.069269170473708619
BRI3	-0.55393740287645798	0.0041335130663893004	0.069269170473708619
ATP6V0E1	-0.473493552639286	0.0041539312844305698	0.069269170473708619
ARMC10-1	0.52624745756621305	0.00419738750229285	0.069269170473708619
TRA2A	0.42946711084848599	0.0042441970774810302	0.069269170473708619
MT-ND2	0.52541181407570103	0.00429046617583345	0.069269170473708619
SNX6	-0.431812877879374	0.0043141750679916496	0.069269170473708619
PPP4R2	-0.45310998316678103	0.0044659032011059299	0.070908618604226384
NDUFA4	-0.488888647981993	0.0048288608180497399	0.073248531698369576
MIDN	0.46819977086526499	0.0048493509881624404	0.073248531698369576
PLAT	0.45720629394110801	0.0048958070493070101	0.073248531698369576
PSMA7	-0.44129893497877398	0.0048990452548188703	0.073248531698369576
SNX3	-0.50597579759192002	0.0049334686044519797	0.073248531698369576
COX5B	-0.48489917551589501	0.0049967283492563797	0.073248531698369576
MLH1	0.37694112222366499	0.0050481105290532402	0.073248531698369576
RAB11A	-0.486977307896099	0.0050714431953974397	0.073248531698369576
TPI1	-0.43561888958170197	0.0050746008664370804	0.073248531698369576
ACTR3	-0.46515689898539297	0.0051409596235983401	0.073464313021220279
TRNAU1AP	0.40234911116692701	0.0052422096435228299	0.074169480995981418
PRKACA	0.42911765372397198	0.0054059082667303002	0.07564595819639551
FOXN3	0.43291604276356599	0.0055021243191101304	0.07564595819639551
GABARAP	-0.46386601143870598	0.0055062252409029001	0.07564595819639551
RABAC1	-0.42462827385088497	0.00558753646147342	0.07564595819639551
CAPZA2	-0.42045340437800199	0.0056112467241553003	0.07564595819639551
ANXA5	-0.45910813653500598	0.0057442272876185602	0.076111875122881381
HBB	-1.68546158426617	0.0057523320596719303	0.076111875122881381
ZMAT3	-0.53052309932735797	0.0058087040578856802	0.076152643107510437
SNUPN	0.43634427530689501	0.0059194397960376597	0.076898904259434686
VMP1	-0.51065564389528395	0.0060825665227903503	0.078306194243850546
ARPC3	-0.42479282112272099	0.0063116160545559699	0.080529458410361437
STAU1	-0.43719084113638901	0.0064098037280066501	0.081058491392225693
PRDX6	-0.43899887918234998	0.00656556398696504	0.082299920503272311
WSB1	0.39606166735019499	0.0066912214680466204	0.083145699807292348
ENO1	-0.44990008031828399	0.0069341745218615899	0.085421856825346656
STK3	0.43683580732472099	0.0070602974626384598	0.085755699944918148
IFITM2	-0.78745557655365195	0.0071130202186614703	0.085755699944918148
UBALD2	-0.45283509206292999	0.0071699332214728998	0.085755699944918148
SF3B6	-0.45532306690553698	0.0072013183998531696	0.085755699944918148
IDH2	-0.46417212813568398	0.0074621558363780396	0.088127443720530718
MYL12B	-0.422101970304327	0.0078247859129567197	0.091652615324714359
UBE2L3	-0.44972781467129502	0.00790733008244714	0.091866460876560668
RPL8	-0.52016653324352302	0.0079781014722323206	0.091941185514677309
MAP1LC3B	-0.48726493906497498	0.00851359924466954	0.096725478012113453
FERMT3	-0.45765724827302001	0.0085783935320873101	0.096725478012113453
SRSF9	-0.385831762402298	0.0086477842850045308	0.096725478012113453
WDR45	0.43383800362476099	0.0086875151543642296	0.096725478012113453
GNG5	-0.63638365000459196	0.0087316911571466999	0.096725478012113453
ATP5F1B	-0.44338667953765898	0.0088743891584140595	0.097215813567605502
EIF2AK1	-0.48300868422090099	0.0090415234820578998	0.097215813567605502
NMI	-0.48392618513479801	0.0090755737163799293	0.097215813567605502
CARHSP1	-0.434400041816775	0.0092039002731852393	0.097215813567605502
STK10	0.35528380005517102	0.0092691809323087997	0.097215813567605502
GSTO1	-0.47930183358934603	0.0092828768476423996	0.097215813567605502
FAM89B	-0.44319284961274802	0.0092906352818785901	0.097215813567605502
TNFAIP8L1	0.40645800761212902	0.0093202004609950692	0.097215813567605502
S100A6	-0.62424400747665998	0.0096877547491203107	0.10031740243835452
PGAM1	-0.38123280823457201	0.0098380360247995596	0.10114067251394655
TP53INP1	-0.495285015638528	0.0099317512773155394	0.10137480410917075
UQCRH	-0.41631740151746699	0.0100383202277577	0.10173588372670747
LBR	-0.41153991210188301	0.0102680440507302	0.10300161287180329
CBX3	-0.39676980757255498	0.0103073692376962	0.10300161287180329
ZNF639	-0.40924274050621001	0.010511643423419099	0.10431346147267981
ATP5F1E	-0.41609920060430799	0.0108947364356897	0.10736950597655573
TRIM52	0.40173867640861199	0.0110467631166673	0.10812208557340802
KIF5B	-0.43218393757721701	0.0112764429618904	0.109619299268989
PRKAG2	0.38758570595556202	0.0117243749018081	0.1132035928019174
MGLL	-0.67164235869367594	0.011891304795471101	0.11404479565589398
TSC22D4	-0.40469572997300701	0.0121659881506835	0.11458279956768314
KCNMB1	0.37072344761656101	0.0121862637804239	0.11458279956768314
COX6B1	-0.45049127182620302	0.0121879534879551	0.11458279956768314
CMIP	0.37541698477028601	0.012359395451459299	0.11463366707279131
HLA-A-6	-0.67067105225558099	0.0123941848788686	0.11463366707279131
TMEM167A	-0.39065154537548302	0.012455462252778301	0.11463366707279131
DCUN1D2	0.37566306290464202	0.012514242171697301	0.11463366707279131
SCAND1	-0.413474016884191	0.012750292374642201	0.11605202422524652
TMEM50A	-0.430812468797098	0.0129893700666271	0.11632033809644543
HLA-A-3	-0.66026099902920199	0.0130554469063881	0.11632033809644543
MID1	0.39003439112071397	0.013069451748852301	0.11632033809644543
PDIA5	0.44762133420073602	0.0131743146270802	0.11632033809644543
HBA2	-1.4382086173945201	0.0131867703090442	0.11632033809644543
IER2	0.43510870670958302	0.0133512628322327	0.11682526224130386
MT-ND4	0.48555266849790202	0.013407517849946701	0.11682526224130386
C4orf3	-0.40247405602000003	0.0136886412882006	0.11851135554875027
NRDC	-0.382673797155274	0.0137668894479304	0.11851135554875027
ORC4	0.453488865402562	0.0140172791098631	0.11897054383916446
SLC28A2	0.39834249381120401	0.014051292280571099	0.11897054383916446
NDUFB11	-0.37512022956097901	0.0141279993461432	0.11897054383916446
CAB39	-0.38481740629740302	0.0141532487422379	0.11897054383916446
RPS6KA3	0.34576973482142198	0.0143968334844804	0.12031038040539468
RASGRP2	-0.40902107835705498	0.0146413593951284	0.12148306855600222
SERPINB1	-0.38049802738894301	0.0147071874458981	0.12148306855600222
HMGN2	-0.37536264794212998	0.0148962472259798	0.12233757060876514
PPIA	-0.371021022459115	0.0150769325169433	0.12247855418966809
ATG2A	0.36991042706735	0.0150917804423218	0.12247855418966809
ZMAT2	-0.41115303137967302	0.0151705417015894	0.12247855418966809
TMSB4XP4	-0.78635711081823301	0.0156640948405193	0.12557461186983376
TMEM120B	0.34576250698363098	0.015766246271027101	0.12557461186983376
PSMD4	-0.37064562150707198	0.015817655798859399	0.12557461186983376
JUNB	0.41713613067155098	0.016380214026695698	0.12932224223286273
PDCD10	-0.43194069828356702	0.0166033196649331	0.13036342747906265
TKT	-0.40389824876493502	0.016888454928461302	0.13127556484357839
SUMO1	-0.38854616829958299	0.0169032217853173	0.13127556484357839
KDM6A	0.36172112881589502	0.0178574900125179	0.13793704447507069
TSPO	-0.62899900881121695	0.018179661005381799	0.13967062138005693
INTS6	0.41153915311981099	0.018505455676658501	0.14141334845959891
VIM	-0.45198617259848001	0.018737233200015999	0.14242290554693013
RIOK3	-0.38783810357190501	0.0189465174872291	0.14254496308246969
UBE2D2	-0.343178194200496	0.019148892734107699	0.14254496308246969
GUK1	-0.41015857714198201	0.0193510250997081	0.14254496308246969
CLTC	-0.38181726644956498	0.019399386464056	0.14254496308246969
PSMA4	-0.349846457809944	0.019489293154440802	0.14254496308246969
MYL12A	-0.50253990893830702	0.0195048967943495	0.14254496308246969
CHD1	0.362010696589532	0.019513085881528999	0.14254496308246969
B2M-1	0.75780089880068902	0.019680320044527501	0.14254496308246969
SETD6	0.35413231696936698	0.019740848833804499	0.14254496308246969
LIMS1	-0.45618325066156501	0.0198203556067231	0.14254496308246969
MOB1A	-0.334197157047463	0.019919247223894401	0.14254496308246969
GNPTG	0.325871574340653	0.019958714442574899	0.14254496308246969
RPLP1	-0.40875075119479098	0.0203534882754999	0.14254496308246969
CORO1A	-0.4050120158753	0.0203972869771047	0.14254496308246969
RHAG	0.64141660643355303	0.0204216986349957	0.14254496308246969
ARPC2	-0.36731954898939101	0.020521492272781699	0.14254496308246969
