gene	log2_fold_change	p_value	fdr
CFLAR	-0.060713300201096866	0.5632345947869818	0.7821790436837677
ARF5	0.10933444685227513	0.45598860936184726	0.7075002418871659
SKAP2	-0.09377754352544652	0.5338866168883372	0.760642049385278
POLR2J	-0.010078564040611186	0.9326240693443989	0.9713701130416517
KMT2E	0.0532852911864848	0.6060645731601415	0.8026564180220965
MYCBP2	0.07560513788008065	0.5870705447000297	0.7914375550720212
FBXL3	0.10638913614892496	0.5081388867749325	0.7408487343824068
ITGAL	0.2030728320989028	0.20271861162564753	0.4593219657921225
KDM7A	0.09152895413052527	0.6374216976807594	0.8256772943880824
IFRD1	0.04699359014769413	0.8499079714515442	0.9320940070638961
PAFAH1B1	-0.19615778856674163	0.13169055523388165	0.3712406666687118
PSMB1	-0.3621461968082979	0.0011958147951801217	0.0262895283432676
JARID2	-0.05768172739983859	0.7460574223942686	0.899223668871252
CDKL5	0.8780205413253981	2.4536102506634612e-06	0.0005596566400189177
SPAG9	0.34427379675495245	0.0037661317649421125	0.0463948473457093
ST3GAL1	-0.11295089361243095	0.5756949127892907	0.7905874410919089
SEC62	-0.0029263012221274333	0.9849832158657822	0.9926241293880133
RPS20	0.11419997425711606	0.2299226590944502	0.49038728335219306
CSDE1	0.07359444113917323	0.43125862695155215	0.6814183346549533
ZNF207	0.04789236335173068	0.5605400833572747	0.7814749064561419
IDS	0.3566401756871674	0.05255520397309897	0.21887359117062538
BTK	0.31751803787856375	0.019759617422917305	0.12952519861169187
AKAP8L	0.031155785742857125	0.8296373371055747	0.9318325048557312
SLC25A39	-0.303166385661048	0.12148088843394812	0.35646034819735495
CLK1	0.34824439732967666	0.01711869567986893	0.11875056372103254
RNF14	-0.18188840922752472	0.3484770011042465	0.6147822649110719
CAPN1	-0.05927592849626152	0.7410863945983035	0.8976497533084471
WAS	-0.24645825217605152	0.06698003280745386	0.24947453843337963
RALBP1	-0.3244292224573355	0.0623784028453068	0.2409155072052525
CD74	0.20147298405783864	0.32347567937387567	0.5957232434678605
SERPINB1	-0.29824736581159605	0.01998724002124176	0.13017873043723033
RTF2	-0.15085924315196958	0.38898443562707885	0.6426112815157174
RNF10	0.1992632748133437	0.06079220262257299	0.2367086036720894
RB1CC1	0.2009337746795205	0.21995990032262802	0.4776940692416952
STRAP	-0.197894939707814	0.32349981590696975	0.5957232434678605
UBR2	0.1539606871294561	0.35026805051122345	0.6148727889153027
PHF20	0.1734815522424003	0.1431365434786081	0.38393214769615785
TYMP	-0.26457707274921227	0.13000227664256372	0.36933052350342654
VIM	-0.3473405177881808	0.036526773922219834	0.18061162607215273
RNASET2	-0.0860056842954071	0.47927366280045447	0.7198763841909652
PIAS1	0.04824089699201473	0.7353926582542325	0.8951244537012761
MAP2K3	0.0570215878840807	0.6851429553163318	0.864138820076821
TMSB10	-0.35928170183418956	0.035381325812981194	0.17678291813548994
GABARAPL2	-0.04178959752161353	0.7183832049106527	0.8860851287990156
CUL3	-0.1373276501088406	0.32794930089206775	0.5992833132669627
BOD1L1	0.006102729392057551	0.9519731556122413	0.973799922131303
PSMA4	-0.349626825322504	0.016207937664159917	0.11522956677653991
AP2S1	-0.2122361927088274	0.10756713823361189	0.32934419650413477
DCUN1D1	-0.2599303868789429	0.15708141946045967	0.40591202243941565
TPR	0.16286675942243453	0.30857766365659234	0.578684358747074
RSF1	-0.09593753928045008	0.41663582659009313	0.6704646353572558
CELF2	0.12902020177284765	0.3111284937367602	0.5819405988872125
ARID1B	0.03163323995554288	0.8273596975966899	0.9318325048557312
CYBA	-0.31229837409953	0.00669076193949297	0.06548697816120175
FOXN3	0.4521450177881911	0.002389812037112453	0.03794490445592995
THRAP3	-0.30057551632136376	0.03450329335892064	0.17484115677268652
ARID4B	-0.0051041521539186676	0.9670821359731204	0.9840018571903497
SZRD1	-0.13463645338582186	0.348404364336779	0.6147822649110719
TAB2	0.2654801760644826	0.044809792802798565	0.2007310154081478
KMT2C	0.19985800599245	0.024203570987947697	0.14532312160410613
PITHD1	0.204267702574481	0.325282161335128	0.5966985989061591
ATP11B	0.3122842408609192	0.018969847422857976	0.12608331147564675
PPP1R12A	-0.05269065839371024	0.6818172246742897	0.8622272690792566
TARBP1	0.28786789819441894	0.042011095426895365	0.19491511482153726
SLC2A3	0.17009042060851262	0.3675930479683588	0.6246022182482577
YBX3	0.10114459334806403	0.6104628488497363	0.8054953010214896
