gene	log2_fold_change	p_value	fdr
CFLAR	-0.060713300201096866	0.56323459478698179	0.78217904368376767
ARF5	0.10933444685227513	0.45598860936184726	0.70750024188716587
SKAP2	-0.093777543525446524	0.53388661688833716	0.76064204938527802
POLR2J	-0.010078564040611186	0.9326240693443989	0.97137011304165166
KMT2E	0.053285291186484798	0.60606457316014151	0.80265641802209653
MYCBP2	0.07560513788008065	0.58707054470002973	0.79143755507202118
FBXL3	0.10638913614892496	0.50813888677493246	0.74084873438240684
ITGAL	0.20307283209890281	0.20271861162564753	0.45932196579212248
KDM7A	0.091528954130525267	0.6374216976807594	0.82567729438808235
IFRD1	0.04699359014769413	0.84990797145154418	0.93209400706389611
PAFAH1B1	-0.19615778856674163	0.13169055523388165	0.37124066666871181
PSMB1	-0.3621461968082979	0.0011958147951801217	0.026289528343267601
JARID2	-0.057681727399838588	0.74605742239426864	0.89922366887125205
CDKL5	0.87802054132539809	2.4536102506634612e-06	0.0005596566400189177
SPAG9	0.34427379675495245	0.0037661317649421125	0.046394847345709297
ST3GAL1	-0.11295089361243095	0.57569491278929075	0.79058744109190893
SEC62	-0.0029263012221274333	0.98498321586578219	0.99262412938801325
RPS20	0.11419997425711606	0.2299226590944502	0.49038728335219306
CSDE1	0.073594441139173225	0.43125862695155215	0.68141833465495327
ZNF207	0.04789236335173068	0.56054008335727468	0.78147490645614193
IDS	0.35664017568716738	0.052555203973098971	0.21887359117062538
BTK	0.31751803787856375	0.019759617422917305	0.12952519861169187
AKAP8L	0.031155785742857125	0.82963733710557475	0.93183250485573121
SLC25A39	-0.30316638566104798	0.12148088843394812	0.35646034819735495
CLK1	0.34824439732967666	0.017118695679868932	0.11875056372103254
RNF14	-0.18188840922752472	0.34847700110424651	0.61478226491107191
CAPN1	-0.059275928496261517	0.7410863945983035	0.8976497533084471
WAS	-0.24645825217605152	0.066980032807453863	0.24947453843337963
RALBP1	-0.32442922245733552	0.062378402845306803	0.24091550720525251
CD74	0.20147298405783864	0.32347567937387567	0.59572324346786054
SERPINB1	-0.29824736581159605	0.019987240021241762	0.13017873043723033
RTF2	-0.15085924315196958	0.38898443562707885	0.64261128151571745
RNF10	0.19926327481334369	0.06079220262257299	0.2367086036720894
RB1CC1	0.2009337746795205	0.21995990032262802	0.47769406924169522
STRAP	-0.19789493970781399	0.32349981590696975	0.59572324346786054
UBR2	0.1539606871294561	0.35026805051122345	0.61487278891530273
PHF20	0.17348155224240031	0.1431365434786081	0.38393214769615785
TYMP	-0.26457707274921227	0.13000227664256372	0.36933052350342654
VIM	-0.34734051778818081	0.036526773922219834	0.18061162607215273
RNASET2	-0.0860056842954071	0.47927366280045447	0.71987638419096522
PIAS1	0.048240896992014733	0.7353926582542325	0.89512445370127613
MAP2K3	0.057021587884080703	0.68514295531633185	0.86413882007682097
TMSB10	-0.35928170183418956	0.035381325812981194	0.17678291813548994
GABARAPL2	-0.041789597521613528	0.71838320491065266	0.88608512879901558
CUL3	-0.1373276501088406	0.32794930089206775	0.59928331326696271
BOD1L1	0.0061027293920575508	0.95197315561224127	0.97379992213130295
PSMA4	-0.349626825322504	0.016207937664159917	0.11522956677653991
AP2S1	-0.2122361927088274	0.10756713823361189	0.32934419650413477
DCUN1D1	-0.25993038687894288	0.15708141946045967	0.40591202243941565
TPR	0.16286675942243453	0.30857766365659234	0.57868435874707402
RSF1	-0.095937539280450082	0.41663582659009313	0.67046463535725576
CELF2	0.12902020177284765	0.31112849373676021	0.5819405988872125
ARID1B	0.031633239955542881	0.82735969759668992	0.93183250485573121
CYBA	-0.31229837409952999	0.0066907619394929703	0.065486978161201748
FOXN3	0.45214501778819111	0.0023898120371124531	0.037944904455929948
THRAP3	-0.30057551632136376	0.034503293358920641	0.17484115677268652
ARID4B	-0.0051041521539186676	0.96708213597312043	0.98400185719034972
SZRD1	-0.13463645338582186	0.34840436433677902	0.61478226491107191
TAB2	0.2654801760644826	0.044809792802798565	0.20073101540814781
KMT2C	0.19985800599244999	0.024203570987947697	0.14532312160410613
PITHD1	0.20426770257448101	0.325282161335128	0.59669859890615906
ATP11B	0.31228424086091922	0.018969847422857976	0.12608331147564675
PPP1R12A	-0.052690658393710239	0.68181722467428973	0.86222726907925662
TARBP1	0.28786789819441894	0.042011095426895365	0.19491511482153726
SLC2A3	0.17009042060851262	0.36759304796835879	0.62460221824825768
YBX3	0.10114459334806403	0.61046284884973634	0.80549530102148958
WNK1	0.079694188886961045	0.48223968357184532	0.72310651398128756
GPBP1	-0.022158025406521821	0.84651609194895749	0.93183250485573121
VMP1	-0.32465940972563134	0.17762396286394433	0.43290535610169656
EIF4B	0.092106861002798718	0.38772223270408013	0.64201051046828572
RPL18	-0.13149105443393774	0.34701825079783732	0.61372410939369992
EPN1	0.091843943678010798	0.56495462294830112	0.782992302430497
TAF2	0.52420198907261395	3.7144079789112399e-05	0.0033174306261651012
CNN2	-0.30118234731475296	0.05282638146622861	0.21887359117062538
GNAI3	-0.028715359209829334	0.80810629505942433	0.92028804887013227
PKN2	0.32693933129338176	0.024780308726087372	0.14643614070943733
PDIA5	0.44813793618879305	0.044090444364193133	0.19938368669756959
NDUFB4	-0.28479237095166149	0.032501958991723034	0.17008796202478518
SPEN	0.24209291519626713	0.10699866613460067	0.32934419650413477
ZC3H15	-0.29710344453473275	0.012842948524009646	0.099203099680052892
SLK	0.0088597029789695136	0.9595335195783038	0.97801241046889875
CYB5R4	0.19801761502224902	0.15514703329792656	0.40236862174725418
FAM107B	-0.047530710034591035	0.75681193484899134	0.90220298357302842
YBX1	-0.34819984191161457	0.0022131353275694739	0.036774074222055565
PPP2R5A	0.0061282705048989654	0.96984348659477315	0.98430848177835994
ELAVL1	0.031972663240656	0.8386623931172672	0.93183250485573121
SP100	-0.18719008431376452	0.29235810791788897	0.56304546659658128
KLF6	-0.30516666766367412	0.22136944270667602	0.48002569594512906
TRAM1	-0.12432392422734465	0.2996413224830109	0.56864203164438587
RHOA	-0.13564820728924215	0.29652303745665654	0.56757544653004521
ROCK1	-0.014644050002409113	0.88595469569635055	0.9519820947079467
MEF2A	-0.092026902572997921	0.58668728100741141	0.79143755507202118
OTUD5	0.35529951659238546	0.014344871170790472	0.10621150726973878
GRIPAP1	0.26388044355022106	0.077700709852609559	0.27147754126987544
PRR11	0.54519215820936107	0.0005956772928359061	0.018849298078913324
KIF2A	-0.22513749937596292	0.13574014906812454	0.37446461972654432
RASGRP2	-0.30265225921919914	0.068362184855495722	0.25118658380735576
PSME4	-0.073990175563942745	0.68365750886183907	0.86379007972021926
GNB5	0.30332156927692228	0.058486557568716874	0.23087649382789066
RAB27A	-0.36792734535346222	0.074449521634411112	0.26530764692162961
UFD1	-0.77702960820944922	3.1331372429330592e-06	0.0005596566400189177
DAPP1	-0.084765982356684574	0.62887488621636844	0.82295074395896572
PABPC1	0.13856752048324422	0.19538817437457523	0.45697168769438301
CDC42	-0.096225607296135288	0.29721905846231134	0.56757544653004521
MAP4K4	0.12329299097363677	0.39153464714472908	0.64607737964182199
MGAT4A	0.33019198039632641	0.010161550508440797	0.084423579514894764
RPL31	0.023278786533642324	0.83185554425489749	0.93183250485573121
WDR1	-0.035692198297465352	0.8088773294214654	0.92028804887013227
FAM50A	-0.086242713608516902	0.54737194947137757	0.77445001563821647
PRKACA	0.45165452937055955	0.0024575591684467195	0.038150990038284545
ACTN1	0.30610994995521829	0.068442379268389586	0.25118658380735576
PTPN18	0.012628093979177234	0.9432046398671543	0.97379992213130295
AFF4	0.10001176790063515	0.36399103945841549	0.62427834782395752
CHFR	0.19221645686753958	0.20111428362656703	0.45902668908663496
STK10	0.36117166103338016	0.00062652634612140614	0.018849298078913324
AP1M1	0.087278278803524373	0.57662833195659347	0.79058744109190893
KDM5A	-0.13509332969948107	0.33331011108593589	0.60190184449352768
NCBP3	0.021788385095609705	0.87552799825871719	0.94854397991789752
MGLL	-0.61954604119232448	0.031763435329113847	0.16873587020558992
ZZEF1	0.022122007198186387	0.8996119364416767	0.95706220581354362
ENO1	-0.37356767972112809	0.0070066928150611142	0.066162189813931183
EIF4G3	-0.13368237471643912	0.37340810613831432	0.62850433883586709
MARK3	-0.13206341991405385	0.39748752647380736	0.6513872423521454
SLC25A3	-0.42347646380176901	0.00099380060856631126	0.023669017827354314
ACTB	-0.29742519799857947	0.027002190083016984	0.15434451851452508
RAB7A	-0.094680812629495861	0.4269245473172868	0.67560927809125459
MLH1	0.37888471136539553	0.0011251315157771618	0.025520840254691497
ANKRD13A	-0.023632139277237198	0.88074853550469023	0.95031947404103001
ICAM3	0.039975978574937114	0.76588411660019906	0.90301023318620821
STXBP2	-0.34083350346869601	0.2252047766529589	0.48539611740132466
NFKB2	0.50024489812074324	0.004316427765047693	0.050558813739779947
USP33	0.21550349748887357	0.12593652795849228	0.36356221909633429
CAPZB	-0.1342576555848865	0.19000040936281404	0.44877782641233266
ACER3	-0.031021041424320564	0.87192825981018296	0.94751747777091366
PIK3C3	0.3248849879112819	0.031436263569239772	0.16824876644360912
PPP2R5C	0.29808070098445472	0.01420835520911343	0.10603175408411243
GNB1	-0.030924698923444006	0.81377347896439534	0.92365552139803098
NRDC	-0.3248784487477181	0.011302712012454384	0.090739188010097269
PCM1	-0.089152239910941011	0.46358721991034491	0.70851993288971427
MYH7B	0.10199119506755622	0.63522383907059399	0.82567729438808235
XRCC5	-0.10451157922279931	0.47359789232012284	0.71767909663356899
SAR1A	0.28610115343449422	0.035351393348826983	0.17678291813548994
OPHN1	0.58940056418935893	0.00017607658901737895	0.0093190165076235017
DNM2	-0.16502612002993405	0.27433921112098969	0.54222784604688001
RAB21	-0.0038182974229461894	0.97924893584312622	0.98986469280591072
SMARCA2	0.068493973872556971	0.74233764683161307	0.89782095602719048
HSP90AA1	0.059372050927287763	0.84599552030522096	0.93183250485573121
PTPRC	0.070188939440997675	0.5824109233950614	0.79058744109190893
STK17B	-0.092204599151312072	0.51229583598899864	0.74473117968288816
GSK3B	-0.10434539084738187	0.55606451389606204	0.77903548074262019
KAT6A	0.059867461650725415	0.68734102305349998	0.86538354356251235
TUT7	0.030487129310719605	0.83136489054135221	0.93183250485573121
CYLD	0.21799234729800376	0.077532993898433003	0.27147754126987544
RPS5	-0.14140864638981335	0.3195274946839799	0.59069183687374804
CHMP2B	-0.10054464346156332	0.43431018105785268	0.68384528109170795
SMAP2	-0.29444911638199106	0.069565297861316502	0.25359390470362575
APLP2	-0.014443724406086302	0.9270411980991029	0.96767119947671154
WBP11	-0.16009373784126404	0.19831556283189833	0.45856462667764197
EIF3I	-0.18627114305180423	0.1454405087834609	0.38775090867829404
NCOA1	0.25872887064747457	0.083163142720849001	0.28494930770487054
CD82	0.32251501000946542	0.017203908763876397	0.11876514793999697
ATRX	-0.043380775343654053	0.75118706420572445	0.89922366887125205
EPS15	0.11472108624651295	0.35996262841581461	0.62123985024903272
DNAJA1	0.62814813442268946	0.0066209709260951896	0.065250810023379485
B4GALT1	0.029141413431959112	0.84901743969360544	0.93183250485573121
CHMP5	-0.55645513426218618	0.0053376898395483567	0.057350066020410539
EIF2AK1	-0.26690115229201461	0.086242198005129569	0.28727296258585117
TMED2	-0.10817108895270991	0.36113018718658929	0.62175305721642904
ZFAND6	-0.22339789618329109	0.12658639010447553	0.36426613696411753
PPP1R15A	0.56130303915570501	0.013676462600908297	0.1039556651952019
FTL	-0.19222810971434395	0.057064251064138712	0.22714433083747693
BAX	-0.28247345072356783	0.038816853863750125	0.18893083559258558
UIMC1	0.054749686193663029	0.75854251398794437	0.90220298357302842
ADD1	-0.1474711233122471	0.2607536779922458	0.52703961223609519
SF3B2	-0.087547470475132866	0.40248811541863749	0.65724318745315413
GNAS	-0.14481995955049359	0.17667632444906112	0.43231244458511703
FKBP1A	-0.21871128493524181	0.067015768082905727	0.24947453843337963
MAVS	0.063910205580237259	0.8039714843712521	0.92028804887013227
DYNLL1	-0.22662853460080112	0.30265236274603735	0.57056758095526039
RPL6	-0.16135262563109504	0.20282166579064331	0.45932196579212248
P2RX7	0.65651025725054779	0.00051012848103108865	0.017357547257437184
ANAPC5	0.27946124768222802	0.15240270405930853	0.39934178977106166
FUS	0.082998729963547388	0.43202590006815089	0.68141833465495327
IGBP1	-0.19752953917109731	0.18485424781905191	0.44292220689705847
FXYD5	-0.21754158518475836	0.16156203928348767	0.41513079862587893
MLF2	0.12880826103451626	0.32451137431758037	0.59669859890615906
ARHGAP4	-0.05036608033919892	0.71481332522111929	0.88454817560147092
GPATCH2L	0.29226253740345942	0.083717833166447875	0.28494930770487054
PAPOLA	0.023686823795301105	0.83356292804856369	0.93183250485573121
YPEL3	-0.017598022909284264	0.89036346768127761	0.95277493351924936
NUDC	-0.16637541682063731	0.23424527026112341	0.49743680615326508
GNPTG	0.33149458900961948	0.034066474106132852	0.17386068392022802
OSBPL8	-0.17271738126564495	0.14907657771480959	0.39377158882525487
TXNL1	-0.53613785689249605	0.00025722354509960873	0.012101257492405417
CMTM6	-0.12551431506506802	0.32731084963395929	0.59928331326696271
