bioproject	run_accession	study_accession	experiment_accession	sample_accession	biosample	organism_taxid	organism_name	library_strategy	library_source	library_selection	library_layout	instrument_model	run_total_spots	run_total_bases	ena_study_accession	first_public	last_updated	experiment_title	study_title	sample_title
PRJNA1339024	SRR35763867	SRP630949	SRX30813160	SRS26825020	SAMN52624393	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	97618	26084593	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763868	SRP630949	SRX30813159	SRS26825017	SAMN52624392	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	75238	20867346	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763869	SRP630949	SRX30813158	SRS26825015	SAMN52624391	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	69223	18905752	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763874	SRP630949	SRX30813153	SRS26825012	SAMN52624388	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	91086	25378645	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763870	SRP630949	SRX30813157	SRS26825014	SAMN52624390	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	71826	20140533	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763873	SRP630949	SRX30813154	SRS26825013	SAMN52624389	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	96090	25910706	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763863	SRP630949	SRX30813164	SRS26825019	SAMN52624397	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	79346	21133174	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763864	SRP630949	SRX30813163	SRS26825021	SAMN52624396	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	63845	17520803	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763865	SRP630949	SRX30813162	SRS26825022	SAMN52624395	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	87173	23623090	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763866	SRP630949	SRX30813161	SRS26825023	SAMN52624394	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	100257	27559454	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763871	SRP630949	SRX30813156	SRS26825016	SAMN52624399	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	85476	23646927	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
PRJNA1339024	SRR35763872	SRP630949	SRX30813155	SRS26825018	SAMN52624398	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	77527	21268792	PRJNA1339024	2025-11-01	2025-11-01	Illumina iSeq 100 sequencing: Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Pathogen: clinical or host-associated sample from Influenza A virus
