query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	4.94065645841247e-324	20864	6267	3655	0.583213658847934	0.17518213190184	GO:0008150	GO:BP	biological_process	59218	2984	
query_1	TRUE	4.76421166644035e-307	20132	6267	3505	0.559278761767991	0.174100933836678	GO:0009987	GO:BP	cellular process	59218	3649	GO:0008150
query_1	TRUE	8.08378161948586e-300	12752	6267	2576	0.41104196585288	0.202007528230866	GO:0065007	GO:BP	biological regulation	59218	14784	GO:0008150
query_1	TRUE	2.13385642595827e-292	12348	6267	2506	0.399872347215574	0.202947845804989	GO:0050789	GO:BP	regulation of biological process	59218	12397	GO:0008150,GO:0065007
query_1	TRUE	1.9894211362024e-276	11914	6267	2413	0.385032711026009	0.202534832969616	GO:0050794	GO:BP	regulation of cellular process	59218	12401	GO:0009987,GO:0050789
query_1	TRUE	8.74535655067399e-241	9020	6267	1935	0.308760172331259	0.214523281596452	GO:0050896	GO:BP	response to stimulus	59218	12476	GO:0008150
query_1	TRUE	3.76862999055157e-196	7399	6267	1603	0.255784266794319	0.216650898770104	GO:0051716	GO:BP	cellular response to stimulus	59218	12983	GO:0009987,GO:0050896
query_1	TRUE	1.74866280107907e-189	6537	6267	1461	0.23312589755864	0.223497016980266	GO:0023052	GO:BP	signaling	59218	6205	GO:0050789
query_1	TRUE	1.23003849001742e-188	6577	6267	1465	0.233764161480772	0.222745932796108	GO:0007154	GO:BP	cell communication	59218	2584	GO:0009987
query_1	TRUE	6.05848649287485e-172	7330	6267	1537	0.245252912079145	0.20968622100955	GO:0032501	GO:BP	multicellular organismal process	59218	7116	GO:0008150
query_1	TRUE	6.91395745462015e-172	6043	6267	1348	0.215094941758417	0.223068012576535	GO:0007165	GO:BP	signal transduction	59218	2595	GO:0007154,GO:0009987,GO:0023052,GO:0050794,GO:0051716
query_1	TRUE	2.91815688411104e-167	6532	6267	1410	0.22498803255146	0.21586037966932	GO:0032502	GO:BP	developmental process	59218	7117	GO:0008150
query_1	TRUE	2.40560031539496e-166	6134	6267	1349	0.21525450773895	0.219921747636127	GO:0048518	GO:BP	positive regulation of biological process	59218	11952	GO:0008150,GO:0050789
query_1	TRUE	5.00193189746783e-158	5946	6267	1302	0.207754906653901	0.218970736629667	GO:0048856	GO:BP	anatomical structure development	59218	12247	GO:0032502
query_1	TRUE	9.782312884304e-153	5726	6267	1257	0.200574437529919	0.219524973803702	GO:0048522	GO:BP	positive regulation of cellular process	59218	11956	GO:0009987,GO:0048518,GO:0050794
query_1	TRUE	1.99373935278443e-150	13968	6267	2356	0.375937450135631	0.168671248568156	GO:0008152	GO:BP	metabolic process	59218	2985	GO:0009987
query_1	TRUE	5.67684277139183e-146	3985	6267	973	0.155257699058561	0.244165621079046	GO:0048583	GO:BP	regulation of response to stimulus	59218	12005	GO:0050789,GO:0050896
query_1	TRUE	7.48569437735909e-132	2902	6267	766	0.12222754108824	0.263955892487939	GO:0002376	GO:BP	immune system process	59218	867	GO:0008150
query_1	TRUE	2.06209539391388e-130	6872	6267	1368	0.218286261369076	0.19906868451688	GO:0019222	GO:BP	regulation of metabolic process	59218	5276	GO:0008152,GO:0050794
query_1	TRUE	3.67541861124021e-130	12113	6267	2062	0.329025051858944	0.170230331049286	GO:0044238	GO:BP	primary metabolic process	59218	10236	GO:0008152
query_1	TRUE	1.14813684094954e-126	3466	6267	849	0.135471517472475	0.244950952106174	GO:0023051	GO:BP	regulation of signaling	59218	6204	GO:0023052,GO:0050789
query_1	TRUE	3.45094899240775e-125	3473	6267	847	0.135152385511409	0.243881370572992	GO:0010646	GO:BP	regulation of cell communication	59218	4105	GO:0007154,GO:0050794
query_1	TRUE	4.7426990373404e-124	4688	6267	1034	0.164991223871071	0.220563139931741	GO:0007275	GO:BP	multicellular organism development	59218	2666	GO:0032501,GO:0048856
query_1	TRUE	6.39624882145422e-124	5477	6267	1151	0.183660443593426	0.21015154281541	GO:0051179	GO:BP	localization	59218	12665	GO:0008150
query_1	TRUE	7.26768557352663e-124	5739	6267	1189	0.189723950853678	0.207178951036766	GO:0048519	GO:BP	negative regulation of biological process	59218	11953	GO:0008150,GO:0050789
query_1	TRUE	9.56739808905412e-120	3971	6267	914	0.145843306207117	0.230168723243515	GO:0006950	GO:BP	response to stress	59218	2451	GO:0050896
query_1	TRUE	6.50216113462832e-118	4441	6267	982	0.156693792883357	0.221121369061022	GO:0030154	GO:BP	cell differentiation	59218	6252	GO:0048869
query_1	TRUE	7.27416789080061e-118	4442	6267	982	0.156693792883357	0.221071589374156	GO:0048869	GO:BP	cellular developmental process	59218	12259	GO:0009987,GO:0032502
query_1	TRUE	1.03634847989635e-117	5195	6267	1094	0.174565182703048	0.210587102983638	GO:0080090	GO:BP	regulation of primary metabolic process	59218	16617	GO:0019222,GO:0044238
query_1	TRUE	1.36220523349097e-117	2827	6267	725	0.115685335886389	0.256455606650159	GO:0007166	GO:BP	cell surface receptor signaling pathway	59218	2596	GO:0007165
