Wheat cluster	Top DEGs and corresponding descriptions
0	TraesCS3A03G0812200: NAC domain-containing protein 68-like
1	TraesCS4B03G0721800: expansin-A31-like 
2	TraesCS1B03G0646400:14 kDa proline-rich protein DC2.15-like
3	TraesCS5A03G1092000: histone H2A.1-like
4	TraesCS3D03G0013700: WALLS ARE THIN 1-like
5	TraesCS5A03G0602000: ERF109-like
6	TraesCS4B03G0840800: defensin Ec-AMP-D2-like 
7	TraesCS3D03G1015700: chitinase CLP-like
8	TraesCS7D03G0043000: expansin-A17-like
9	TraesCS6D03G0764800: MYB36-like
10	TraesCS5D03G0377000: cysteine protease XCP1-like
11	TraesCS6A03G0965900: putative F-box protein PP2-B12
12	TraesCS2D03G0803000: uncharacterized protein LOC119355610
13	TraesCS3D03G0599200: membrane protein PM19L-like
14	TraesCS3D03G0697200: uncharacterized protein LOC119269146
