Supplementary Table 3. Associations observed at p<5x10-8 and variant features.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
E: Credible sets with multiple causal candidates						
Credible sets were obtained using FINEMAP v1.310, setting at most ten causal variants for each association profile.						
"""Reported credible set size"" is referred to the first 25 SNPs in the credible set"						
						
Locus	Trait Short Name	Trait	Number of predicted causal variants	Number of configurations in credible set	Probability of the best configuration	Best configuration
1	HVEM1000_150630.trait11	HVEM on EM CD8br	1	39	0.046	1:2488608
1	HVEM1000_150630.trait1	HVEM on T cell	2	8404	0.027	1:2488608
1	HVEM1000_150630.trait2	HVEM on CD4+	3	40214	0.0024	1:2488608,1:2630029
1	HVEM1000_150630.trait3	HVEM on CM CD4+	3	37605	0.0022	1:2488608,1:2728291
1	HVEM1000_150630.trait5	HVEM on EM CD4+	2	7450	0.0053	1:2430936,1:2498028
1	HVEM1000_150630.trait7	HVEM on CD45RA- CD4+	3	38689	0.0034	1:2430936,1:2488608
1	HVEM1000_150630.trait9	HVEM on CM CD8br	2	5436	0.019	1:2488608
4	Blue.670.LP.TBNK.trait11	CD45 on NK	2	741	0.071	1:25069635
5	Violet.450.50.cDC.trait1	CD11c on myeloid DC	3	14532	0.02	1:25424889,1:25516110,1:25568026
5	Violet.450.50.cDC.trait2	CD11c on CD62L+ myeloid DC	3	10699	0.032	1:25531822,1:25568026
8	Red.780.60.cDC.trait1	CD80 on myeloid DC	1	3	0.51	1:92842367
8	Red.780.60.cDC.trait2	CD80 on CD62L+ myeloid DC	1	2	0.58	1:92842367
8	Red.780.60.cDC.trait5	CD80 on monocyte	1	2	0.79	1:92842367
12	mono.trait2	CD64 on CD14+ CD16- monocyte	2	1	0.99	1:149722958,1:149738590
12	mono.trait24	CD64 on CD14- CD16+ monocyte	2	2	0.64	1:149722958,1:149738590
12	mono.trait42	CD64 on CD14- CD16-	2	4	0.61	1:149722958,1:149738590
12	mono.trait48	CD64 on monocyte	2	1	0.98	1:149722958,1:149738590
12	mono.trait6	CD64 on CD14+ CD16+ monocyte	3	245	0.23	1:149722958,1:149738590
15	Bcells.trait156	BAFF-R on naive-mature B cell	2	619	0.15	1:161479745
15	Bcells.trait537	CD27 on CD24+ CD27+	1	3	0.83	1:161479745
15	Bcells.trait565	CD27 on IgD- CD38-	1	3	0.81	1:161479745
15	Bcells.trait567	CD27 on IgD- CD38dim	2	406	0.11	1:161479745
15	Bcells.trait574	CD27 on sw mem	1	1	0.97	1:161479745
15	Blue.585.42.TBNK.trait2	CD16-CD56 on NK	2	71	0.036	1:161508763,1:161520931
