sample	top_taxonomy_name	identity	shared_hashes	median_multiplicity	pvalue	full_taxonomy	taxonomic_subspecies	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_kingdom	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_parvorder	taxonomic_superfamily	taxonomic_subfamily	taxonomic_suborder	match_comment	taxonomic_superorder	taxonomic_subclass	taxonomic_varietas	taxonomic_subkingdom	taxonomic_tribe	taxonomic_subphylum	taxonomic_infraorder
contaminated.rna.q1	Homo sapiens	0.993609	361/400	17	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens		Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA30353		9606		./rcn/refseq-NC-9606-PRJNA30353-.-.-.-Homo_sapiens.fna	Catarrhini	Hominoidea	Homininae	Haplorrhini		Euarchontoglires					Craniata	Simiiformes
contaminated.rna.q1	Homo sapiens neanderthalensis	0.982994	304/400	18	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens; neanderthalensis	Homo sapiens neanderthalensis	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA30941		63221		./rcn/refseq-NC-63221-PRJNA30941-.-.-.-Homo_sapiens_neanderthalensis.fna	Catarrhini	Hominoidea	Homininae	Haplorrhini		Euarchontoglires					Craniata	Simiiformes
contaminated.rna.q1	Homo sapiens ssp. Denisova	0.9727290000000001	257/400	16	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens; ssp. Denisova	Homo sapiens ssp. Denisova	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA46861		741158		./rcn/refseq-NC-741158-PRJNA46861-.-.-.-Homo_sapiens_ssp._Denisova.fna	Catarrhini	Hominoidea	Homininae	Haplorrhini		Euarchontoglires					Craniata	Simiiformes
contaminated.rna.q1	Pan troglodytes	0.925049	115/400	17	5.859779999999998e-256	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan; troglodytes		Pan troglodytes	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA10627		9598		./rcn/refseq-NC-9598-PRJNA10627-.-.-.-Pan_troglodytes.fna	Catarrhini	Hominoidea	Homininae	Haplorrhini		Euarchontoglires					Craniata	Simiiformes
contaminated.rna.q1	Pan paniscus	0.921956	109/400	14	9.765229999999996e-240	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan; paniscus		Pan paniscus	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11815		9597		./rcn/refseq-NC-9597-PRJNA11815-.-.-.-Pan_paniscus.fna	Catarrhini	Hominoidea	Homininae	Haplorrhini		Euarchontoglires					Craniata	Simiiformes
contaminated.rna.q1	Mortierella verticillata	0.921426	108/400	82	4.724939999999997e-237	Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mortierellomycotina; Mortierellales; Mortierellaceae; Mortierella; verticillata		Mortierella verticillata	Mortierella	Mortierellaceae	Mortierellales		Mucoromycota	Fungi	Eukaryota				PRJNA39195		78898		./rcn/refseq-NG-78898-PRJNA39195-.-.-.-Mortierella_verticillata.fna											Mortierellomycotina	
contaminated.rna.q1	Olpidium brassicae	0.92035	106/400	82	1.0649499999999995e-231	Eukaryota; Opisthokonta; Fungi; incertae sedis; Olpidiaceae; Olpidium; brassicae		Olpidium brassicae	Olpidium	Olpidiaceae				Fungi	Eukaryota				PRJNA39195		70189		./rcn/refseq-NG-70189-PRJNA39195-.-.-.-Olpidium_brassicae.fna												
contaminated.rna.q1	Endogone pisiformis	0.9192549999999999	104/400	84	2.2806099999999986e-226	Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Endogonales; Endogonaceae; Endogone; pisiformis		Endogone pisiformis	Endogone	Endogonaceae	Endogonales		Mucoromycota	Fungi	Eukaryota				PRJNA39195		4872		./rcn/refseq-NG-4872-PRJNA39195-.-.-.-Endogone_pisiformis.fna											Mucoromycotina	
contaminated.rna.q1	Boletellus shichianus	0.91814	102/400	90	4.637579999999997e-221	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Boletineae; Boletaceae; Xerocomoideae; Boletellus; shichianus		Boletellus shichianus	Boletellus	Boletaceae	Boletales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		283656		./rcn/refseq-NG-283656-PRJNA39195-.-.-.-Boletellus_shichianus.fna			Xerocomoideae	Boletineae			Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Paxillus vernalis	0.917575	101/400	90	2.050649999999999e-218	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Paxilineae; Paxillaceae; Paxillus; vernalis		Paxillus vernalis	Paxillus	Paxillaceae	Boletales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		101662		./rcn/refseq-NG-101662-PRJNA39195-.-.-.-Paxillus_vernalis.fna				Paxilineae			Agaricomycetidae		Dikarya		Agaricomycotina	
