input	authoritative_summary
ENST00000267814	{"Parent":"ENSG00000140263","assembly_name":"GRCh38","display_name":"SORD-201","end":45077185,"id":"ENST00000267814","seq_region_name":"15","start":45023195,"strand":1}
TERB2	[{"id":"ENSG00000167014","type":"gene"}]
chr15:45167214-45187966_hg38	[{"assembly_name":"GRCh38","biotype":"lncRNA","description":"novel transcript","end":45167526,"external_name":null,"id":"ENSG00000259539","seq_region_name":"15","start":45152664,"strand":-1},{"assembly_name":"GRCh38","biotype":"protein_coding","description":"Src homology 2 domain containing F [Source:HGNC Symbol;Acc:HGNC:25116]","end":45201175,"external_name":"SHF","id":"ENSG00000138606","seq_region_name":"15","start":45165572,"strand":-1},{"assembly_name":"GRCh38","biotype":"lncRNA","description":"novel transcript, antisense to SHF","end":45199958,"external_name":null,"id":"ENSG00000259519","seq_region_name":"15","start":45170344,"strand":1},{"assembly_name":"GRCh38","biotype":"lncRNA","description":"novel transcript, antisense to SHF","end":45188820,"external_name":null,"id":"ENSG00000309776","seq_region_name":"15","start":45187090,"strand":1}]
ensembl_entrez_9153	{"count":1,"first_20":[{"db_display_name":"NCBI gene (formerly Entrezgene)","dbname":"EntrezGene","description":"solute carrier family 28 member 2","display_id":"SLC28A2","primary_id":"9153"}]}
ensembl_refseq_mrna	{"count":1,"first_20":[{"db_display_name":"RefSeq mRNA","dbname":"RefSeq_mRNA","description":null,"display_id":"NM_001276266.2","primary_id":"NM_001276266"}]}
ensembl_refseq_peptide	{"count":1,"first_20":[{"db_display_name":"RefSeq peptide","dbname":"RefSeq_peptide","description":null,"display_id":"NP_922946.1","primary_id":"NP_922946"}]}
hgnc_entrez_9153	{"docs":[{"ensembl_gene_id":"ENSG00000137860","entrez_id":"9153","hgnc_id":"HGNC:11002","name":"solute carrier family 28 member 2","omim_id":["606208"],"refseq_accession":["NM_004212"],"status":"Approved","symbol":"SLC28A2"}],"numFound":1}
hgnc_omim_617658	{"docs":[{"ensembl_gene_id":"ENSG00000137767","entrez_id":"58472","hgnc_id":"HGNC:20390","name":"sulfide quinone oxidoreductase","omim_id":["617658"],"refseq_accession":["NM_001271213"],"status":"Approved","symbol":"SQOR"}],"numFound":1}
hgnc_full_name	{"docs":[{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:25668","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"BEND5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:21396","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"ABHD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:23338","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"ACBD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:13613","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"FBXW5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:19117","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"FGD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:44498","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"FGD5P1"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:20240","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"FNDC5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:28214","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"FRMD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:28804","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"GDPD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:33358","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"GLOD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:1843","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"HDHD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:26520","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"KASH5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:21423","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"KCTD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:26987","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"KRABD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:20360","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"LRFN5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:31407","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"ARRDC5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:25752","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"ATAD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:26397","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"LYPD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:55184","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"MSANTD5"},{"ensembl_gene_id":null,"entrez_id":null,"hgnc_id":"HGNC:29933","name":null,"omim_id":null,"refseq_accession":null,"status":null,"symbol":"NLRC5"}],"numFound":5942}
ncbi_gene_9153	{"docs":[{"chromosome":"15","description":"solute carrier family 28 member 2","genomicinfo":[{"chraccver":"NC_000015.10","chrloc":"15","chrstart":45252233,"chrstop":45277845,"exoncount":18}],"maplocation":"15q21.1","name":"SLC28A2","uid":"9153"}],"uids":["9153"]}
