ORF_TASK_ORF.1 [36-222](+) type:complete length:186 frame:1 start:CTG stop:TAA	62
ORF_TASK_ORF.2 [282-1335](+) type:complete length:1053 frame:1 start:ATG stop:TGA	351
ORF_TASK_ORF.3 [1338-1383](+) type:complete length:45 frame:1 start:TTG stop:TAG	15
ORF_TASK_ORF.4 [10-283](+) type:complete length:273 frame:2 start:TTG stop:TGA	91
ORF_TASK_ORF.5 [340-466](+) type:complete length:126 frame:2 start:TTG stop:TAG	42
ORF_TASK_ORF.6 [628-724](+) type:complete length:96 frame:2 start:TTG stop:TGA	32
ORF_TASK_ORF.7 [733-775](+) type:complete length:42 frame:2 start:CTG stop:TGA	14
ORF_TASK_ORF.8 [781-838](+) type:complete length:57 frame:2 start:CTG stop:TAG	19
ORF_TASK_ORF.9 [1063-1114](+) type:complete length:51 frame:2 start:ATG stop:TAG	17
ORF_TASK_ORF.10 [1153-1240](+) type:complete length:87 frame:2 start:CTG stop:TGA	29
ORF_TASK_ORF.11 [1252-1282](+) type:complete length:30 frame:2 start:CTG stop:TGA	10
ORF_TASK_ORF.12 [1294-1339](+) type:complete length:45 frame:2 start:TTG stop:TGA	15
ORF_TASK_ORF.13 [1360-1399](+) type:complete length:39 frame:2 start:ATG stop:TAA	13
ORF_TASK_ORF.14 [110-179](+) type:complete length:69 frame:3 start:CTG stop:TAA	23
ORF_TASK_ORF.15 [185-341](+) type:complete length:156 frame:3 start:ATG stop:TGA	52
ORF_TASK_ORF.16 [530-563](+) type:complete length:33 frame:3 start:CTG stop:TGA	11
ORF_TASK_ORF.17 [638-716](+) type:complete length:78 frame:3 start:CTG stop:TGA	26
ORF_TASK_ORF.18 [944-1043](+) type:complete length:99 frame:3 start:ATG stop:TAG	33
