feature_index	gene_id	gene_name	feature_type
1	STAT1	STAT1	Gene Expression
2	ISG15	ISG15	Gene Expression
3	IFIT1	IFIT1	Gene Expression
4	IFIT2	IFIT2	Gene Expression
5	IFIT3	IFIT3	Gene Expression
6	MX1	MX1	Gene Expression
7	MX2	MX2	Gene Expression
8	OAS1	OAS1	Gene Expression
9	OAS2	OAS2	Gene Expression
10	OAS3	OAS3	Gene Expression
11	CXCL10	CXCL10	Gene Expression
12	CXCL11	CXCL11	Gene Expression
13	IRF7	IRF7	Gene Expression
14	BST2	BST2	Gene Expression
15	IFI6	IFI6	Gene Expression
16	STAT2	STAT2	Gene Expression
17	EIF2AK2	EIF2AK2	Gene Expression
18	GBP1	GBP1	Gene Expression
19	GBP2	GBP2	Gene Expression
20	IDO1	IDO1	Gene Expression
21	ZNF455	ZNF455	Gene Expression
22	RPL28	RPL28	Gene Expression
23	TRIM40	TRIM40	Gene Expression
24	FGF5	FGF5	Gene Expression
25	SOX15	SOX15	Gene Expression
26	FGF14	FGF14	Gene Expression
27	ZNF47	ZNF47	Gene Expression
28	ZNF341	ZNF341	Gene Expression
29	FGF2	FGF2	Gene Expression
30	CD97	CD97	Gene Expression
31	SLC2A4	SLC2A4	Gene Expression
32	MMP14	MMP14	Gene Expression
33	ZNF420	ZNF420	Gene Expression
34	ZNF68	ZNF68	Gene Expression
35	ATP38	ATP38	Gene Expression
36	NEAT1	NEAT1	Gene Expression
37	ZNF128	ZNF128	Gene Expression
38	ZNF405	ZNF405	Gene Expression
39	CD128	CD128	Gene Expression
40	RPS21	RPS21	Gene Expression
41	ZNF304	ZNF304	Gene Expression
42	ZNF436	ZNF436	Gene Expression
43	ZNF475	ZNF475	Gene Expression
44	SOX3	SOX3	Gene Expression
45	ZNF153	ZNF153	Gene Expression
46	HOXB5	HOXB5	Gene Expression
47	ATP49	ATP49	Gene Expression
48	CD108	CD108	Gene Expression
49	ZNF348	ZNF348	Gene Expression
50	HOXC6	HOXC6	Gene Expression
51	RPL9	RPL9	Gene Expression
52	ZNF204	ZNF204	Gene Expression
53	ZNF73	ZNF73	Gene Expression
54	ZNF118	ZNF118	Gene Expression
55	TRIM36	TRIM36	Gene Expression
56	ZNF432	ZNF432	Gene Expression
57	TRIM14	TRIM14	Gene Expression
58	TRIM59	TRIM59	Gene Expression
59	ZNF65	ZNF65	Gene Expression
60	CD85	CD85	Gene Expression
61	ZNF75	ZNF75	Gene Expression
62	ZNF238	ZNF238	Gene Expression
63	ZNF59	ZNF59	Gene Expression
64	ZNF125	ZNF125	Gene Expression
65	RPL24	RPL24	Gene Expression
66	ZNF173	ZNF173	Gene Expression
67	ZNF28	ZNF28	Gene Expression
68	CXCL13	CXCL13	Gene Expression
69	ZNF458	ZNF458	Gene Expression
70	MMP11	MMP11	Gene Expression
71	MMP22	MMP22	Gene Expression
72	TRIM7	TRIM7	Gene Expression
73	CD91	CD91	Gene Expression
74	ZNF29	ZNF29	Gene Expression
75	CCL23	CCL23	Gene Expression
76	ZNF69	ZNF69	Gene Expression
77	CD139	CD139	Gene Expression
78	EGFR	EGFR	Gene Expression
79	ZNF234	ZNF234	Gene Expression
80	ZNF121	ZNF121	Gene Expression
81	ZNF142	ZNF142	Gene Expression
82	RPL22	RPL22	Gene Expression
83	RPS3	RPS3	Gene Expression
84	RPL13	RPL13	Gene Expression
85	TRIM1	TRIM1	Gene Expression
86	ZNF335	ZNF335	Gene Expression
87	MAPK12	MAPK12	Gene Expression
88	ZNF132	ZNF132	Gene Expression
89	ZNF286	ZNF286	Gene Expression
90	KRT39	KRT39	Gene Expression
91	TRIM16	TRIM16	Gene Expression
92	CCL20	CCL20	Gene Expression
93	KRT31	KRT31	Gene Expression
94	CCL17	CCL17	Gene Expression
95	ZNF15	ZNF15	Gene Expression
96	ZNF92	ZNF92	Gene Expression
97	FGF10	FGF10	Gene Expression
98	ZNF354	ZNF354	Gene Expression
99	ZNF20	ZNF20	Gene Expression
100	KRT7	KRT7	Gene Expression
101	ATP42	ATP42	Gene Expression
102	TRIM28	TRIM28	Gene Expression
103	ATP1	ATP1	Gene Expression
