chrom	size	rows	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
chr1p_1	472565920	42343	13428607.0	22097342.0	9388797.0	10041304.0	21919733.0	17867019.0	14108199.0	14412968.0	22159175.0	7973700.0	17573759.0	26070062.0	19490698.0	10766341.0	9077591.0
chr1p_2	475274080	43079	13222939.0	20967791.0	8853280.0	10098446.0	20290039.0	16934543.0	12895214.0	13489746.0	21741038.0	6934015.0	16474961.0	25046263.0	18084191.0	8849942.0	8115621.0
chr1p_3	469857632	43109	12115901.0	20491869.0	7696071.0	9757025.0	18492633.0	16296295.0	11173417.0	12735229.0	19031080.0	6379104.0	14802203.0	23547537.0	16508975.0	8104486.0	7312793.0
chr1q_1	490812533	44465	12205539.0	21174698.0	8300882.0	10331272.0	18147523.0	15985629.0	11832779.0	12994301.0	20210918.0	6727904.0	15051655.0	24740916.0	16529197.0	8264846.0	7929177.0
chr1q_2	490812534	44596	13148712.0	22333013.0	8665919.0	10193339.0	20206850.0	17388300.0	12562679.0	13647042.0	21668605.0	6879874.0	16550561.0	25667293.0	17912757.0	9129240.0	8055491.0
chr1q_3	490812421	45190	14371854.0	23685919.0	10309090.0	10583515.0	23349578.0	18798586.0	15002544.0	15433219.0	23565476.0	8163415.0	18876091.0	28050180.0	20706026.0	11241396.0	9221913.0
chr2p_1	460802240	41906	11605696.0	18810217.0	8078084.0	9999528.0	17008821.0	16704011.0	12496156.0	12472067.0	18906686.0	7867059.0	13803464.0	22794006.0	14892078.0	7602538.0	7546268.0
chr2p_2	460802240	42443	12900700.0	21675175.0	8762534.0	9831314.0	19398439.0	16531561.0	12405567.0	13292711.0	20575663.0	6834683.0	15975128.0	25224905.0	17673409.0	8968982.0	8058320.0
chr2p_3	460802084	42127	13192426.0	21670326.0	9066160.0	9706739.0	20738275.0	17321456.0	13062398.0	14015538.0	21369406.0	7172643.0	16926660.0	25463654.0	18181903.0	9888228.0	8075166.0
chr2q_1	471608240	42940	13056868.0	22241905.0	9253583.0	9900690.0	21480496.0	18021610.0	12903755.0	13764509.0	21804802.0	7184284.0	17192763.0	25815605.0	18753512.0	10120750.0	8209466.0
chr2q_2	471048240	43792	13841626.0	22989924.0	9803612.0	10791851.0	21755655.0	18259495.0	13597414.0	14858583.0	22807599.0	7912927.0	17061540.0	27278867.0	19704010.0	10031445.0	9275224.0
chr2q_3	472168083	43946	12961629.0	21803873.0	9335273.0	11205461.0	20561005.0	17508523.0	13204344.0	13979270.0	22240618.0	7935400.0	16125616.0	26847274.0	18284125.0	9204333.0	9167370.0
chr3p_1	434134920	39603	12458118.0	21049797.0	8054421.0	9082738.0	19881672.0	15976094.0	11651118.0	12919499.0	19473467.0	6636322.0	15290094.0	24292240.0	17837269.0	9072758.0	7732685.0
chr3p_2	434134796	40628	12383524.0	20071128.0	8228815.0	10150585.0	19017355.0	16151862.0	11770158.0	12779966.0	19644718.0	7225348.0	15078421.0	24497411.0	16983623.0	8451934.0	8256755.0
chr3q_1	509000000	47218	13014419.0	21865597.0	8976782.0	11291722.0	20816361.0	17837333.0	12899815.0	13686015.0	21939754.0	7755131.0	16273086.0	27051859.0	18831000.0	8899809.0	8913154.0
chr3q_2	508920000	47304	14685837.0	23077966.0	10182979.0	11273237.0	24032042.0	19190440.0	14348166.0	15042059.0	24004496.0	8120715.0	18354342.0	29352207.0	20198408.0	10425667.0	9708412.0
chr3q_3	508880572	47289	15648810.0	25491645.0	11079455.0	11387728.0	26671143.0	20661529.0	15902930.0	17035162.0	26033586.0	9409574.0	20313254.0	31342239.0	23088720.0	12192341.0	10665457.0
chr4p_1	402304000	36190	10992595.0	17977239.0	7588844.0	8447857.0	17400412.0	14646003.0	11077357.0	11759789.0	17824363.0	6234306.0	14324337.0	21762737.0	15829540.0	8593429.0	6814157.0
chr4p_2	401500560	35308	9803730.0	16831264.0	6340650.0	7395447.0	14325536.0	12720356.0	9088533.0	10045539.0	15074953.0	4735250.0	11804512.0	18117010.0	12760043.0	6343724.0	5616096.0
chr4p_3	401902193	36610	9778413.0	17297359.0	6537132.0	8241671.0	14469713.0	12964505.0	9455594.0	10282997.0	15644096.0	5468351.0	11950648.0	19769179.0	13392485.0	6614988.0	6118409.0
chr4q_1	408213680	36228	9976363.0	16801941.0	6104281.0	7608233.0	14270563.0	13146739.0	8942711.0	10332608.0	15317768.0	5120595.0	11947546.0	18254362.0	13853182.0	6632583.0	5621763.0
chr4q_2	402517760	36597	10336244.0	17791647.0	6775606.0	7783207.0	15409461.0	13795164.0	9951923.0	10632072.0	16601242.0	5158547.0	12992632.0	19506065.0	14026174.0	7005569.0	5957904.0
chr4q_3	405365633	36985	11488474.0	18265165.0	8081716.0	8859324.0	18373072.0	14769791.0	11905166.0	12059439.0	18897543.0	6526014.0	15049387.0	22816689.0	16588753.0	8603251.0	7783224.0
