metric	value
raw_vcf_url	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/working/20201028_3202_raw_GT_with_annot/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr1.recalibrated_variants.vcf.gz
pedigree_sample_count	3202
vcf_sample_count	3202
vcf_sample_unique_count	3202
vcf_pedigree_set_equal	1
lexicographically_sorted_header_first5	HG00096,HG00097,HG00099,HG00100,HG00101
lexicographically_sorted_header_last5	NA21137,NA21141,NA21142,NA21143,NA21144
encode_peak_total	192882
encode_top1000_min_qValue	629.70111
encode_top1000_chr1_count	93
encode_top1000_chr1_merged_interval_count	86
snp_chr1_record_count	1084187
snp_chr1_observed_two_distinct_acgt_count	784180
snp_positions_in_top1000_chr1_peaks_counting_rows	313
candidate_unique_position_count	313
bcftools_raw_record_count_at_candidate_positions	307
bcftools_records_rejected_non_single_acgt_ref_alt	12
final_output_row_count	295
sample_query_stderr	
record_query_stderr	batch=225777325-241640768 url=https attempt=2 rc=255 [E::bgzf_read_block] Failed to read BGZF header at offset 132299309912 Error: BCF read error  | batch=230978674-241640768 url=http attempt=1 rc=255 [E::easy_errno] Libcurl reported error 52 (Server returned nothing (no headers, no data)) [E::bgzf_read_block] Failed to read BGZF header at offset 132299309912 Error: BCF read error  | batch=230978674-241640768 url=http attempt=2 rc=255 [W::retry_reconnect] Retrying connection (attempt 1/3) at offset 128825662404 [E::easy_errno] Libcurl reported error 52 (Server returned nothing (no headers, no data)) [E::bgzf_read_block] Failed to read BGZF header at offset 135251391544 Error: BCF read error  | batch=230978674-241640768 url=https attempt=1 rc=255 [E::bgzf_read_block] Failed to read BGZF header at offset 135251391544 Error: BCF read error  | batch=230978674-241640768 url=https attempt=2 rc=255 [E::bgzf_read_block] Failed to read BGZF header at offset 135188355484 Error: BCF read error  | batch=241847755-248838882 url=http attempt=1 rc=255 [E::easy_errno] Libcurl reported error 52 (Server returned nothing (no headers, no data)) [E::bgzf_read_block] Failed to read BGZF header at offset 135371121144 Error: BCF read error  | batch=241847755-248838882 url=http attempt=2 rc=255 [E::easy_errno] Libcurl reported error 52 (Server returned nothing (no headers, no data)) [E::bgzf_read_block] Failed to read BGZF header at offset 135371121144 Error: BCF read error  | batch=241847755-248838882 url=https attempt=1 rc=255 [E::bgzf_read_block] Failed to read BGZF header at offset 136939921099 Error: BCF read error 
coordinate_mapping	UCSC chromStart plus 1 equals VCF POS; peak intervals are zero-based half-open
genotype_normalization	replace | with /; retain exactly 0/0, 0/1, 1/1; all other values become ./.
output_line_count	296
output_md5sum	864b06501a76b44b3037072e25c99725
