window_start	mean_forward_score	mean_rc_score
20	-0.448834	-0.448696
21	-0.381433	-0.381620
22	-0.334029	-0.333819
23	-0.333228	-0.333928
24	-0.319147	-0.320005
25	-0.382494	-0.383850
26	-0.424223	-0.425801
27	-0.317163	-0.318573
28	-0.374077	-0.374811
29	-0.289039	-0.289723
30	-0.389851	-0.390694
31	-0.382456	-0.385476
32	-0.371967	-0.373838
33	-0.365766	-0.368069
34	-0.331473	-0.333183
35	-0.376047	-0.377385
36	-0.378840	-0.380554
37	-0.403269	-0.403151
38	-0.343606	-0.342947
39	-0.349574	-0.348869
40	-0.376488	-0.377003
41	-0.359172	-0.359922
42	-0.410710	-0.412061
43	-0.312569	-0.313803
44	-0.368550	-0.369998
45	-0.373960	-0.374801
46	-0.355469	-0.356319
47	-0.398286	-0.399607
48	-0.331657	-0.332670
49	-0.376402	-0.378635
50	-0.392021	-0.395539
51	-0.362188	-0.366894
52	-0.403726	-0.407050
53	-0.353750	-0.357205
54	-0.390702	-0.393400
55	-0.392763	-0.397726
56	-0.365802	-0.368840
57	-0.392107	-0.396534
58	-0.335185	-0.339507
59	-0.397214	-0.403312
60	-0.369999	-0.377213
61	-0.399148	-0.406337
62	-0.427827	-0.433364
63	-0.351227	-0.357948
64	-0.424756	-0.430987
65	-0.361218	-0.369475
66	-0.381391	-0.387953
67	-0.405622	-0.412366
68	-0.356603	-0.362444
69	-0.401847	-0.408252
70	-0.363503	-0.368471
71	-0.358679	-0.362619
72	-0.418035	-0.420644
73	-0.359511	-0.362245
74	-0.432985	-0.436238
75	-0.361453	-0.365067
76	-0.410394	-0.413342
77	-0.362321	-0.366918
78	-0.370321	-0.373533
79	-0.384290	-0.388320
