feature	signal	control	note
repeatmasker_categories_loaded	11		
total_valid_reads	44898157	27109157	
malformed_rows	0	0	
primary_chromosome_reads	44795356	27051753	
signal_coordinate_order_ok	0		
control_coordinate_order_ok	0		
signal_mean_read_length	50.477956		
signal_modal_read_length	51		
control_mean_read_length	51.000545		
control_modal_read_length	51		
repeat_DNA_read_count	1658912	1069787	signal_fraction=0.036948332;control_fraction=0.039462201;normalized_ratio=0.93629678;annotation_bases=101976986
repeat_LINE_read_count	11675962	5633777	signal_fraction=0.26005437;control_fraction=0.20781823;normalized_ratio=1.251355;annotation_bases=641272230
repeat_LTR_read_count	5055528	2205671	signal_fraction=0.1125999;control_fraction=0.081362582;normalized_ratio=1.3839273;annotation_bases=266970452
repeat_Low_complexity_read_count	72744	51268	signal_fraction=0.0016202001;control_fraction=0.0018911691;normalized_ratio=0.85671881;annotation_bases=5993413
repeat_RC_read_count	5991	3928	signal_fraction=0.00013343532;control_fraction=0.00014489569;normalized_ratio=0.92090608;annotation_bases=370831
repeat_RNA_read_count	2009	1066	signal_fraction=4.4745712e-05;control_fraction=3.9322506e-05;normalized_ratio=1.1379161;annotation_bases=112081
repeat_Retroposon_read_count	23296	9469	signal_fraction=0.00051886317;control_fraction=0.00034929157;normalized_ratio=1.4854729;annotation_bases=4197121
repeat_SINE_read_count	4958990	3183064	signal_fraction=0.11044975;control_fraction=0.11741656;normalized_ratio=0.94066581;annotation_bases=392774271
repeat_Satellite_read_count	245150	94624	signal_fraction=0.005460135;control_fraction=0.0034904811;normalized_ratio=1.564293;annotation_bases=75594644
repeat_Simple_repeat_read_count	444749	265636	signal_fraction=0.0099057295;control_fraction=0.0097987555;normalized_ratio=1.0109171;annotation_bases=36806703
repeat_all_read_count	24188393	12549957	signal_fraction=0.53873911;control_fraction=0.46294162;normalized_ratio=1.1637301;annotation_bases=1529087762
bin_1000000_occupied_signal	2960		
bin_1000000_occupied_control	2960		
bin_1000000_entropy_signal	7.91288		
bin_1000000_entropy_control	7.9093152		
bin_1000000_pearson	0.56441202		
bin_1000000_top_1pct_signal	0.02819386		
bin_1000000_top_1pct_control	0.021253003		
bin_1000000_top_5pct_signal	0.09822507		
bin_1000000_top_5pct_control	0.091442059		
bin_1000000_top_10pct_signal	0.17293514		
bin_1000000_top_10pct_control	0.16830207		
bin_1000000_enriched_bins	423		
bin_1000000_enriched_bin_fraction	0.14290541		
bin_1000000_enriched_signal_read_fraction	0.16016591		
bin_1000000_enriched_runs	207		
bin_1000000_longest_enriched_run_bp	9000000		
bin_1000000_top_signal_1	88906	16065	chr19:37000000-38000000
bin_1000000_top_signal_2	84015	15834	chr19:36000000-37000000
bin_1000000_top_signal_3	76051	10769	chr19:57000000-58000000
bin_1000000_top_signal_4	58980	8395	chr19:52000000-53000000
bin_1000000_top_signal_5	50835	15748	chr19:44000000-45000000
bin_1000000_top_signal_6	48356	9425	chr19:56000000-57000000
bin_1000000_top_signal_7	48035	19539	chr19:34000000-35000000
bin_1000000_top_signal_8	45547	9378	chr19:53000000-54000000
bin_1000000_top_signal_9	40474	18707	chr8:128000000-129000000
bin_1000000_top_signal_10	40188	6803	chr19:23000000-24000000
bin_100000_occupied_signal	29290		
bin_100000_occupied_control	29335		
bin_100000_entropy_signal	10.176575		
bin_100000_entropy_control	10.190187		
bin_100000_pearson	0.42779777		
bin_100000_top_1pct_signal	0.034008793		
bin_100000_top_1pct_control	0.023137539		
bin_100000_top_5pct_signal	0.11160418		
bin_100000_top_5pct_control	0.097771631		
bin_100000_top_10pct_signal	0.19201999		
bin_100000_top_10pct_control	0.17834012		
bin_100000_enriched_bins	5186		
bin_100000_enriched_bin_fraction	0.17668904		
bin_100000_enriched_signal_read_fraction	0.21820878		
bin_100000_enriched_runs	1313		
bin_100000_longest_enriched_run_bp	8000000		
bin_100000_top_signal_1	13109	2414	chr19:40000000-40100000
bin_100000_top_signal_2	12568	1769	chr19:36500000-36600000
bin_100000_top_signal_3	11800	1826	chr19:37400000-37500000
bin_100000_top_signal_4	11412	1753	chr19:36600000-36700000
bin_100000_top_signal_5	11192	1421	chr19:36700000-36800000
bin_100000_top_signal_6	10733	1619	chr19:37600000-37700000
bin_100000_top_signal_7	10561	1165	chr19:58200000-58300000
bin_100000_top_signal_8	10408	1641	chr19:36400000-36500000
bin_100000_top_signal_9	10096	1656	chr19:37300000-37400000
bin_100000_top_signal_10	9980	1776	chr19:37700000-37800000
