field	value
gene_id	ENSMUSG00000037335
canonical_transcript_id	ENSMUST00000036917
canonical_translation_id	ENSMUSP00000046999
canonical_protein_length_aa	216
canonical_exon_count	2
canonical_intron_count	1
intron_category	fewer
chromosome	11
hand1_start	57719531
hand1_end	57723644
hand1_strand	-1
lower_coordinate_neighbor_id	ENSMUSG00000020519
lower_coordinate_neighbor_symbol	Sap30l
lower_coordinate_gap_bp	13824
greater_coordinate_neighbor_id	ENSMUSG00000037331
greater_coordinate_neighbor_symbol	Larp1
greater_coordinate_gap_bp	176008
coordinate_upstream_answer	ENSMUSG00000037335;216;fewer;ENSMUSG00000020519
strand_aware_upstream_answer	ENSMUSG00000037335;216;fewer;ENSMUSG00000037331
