#bin	chrom	chromStart	chromEnd	name
1773	chr7	155803018	155803019	600725.0012
1773	chr7	155803055	155803087	600725.0016
1773	chr7	155803141	155803142	600725.0010
1773	chr7	155803148	155803162	600725.0013
1773	chr7	155803293	155803294	600725.0018
1773	chr7	155803419	155803420	600725.0011
1773	chr7	155803438	155803439	600725.0009
1773	chr7	155803480	155803503	600725.0008
1773	chr7	155803522	155803523	600725.0017
1773	chr7	155803612	155803613	600725.0007
1773	chr7	155803617	155803618	600725.0006
1773	chr7	155806474	155806475	600725.0019
1773	chr7	155806508	155806509	600725.0005
1773	chr7	155806508	155806509	600725.0004
1773	chr7	155806512	155806513	600725.0020
1773	chr7	155806526	155806527	600725.0014
1773	chr7	155806544	155806545	600725.0003
1773	chr7	155811824	155811825	600725.0002
1773	chr7	155811859	155811860	600725.0015
1773	chr7	155812031	155812032	600725.0001
